Folder_name,Structure,deltaAIC,NLL,AIC,GHL,nopar,max_grad,Survival
HER_condEffort_fixedmat.4_3,Surv(3),0,-279.41,-370.82012458103395,15286.5141,94,1.25465941223937e-5,1980-1998; 1999-2014; 2015-2018
HER_condEffort_fixedmat.2_2,Surv(2),12.368370937793998,-272.226,-358.45175364323995,23348.2666,93,3.16025009116776e-6,1980-1998; 1999-2018
HER_condEffort_fixedmat.3_2,Surv(2),87.45002475192996,-234.685,-283.370099829104,15232.6855,93,2.1315359622724e-5,1980-2014; 2015-2018
HER_condEffort_fixedmat.1_1,Surv(1),90.55358924088193,-232.133,-280.266535340152,18234.7699,92,4.65862024135175e-5,1980-2018
