a50,ratio,converged,fn
3,1.1,1,HER_a50_3_a95_3.3_ratio_1.1
3.25,1.1,1,HER_a50_3.25_a95_3.575_ratio_1.1
3.5,1.1,1,HER_a50_3.5_a95_3.85_ratio_1.1
3.75,1.1,1,HER_a50_3.75_a95_4.125_ratio_1.1
4,1.1,1,HER_a50_4_a95_4.4_ratio_1.1
3,1.3,1,HER_a50_3_a95_3.9_ratio_1.3
3.25,1.3,1,HER_a50_3.25_a95_4.225_ratio_1.3
3.5,1.3,1,HER_a50_3.5_a95_4.55_ratio_1.3
3.75,1.3,1,HER_a50_3.75_a95_4.875_ratio_1.3
4,1.3,1,HER_a50_4_a95_5.2_ratio_1.3
3,1.5,1,HER_a50_3_a95_4.5_ratio_1.5
3.25,1.5,1,HER_a50_3.25_a95_4.875_ratio_1.5
3.5,1.5,1,HER_a50_3.5_a95_5.25_ratio_1.5
3.75,1.5,1,HER_a50_3.75_a95_5.625_ratio_1.5
4,1.5,1,HER_a50_4_a95_6_ratio_1.5
