Model,Folder_name,Structure,Survival,Maturity,Selectivity,Convergence
1,HER_condEffort.1_111,Surv(1) Mat(1) Sel(1),1980-2018,1980-2018,1980-2018,1
2,HER_condEffort.2_211,Surv(2) Mat(1) Sel(1),1980-1998; 1999-2018,1980-2018,1980-2018,1
3,HER_condEffort.3_211,Surv(2) Mat(1) Sel(1),1980-2014; 2015-2018,1980-2018,1980-2018,1
4,HER_condEffort.4_311,Surv(3) Mat(1) Sel(1),1980-1998; 1999-2014; 2015-2018,1980-2018,1980-2018,1
5,HER_condEffort.5_121,Surv(1) Mat(2) Sel(1),1980-2018,1980-1998; 1999-2018,1980-2018,1
6,HER_condEffort.6_122,Surv(1) Mat(2) Sel(2),1980-2018,1980-1998; 1999-2018,1980-1998; 1999-2018,1
7,HER_condEffort.7_221,Surv(2) Mat(2) Sel(1),1980-1998; 1999-2018,1980-1998; 1999-2018,1980-2018,1
8,HER_condEffort.8_222,Surv(2) Mat(2) Sel(2),1980-1998; 1999-2018,1980-1998; 1999-2018,1980-1998; 1999-2018,1
9,HER_condEffort.9_221,Surv(2) Mat(2) Sel(1),1980-2014; 2015-2018,1980-1998; 1999-2018,1980-2018,1
10,HER_condEffort.10_222,Surv(2) Mat(2) Sel(2),1980-2014; 2015-2018,1980-1998; 1999-2018,1980-1998; 1999-2018,1
11,HER_condEffort.11_321,Surv(3) Mat(2) Sel(1),1980-1998; 1999-2014; 2015-2018,1980-1998; 1999-2018,1980-2018,1
12,HER_condEffort.12_322,Surv(3) Mat(2) Sel(2),1980-1998; 1999-2014; 2015-2018,1980-1998; 1999-2018,1980-1998; 1999-2018,1
13,HER_condEffort.13_121,Surv(1) Mat(2) Sel(1),1980-2018,1980-2014; 2015-2018,1980-2018,1
14,HER_condEffort.14_122,Surv(1) Mat(2) Sel(2),1980-2018,1980-2014; 2015-2018,1980-2014; 2015-2018,1
15,HER_condEffort.15_221,Surv(2) Mat(2) Sel(1),1980-1998; 1999-2018,1980-2014; 2015-2018,1980-2018,1
16,HER_condEffort.16_222,Surv(2) Mat(2) Sel(2),1980-1998; 1999-2018,1980-2014; 2015-2018,1980-2014; 2015-2018,1
17,HER_condEffort.17_221,Surv(2) Mat(2) Sel(1),1980-2014; 2015-2018,1980-2014; 2015-2018,1980-2018,1
18,HER_condEffort.18_222,Surv(2) Mat(2) Sel(2),1980-2014; 2015-2018,1980-2014; 2015-2018,1980-2014; 2015-2018,1
19,HER_condEffort.19_321,Surv(3) Mat(2) Sel(1),1980-1998; 1999-2014; 2015-2018,1980-2014; 2015-2018,1980-2018,1
20,HER_condEffort.20_322,Surv(3) Mat(2) Sel(2),1980-1998; 1999-2014; 2015-2018,1980-2014; 2015-2018,1980-2014; 2015-2018,1
21,HER_condEffort.21_131,Surv(1) Mat(3) Sel(1),1980-2018,1980-1998; 1999-2014; 2015-2018,1980-2018,1
22,HER_condEffort.22_132,Surv(1) Mat(3) Sel(2),1980-2018,1980-1998; 1999-2014; 2015-2018,1980-1998; 1999-2018,1
23,HER_condEffort.23_132,Surv(1) Mat(3) Sel(2),1980-2018,1980-1998; 1999-2014; 2015-2018,1980-2014; 2015-2018,1
24,HER_condEffort.24_133,Surv(1) Mat(3) Sel(3),1980-2018,1980-1998; 1999-2014; 2015-2018,1980-1998; 1999-2014; 2015-2018,1
25,HER_condEffort.25_231,Surv(2) Mat(3) Sel(1),1980-1998; 1999-2018,1980-1998; 1999-2014; 2015-2018,1980-2018,1
26,HER_condEffort.26_232,Surv(2) Mat(3) Sel(2),1980-1998; 1999-2018,1980-1998; 1999-2014; 2015-2018,1980-1998; 1999-2018,1
27,HER_condEffort.27_232,Surv(2) Mat(3) Sel(2),1980-1998; 1999-2018,1980-1998; 1999-2014; 2015-2018,1980-2014; 2015-2018,1
28,HER_condEffort.28_233,Surv(2) Mat(3) Sel(3),1980-1998; 1999-2018,1980-1998; 1999-2014; 2015-2018,1980-1998; 1999-2014; 2015-2018,1
29,HER_condEffort.29_231,Surv(2) Mat(3) Sel(1),1980-2014; 2015-2018,1980-1998; 1999-2014; 2015-2018,1980-2018,1
30,HER_condEffort.30_232,Surv(2) Mat(3) Sel(2),1980-2014; 2015-2018,1980-1998; 1999-2014; 2015-2018,1980-1998; 1999-2018,1
31,HER_condEffort.31_232,Surv(2) Mat(3) Sel(2),1980-2014; 2015-2018,1980-1998; 1999-2014; 2015-2018,1980-2014; 2015-2018,1
32,HER_condEffort.32_233,Surv(2) Mat(3) Sel(3),1980-2014; 2015-2018,1980-1998; 1999-2014; 2015-2018,1980-1998; 1999-2014; 2015-2018,1
33,HER_condEffort.33_331,Surv(3) Mat(3) Sel(1),1980-1998; 1999-2014; 2015-2018,1980-1998; 1999-2014; 2015-2018,1980-2018,1
34,HER_condEffort.34_332,Surv(3) Mat(3) Sel(2),1980-1998; 1999-2014; 2015-2018,1980-1998; 1999-2014; 2015-2018,1980-1998; 1999-2018,1
35,HER_condEffort.35_332,Surv(3) Mat(3) Sel(2),1980-1998; 1999-2014; 2015-2018,1980-1998; 1999-2014; 2015-2018,1980-2014; 2015-2018,1
36,HER_condEffort.36_333,Surv(3) Mat(3) Sel(3),1980-1998; 1999-2014; 2015-2018,1980-1998; 1999-2014; 2015-2018,1980-1998; 1999-2014; 2015-2018,1
