Folder_name,Structure,deltaAIC,AIC,GHL,nopar,max_grad,Survival,Maturity,Selectivity
HER_condEffort.12_322,Surv(3) Mat(2) Sel(2),0,-2336.77744600656,12033.7886,100,1.52213009862593e-4,1980-1998; 1999-2014; 2015-2018,1980-1998; 1999-2018,1980-1998; 1999-2018
HER_condEffort.36_333,Surv(3) Mat(3) Sel(3),0.658186043780006,-2336.11925996278,12767.4586,104,9.14474675677851e-5,1980-1998; 1999-2014; 2015-2018,1980-1998; 1999-2014; 2015-2018,1980-1998; 1999-2014; 2015-2018
HER_condEffort.34_332,Surv(3) Mat(3) Sel(2),2.5809729931997936,-2334.19647301336,12125.1365,102,5.86313202594685e-5,1980-1998; 1999-2014; 2015-2018,1980-1998; 1999-2014; 2015-2018,1980-1998; 1999-2018
HER_condEffort.4_311,Surv(3) Mat(1) Sel(1),4.4553857902396885,-2332.32206021632,12055.786,96,4.50353371839022e-5,1980-1998; 1999-2014; 2015-2018,1980-2018,1980-2018
HER_condEffort.11_321,Surv(3) Mat(2) Sel(1),7.092822304079618,-2329.68462370248,12114.3878,98,1.74437963174561e-4,1980-1998; 1999-2014; 2015-2018,1980-1998; 1999-2018,1980-2018
HER_condEffort.19_321,Surv(3) Mat(2) Sel(1),7.109847258339869,-2329.66759874822,12175.1316,98,4.56372530206197e-4,1980-1998; 1999-2014; 2015-2018,1980-2014; 2015-2018,1980-2018
HER_condEffort.20_322,Surv(3) Mat(2) Sel(2),8.636273439499746,-2328.14117256706,12584.2628,100,6.26040448197907e-5,1980-1998; 1999-2014; 2015-2018,1980-2014; 2015-2018,1980-2014; 2015-2018
HER_condEffort.33_331,Surv(3) Mat(3) Sel(1),10.251221536179855,-2326.52622447038,12202.8162,100,9.93937892497505e-5,1980-1998; 1999-2014; 2015-2018,1980-1998; 1999-2014; 2015-2018,1980-2018
HER_condEffort.35_332,Surv(3) Mat(3) Sel(2),11.779252864559567,-2324.998193142,12611.6466,102,2.85063996914819e-4,1980-1998; 1999-2014; 2015-2018,1980-1998; 1999-2014; 2015-2018,1980-2014; 2015-2018
HER_condEffort.8_222,Surv(2) Mat(2) Sel(2),12.186550440619612,-2324.59089556594,20138.831,99,8.29519866172284e-5,1980-1998; 1999-2018,1980-1998; 1999-2018,1980-1998; 1999-2018
HER_condEffort.26_232,Surv(2) Mat(3) Sel(2),13.713505055519818,-2323.06394095104,19103.6098,101,4.72004283973749e-5,1980-1998; 1999-2018,1980-1998; 1999-2014; 2015-2018,1980-1998; 1999-2018
HER_condEffort.28_233,Surv(2) Mat(3) Sel(3),14.310763381879951,-2322.46668262468,20421.9677,103,2.52425544735636e-4,1980-1998; 1999-2018,1980-1998; 1999-2014; 2015-2018,1980-1998; 1999-2014; 2015-2018
HER_condEffort.2_211,Surv(2) Mat(1) Sel(1),17.453623604819768,-2319.32382240174,20103.3622,95,2.51289527858337e-5,1980-1998; 1999-2018,1980-2018,1980-2018
