Folder_name,Structure,deltaAIC,AIC,GHL,nopar,max_grad,Survival,Maturity,Selectivity
model.19_321,Surv(3) Mat(2) Sel(1),0,-2278.0105424778,11635.3163,58,6.31840363358464e-5,1980-1998; 1999-2014; 2015-2017,1980-2014; 2015-2017,1980-2017
model.4_311,Surv(3) Mat(1) Sel(1),1.302603328119858,-2276.70793914968,11819.968,56,6.07812999585368e-5,1980-1998; 1999-2014; 2015-2017,1980-2017,1980-2017
model.33_331,Surv(3) Mat(3) Sel(1),3.3633594891998655,-2274.6471829886,11628.2482,60,7.10119459659739e-5,1980-1998; 1999-2014; 2015-2017,1980-1998; 1999-2014; 2015-2017,1980-2017
model.11_321,Surv(3) Mat(2) Sel(1),3.910640605239678,-2274.09990187256,11776.8694,58,1.55321849697474e-4,1980-1998; 1999-2014; 2015-2017,1980-1998; 1999-2017,1980-2017
model.26_232,Surv(2) Mat(3) Sel(2),10.204407374999846,-2267.8061351028,15785.8009,61,5.96906865591487e-5,1980-1998; 1999-2017,1980-1998; 1999-2014; 2015-2017,1980-1998; 1999-2017
model.2_211,Surv(2) Mat(1) Sel(1),12.828600485239804,-2265.18194199256,16369.5926,55,6.21133099615883e-5,1980-1998; 1999-2017,1980-2017,1980-2017
model.7_221,Surv(2) Mat(2) Sel(1),15.888086134519654,-2262.12245634328,16467.7376,57,9.90659797382067e-5,1980-1998; 1999-2017,1980-1998; 1999-2017,1980-2017
model.31_232,Surv(2) Mat(3) Sel(2),83.30583692111986,-2194.70470555668,12886.4685,61,6.5192805538463e-5,1980-2014; 2015-2017,1980-1998; 1999-2014; 2015-2017,1980-2014; 2015-2017
model.32_233,Surv(2) Mat(3) Sel(3),84.36273669329967,-2193.6478057845,12722.6436,63,1.1690400249852e-5,1980-2014; 2015-2017,1980-1998; 1999-2014; 2015-2017,1980-1998; 1999-2014; 2015-2017
model.30_232,Surv(2) Mat(3) Sel(2),86.45156226270001,-2191.5589802151,12073.5211,61,6.54531728621908e-5,1980-2014; 2015-2017,1980-1998; 1999-2014; 2015-2017,1980-1998; 1999-2017
model.23_132,Surv(1) Mat(3) Sel(2),88.52655911575994,-2189.48398336204,15023.2596,60,1.77162970709205e-4,1980-2017,1980-1998; 1999-2014; 2015-2017,1980-2014; 2015-2017
model.24_133,Surv(1) Mat(3) Sel(3),89.99188103465985,-2188.01866144314,15015.4938,62,7.3938973692847e-5,1980-2017,1980-1998; 1999-2014; 2015-2017,1980-1998; 1999-2014; 2015-2017
model.10_222,Surv(2) Mat(2) Sel(2),90.09867848364001,-2187.91186399416,12589.812,59,7.27745048918123e-5,1980-2014; 2015-2017,1980-1998; 1999-2017,1980-1998; 1999-2017
model.22_132,Surv(1) Mat(3) Sel(2),90.69800432371994,-2187.31253815408,13967.1444,60,1.93385628900307e-5,1980-2017,1980-1998; 1999-2014; 2015-2017,1980-1998; 1999-2017
model.9_221,Surv(2) Mat(2) Sel(1),91.15650932053995,-2186.85403315726,12631.13,57,1.61903269030939e-5,1980-2014; 2015-2017,1980-1998; 1999-2017,1980-2017
model.29_231,Surv(2) Mat(3) Sel(1),93.68565952923973,-2184.32488294856,13735.4827,59,3.97911199231391e-5,1980-2014; 2015-2017,1980-1998; 1999-2014; 2015-2017,1980-2017
model.6_122,Surv(1) Mat(2) Sel(2),94.55179806071965,-2183.45874441708,14954.3255,58,3.58249698274437e-5,1980-2017,1980-1998; 1999-2017,1980-1998; 1999-2017
model.5_121,Surv(1) Mat(2) Sel(1),94.93288083201969,-2183.07766164578,14656.8761,56,7.09542157235833e-5,1980-2017,1980-1998; 1999-2017,1980-2017
model.25_231,Surv(2) Mat(3) Sel(1),96.78988108507974,-2181.22066139272,15652.6176,59,9.64853533854371,1980-1998; 1999-2017,1980-1998; 1999-2014; 2015-2017,1980-2017
model.18_222,Surv(2) Mat(2) Sel(2),132.9833929642,-2145.0271495136,13301.5407,59,3.22795619650775e-5,1980-2014; 2015-2017,1980-2014; 2015-2017,1980-2014; 2015-2017
model.3_211,Surv(2) Mat(1) Sel(1),134.85625960923971,-2143.15428286856,12364.5462,55,8.36445988011101e-5,1980-2014; 2015-2017,1980-2017,1980-2017
model.17_221,Surv(2) Mat(2) Sel(1),135.2025212458998,-2142.8080212319,12471.4895,57,9.56054690083323e-5,1980-2014; 2015-2017,1980-2014; 2015-2017,1980-2017
model.1_111,Surv(1) Mat(1) Sel(1),137.0500975376799,-2140.96044494012,13444.8544,54,6.85956608715217e-5,1980-2017,1980-2017,1980-2017
model.34_332,Surv(3) Mat(3) Sel(2),162.89739694640002,-2115.1131455314,12599.5996,62,3479.92780716435,1980-1998; 1999-2014; 2015-2017,1980-1998; 1999-2014; 2015-2017,1980-1998; 1999-2017
model.14_122,Surv(1) Mat(2) Sel(2),266.05382533273996,-2011.9567171450599,10087.7036,58,1750.06339663185,1980-2017,1980-2014; 2015-2017,1980-2014; 2015-2017
