Age,Blocks,mean,median,q025,q975,q250,q750
3,1980-2014,0.0949169354,0.0942038,0.06662523999999999,0.12717440000000002,0.0843641,0.104757
3,2015-2018,0.11729818957,0.113732,0.0679375575,0.18642854999999997,0.09575085000000001,0.13494375
4,1980-2014,0.2453451769,0.2431995,0.17182342500000003,0.328785775,0.21737425,0.27109075
4,2015-2018,0.3058163002,0.2971095,0.1814837,0.4810304249999997,0.252159,0.3503405
5,1980-2014,0.4991583085,0.49803549999999996,0.371320025,0.6315133499999999,0.45425724999999995,0.543131
5,2015-2018,0.5829874783,0.5797215,0.35975455,0.8250857749999997,0.49568200000000007,0.6671475
6,1980-2014,0.7507275796,0.7540835,0.6237803000000001,0.858594575,0.71169725,0.792597
6,2015-2018,0.8036773033,0.8181149999999999,0.56621005,0.9629848,0.73729775,0.8838245
7,1980-2014,0.9004577500750075,0.904387,0.8224215500000001,0.95578405,0.879842,0.9247915
7,2015-2018,0.9188699526952695,0.936183,0.7489162500000001,0.9933186,0.8881950000000001,0.967023
7,1980-2018,0.855243,0.855243,0.855243,0.855243,0.855243,0.855243
8,1980-2014,0.9644828556,0.966943,0.92765115,0.987182175,0.9561054999999999,0.9754565000000001
8,2015-2018,0.967957508,0.9796659999999999,0.870885275,0.998792025,0.95745225,0.9912132499999999
