Year,Age,mean,median,q025,q975,q250,q750
1980,3,0.14757398324,0.146503,0.08320649104803868,0.2382035759411155,0.12141467499779471,0.1740907950514869
1981,3,0.04175073738,0.0412941,0.022569563361111763,0.07165546239585578,0.03342764647264759,0.04945817995624116
1982,3,0.14081816275,0.13982450000000002,0.08305168680651616,0.2208077056483692,0.11647863446025745,0.16375018575406777
1983,3,0.5240933535,0.5241125,0.38960027831612704,0.6484290258980551,0.47382720566673675,0.5662637839561409
1984,3,0.2145439763,0.213771,0.12932510490171148,0.32592677670792325,0.18087403247238645,0.2471523131919795
1985,3,0.07181200184,0.0713018,0.03968000356024729,0.11858181718030045,0.058216297519234184,0.08476619587371302
1986,3,0.2090938732,0.20815850000000002,0.12905031998771815,0.3157739287246158,0.1759979095164688,0.23889385017313575
1987,3,0.6475762446,0.6482045,0.5154294645299698,0.7562263309406124,0.6008406019830554,0.6844643660495191
1988,3,0.08387509552,0.08310565,0.04599817803440608,0.14307384184194394,0.06798265531846465,0.09965837030374836
1989,3,0.02076003531,0.0205061,0.010985983937881551,0.03717778955932612,0.016404986316374656,0.024971343342836867
1990,3,0.07442571814,0.073695,0.04094679153242753,0.12647109492476905,0.06007329624110803,0.08820566789015631
1991,3,0.6742887218,0.6749940000000001,0.5404039930426292,0.7833199793055717,0.6295033981561344,0.7136529421147983
1992,3,0.05126748415,0.05084175,0.0277082364341908,0.08986965081297586,0.04150984687333123,0.06220286875527805
1993,3,0.02682583728,0.026520349999999998,0.014195424826678004,0.04819809683488778,0.021229531722368314,0.03245378661739859
1994,3,0.05412058551,0.0535718,0.02925756721137752,0.09458841475400809,0.043524307538295844,0.06493929384550723
1995,3,0.2794521867,0.278562,0.17502846225016397,0.40377810204552433,0.2385859431883916,0.31686782912930644
1996,3,0.2522216306,0.250945,0.15816175628655213,0.37195405736294485,0.2143857209310001,0.2873082517506465
1997,3,0.4459063583,0.4459265,0.3090116507965818,0.5797060701983519,0.39620767496383075,0.4898965747132286
1998,3,0.2988455373,0.298184,0.18953491559240027,0.4273592137633557,0.2562709596985318,0.3371180858484909
