Parameter,Mean,SD,Naive.SE,Time.series.SE
log_Mbar,-0.43616945283508535,0.06271518000483024,6.271518000483025e-4,6.271518000483014e-4
log_rinit,4.069835714579227,0.6139025645517201,0.006139025645517201,0.01100480454985829
log_rbar,6.2753912578902025,0.17156479301364133,0.0017156479301364135,0.0017156479301364143
log_ro,6.499188866125379,0.18520452031796503,0.0018520452031796503,0.0018520452031796496
log_reck,1.11657466789523,0.21363048533394888,0.002136304853339489,0.002136304853339486
log_rinit_devs_3,3.342920763920586,0.5783945901343477,0.005783945901343477,0.010634677089092624
log_rinit_devs_4,2.1471046698396985,0.5784965686545925,0.0057849656865459256,0.010697038227831383
log_rinit_devs_5,0.45235190122384283,0.5998023724202092,0.005998023724202092,0.010954206509186788
log_rinit_devs_6,-2.960154698182724,2.5576754800335517,0.025576754800335517,0.05375471242257972
log_rinit_devs_7,-2.9821398692554006,2.6002805845079555,0.026002805845079555,0.049965235939956554
log_rinit_devs_8,-0.19148473051164247,0.133938409898306,0.00133938409898306,0.001339384098983058
log_rbar_devs_1980,-1.5401985603806472,0.1436715192119539,0.0014367151921195391,0.0014647276414142816
log_rbar_devs_1981,-0.5627845084944518,0.1275026492590193,0.0012750264925901929,0.0012750264925901933
log_rbar_devs_1982,1.0263694038041185,0.09964911582592151,9.964911582592152e-4,9.964911582592143e-4
log_rbar_devs_1983,0.23808012914681356,0.11873913987826995,0.0011873913987826995,0.0011873913987826975
log_rbar_devs_1984,-0.9749838494030998,0.13401851341472262,0.0013401851341472263,0.0013137061208864638
log_rbar_devs_1985,-0.023859696592357545,0.12226163342289949,0.001222616334228995,0.001201057134438077
log_rbar_devs_1986,1.8227494223796792,0.09122573242433128,9.122573242433128e-4,9.122573242433123e-4
log_rbar_devs_1987,-0.18385854266788457,0.13051155080414825,0.0013051155080414823,0.0013051155080414823
log_rbar_devs_1988,-1.8119261518866463,0.14307066243922748,0.0014307066243922748,0.0014307066243922735
log_rbar_devs_1989,-0.8695705318783001,0.12664825429553755,0.0012664825429553755,0.0012664825429553799
log_rbar_devs_1990,1.9755480191494525,0.08579074603679174,8.579074603679174e-4,8.579074603679172e-4
log_rbar_devs_1991,-0.5879224670100338,0.12570167944953656,0.0012570167944953657,0.0012570167944953674
log_rbar_devs_1992,-1.4239860475220782,0.1261993412914659,0.0012619934129146592,0.0012619934129146598
log_rbar_devs_1993,-1.0863103230775968,0.12299565688817964,0.0012299565688817964,0.0012299565688817947
log_rbar_devs_1994,0.3480974965821064,0.10704145867647046,0.0010704145867647045,0.0010704145867647063
log_rbar_devs_1995,0.08796857745850423,0.1181527311947959,0.001181527311947959,0.001181527311947958
log_rbar_devs_1996,0.9513157893798728,0.1028954098934109,0.0010289540989341088,0.0010289540989341095
log_rbar_devs_1997,0.7849820547465682,0.104986618179285,0.0010498661817928499,0.0010607215969940975
log_rbar_devs_1998,-0.8451022417738315,0.12732370497369044,0.0012732370497369045,0.0012622744410157407
log_rbar_devs_1999,0.08404476752818524,0.11767718080994137,0.0011767718080994136,0.001176771808099413
log_rbar_devs_2000,0.43125341909638065,0.11244822476425423,0.0011244822476425423,0.0011244822476425408
log_rbar_devs_2001,0.03314971478008882,0.12195419101809662,0.0012195419101809664,0.001219541910180964
log_rbar_devs_2002,1.2488275028913163,0.10126101743061669,0.0010126101743061669,0.001012610174306165
log_rbar_devs_2003,-0.6088054329553515,0.12586058568708516,0.0012586058568708515,0.0012586058568708487
log_rbar_devs_2004,0.017301593707518496,0.12084107774657983,0.0012084107774657984,0.0012084107774657986
log_rbar_devs_2005,0.20649712241695664,0.12089897051575778,0.0012089897051575777,0.0012089897051575788
log_rbar_devs_2006,0.5596970059035395,0.1204342681949121,0.0012043426819491208,0.0012043426819491217
log_rbar_devs_2007,0.7762194612682306,0.11724558691531155,0.0011724558691531156,0.0011724558691531151
log_rbar_devs_2008,0.4524283749902205,0.11763230618361029,0.0011763230618361028,0.0011763230618361024
log_rbar_devs_2009,0.4067285604553526,0.11165929923702644,0.0011165929923702645,0.0011732731636560495
log_rbar_devs_2010,-0.44329891874907884,0.11656868882554913,0.0011656868882554913,0.0011656868882554895
log_rbar_devs_2011,-0.8195468735255569,0.12147072209525278,0.0012147072209525277,0.0012147072209525275
log_rbar_devs_2012,0.153389828633055,0.12119100171729391,0.0012119100171729391,0.0012119100171729422
log_rbar_devs_2013,-1.7045863567524249,0.14287574199478173,0.0014287574199478173,0.0014564237282141473
log_rbar_devs_2014,1.4532507500271774,0.16561484579822455,0.0016561484579822455,0.0016936511286247584
log_rbar_devs_2015,-0.9351373501798756,0.1963810716353525,0.0019638107163535254,0.001963810716353523
log_rbar_devs_2016,0.7843126391915084,0.21660156673222822,0.0021660156673222824,0.0021660156673222832
log_rbar_devs_2017,0.5537261907789779,0.28786927676791146,0.0028786927676791147,0.002878692767679112
log_rbar_devs_2018,0.21675764513193382,0.4990298113976337,0.004990298113976337,0.004990298113976334
mat_a50_1,5.014485382939619,0.23829357942072904,0.0023829357942072903,0.0023829357942072842
mat_a95_1,7.624481475522041,0.3771122412908031,0.0037711224129080316,0.0037711224129080346
mat_a50_2,4.76423736318006,0.4141153659611102,0.004141153659611102,0.004141153659611101
mat_a95_2,7.306858841681058,0.8934683883004993,0.008934683883004993,0.008934683883004975
log_Mdevs_1,0.16611710633661808,0.0327696483670838,3.2769648367083796e-4,3.2769648367083823e-4
log_Mdevs_2,-0.2419138007555417,0.035501782968572544,3.5501782968572546e-4,3.550178296857253e-4
