Year,mean,median,p025,p975,p250,p750
1980,2.037677157,2.03318,1.3547020970123842,3.054475112705547,1.7586762277044,2.3413030811577515
1981,2.625635223,2.61668,1.7470941188324352,3.9194545368755103,2.275760599842349,2.998983301080287
1982,2.11278144,2.107335,1.4175130448085305,3.159396991919537,1.8284626013763552,2.429910217843486
1983,2.694783019,2.68891,1.8092819234339426,3.9661935021371892,2.34975854273835,3.0756965554938844
1984,2.8320188,2.824675,1.8737580557617617,4.289586650985355,2.452802003844835,3.2610912613088376
1985,3.049707959,3.041525,2.033330358611357,4.574306458644126,2.6496711694674,3.507677987561739
1986,2.808871879,2.803535,1.882201453289939,4.1677509180189505,2.4431001870994624,3.2044382721245626
1987,3.950116143,3.942735,2.6159309211671307,6.018781622125668,3.4212452325101075,4.5510806855117405
1988,4.042141914,4.035069999999999,2.577125102229054,6.363712728788994,3.4534531301449434,4.6989960303818465
1989,3.367795852,3.358315,2.2529067485848624,5.022615054646641,2.928211223775233,3.849617253393288
1990,3.094897676,3.0866,2.077493385623641,4.554109000386185,2.6933660291517354,3.5126175552634207
1991,3.824275931,3.819,2.3455783173427864,6.284695937282149,3.211896562557753,4.531088150898981
1992,4.720154881,4.709485,3.1413963425942697,7.153504462727931,4.091090851561523,5.428535645841142
1993,4.153079104,4.13928,2.6475345884559713,6.489188651135145,3.5742277847705672,4.825328467267678
1994,3.87535249,3.8652100000000003,2.616862469704972,5.683975398762441,3.377423084918407,4.4199711622337094
1995,3.61995403,3.612775,2.352279181074802,5.577992438573075,3.119379110512871,4.205812473462684
1996,2.456273415,2.45351,1.5943387396916182,3.717693351781804,2.124590467171494,2.83165667378893
1997,3.148016235,3.14178,1.8604770619685775,5.280177297470727,2.624255259904214,3.744397835191466
1998,4.143016348,4.13236,2.849999722484021,6.006656103401674,3.6313797909767116,4.692060666499084
1999,3.962406067,3.950345,2.383446451765767,6.640901146573641,3.333146002210582,4.727862651012688
2e3,4.936930122,4.9228000000000005,3.066698728484506,7.968417091146086,4.18287515023847,5.816385899280534
2001,5.294705719,5.2784949999999995,3.684140704143255,7.580313128761345,4.6499816362979765,5.973758855398572
2002,5.614021856,5.605605000000001,3.799527872468246,8.259707898204121,4.8913751518626984,6.400014375844996
2003,6.247728686,6.23535,4.160971788282118,9.345920223328136,5.440129117387138,7.149819941442569
2004,6.839944754,6.82529,4.70784890020394,9.863009697859816,6.009955141970143,7.779967994273918
2005,7.361072916,7.341455,3.821885938418956,14.2523858284188,5.8360082523309,9.2269355831416
2006,7.120830043,7.108125,4.747524488259705,10.713456340685603,6.164824893644317,8.1802682480329
2007,7.015357382,7.00057,4.704681090410886,10.496591543187401,6.104301144569216,8.047472493184909
2008,7.245870341,7.225545,2.2272028740393055,23.84653364860439,4.793606509150225,10.89112901484162
2009,7.860743953,7.84545,5.173020372964067,11.877404491565539,6.781767392711616,9.049360553570288
2010,7.651904586,7.6337,4.84834234133941,12.152371261579495,6.481042256177792,8.93721184074575
2011,7.196551793,7.17892,5.115318030570122,10.104106893939338,6.3774606268572605,8.068073868730071
2012,5.568199064,5.553075,3.906785590768011,8.01136213747234,4.919941732233321,6.311596435435532
2013,6.11612934,6.100445000000001,3.903322212528986,9.501748010474602,5.28021881679229,7.117216055383377
2014,4.503314106,4.48382,3.1772121131669007,6.335159212792362,4.0090610269674505,5.024826630283834
2015,5.237655271,5.216855,3.775165229158731,7.189778773317245,4.678746496881045,5.848908286626779
2016,4.385875286,4.361940000000001,2.8276166930602944,6.664425666773898,3.795749540318234,5.071726060325522
2017,4.499473593,4.465675,2.7637788758914006,7.3294027227753675,3.7685777153547395,5.271012744382934
2018,4.662692442,4.61191,2.5302999470183987,8.250735936251738,3.7401836628128864,5.630926641480674
