Parameter,q025,q250,median,q750,q975
log_Mbar,-0.5594568684989113,-0.47847460712911927,-0.4356351350226788,-0.3930273332468863,-0.313760974203393
log_rinit,2.567810795972094,3.7366288184629775,4.181819421469692,4.506794368581808,4.981899477015455
log_rbar,5.959322014032289,6.15659876933781,6.2693978791583,6.385507614842373,6.634650817555132
log_ro,6.146492413766407,6.372320523467369,6.493276358414838,6.620583764035858,6.88134257538595
log_reck,0.7253466887138417,0.9674847365563897,1.1108034486522214,1.2552417824630675,1.5664255753600167
log_rinit_devs_3,2.564236370348564,2.9199686431218357,3.2040226180383637,3.648370165258604,4.796374389284268
log_rinit_devs_4,1.3593014229841203,1.7238515323439474,2.004074637334572,2.4583706373066168,3.6109864340476525
log_rinit_devs_5,-0.41938406483480184,0.02474080229346942,0.33465682590846235,0.769768317040243,1.9503888048113394
log_rinit_devs_6,-9.564870646708293,-4.251844197330912,-2.1845488721620923,-1.1411656473835574,0.2915435697352377
log_rinit_devs_7,-9.65408755581767,-4.321614574619152,-2.1855574327451244,-1.1180967725249933,0.3216872489103343
log_rinit_devs_8,-0.4543621241902293,-0.28145674497960016,-0.19096755691287104,-0.10001121311775352,0.07308591850484475
log_rbar_devs_1980,-1.8223654628956505,-1.6366536047653124,-1.5397308558826923,-1.445180824370225,-1.258628406384087
log_rbar_devs_1981,-0.8120078876043304,-0.6488944099484182,-0.562140569270686,-0.4780317703407122,-0.31082753675593683
log_rbar_devs_1982,0.8292719733245287,0.9591828974427501,1.0259114902233293,1.0947283561961427,1.2190277762265482
log_rbar_devs_1983,0.0033686485764531653,0.1589247278822694,0.2382939350595965,0.318834816232489,0.46812231400359355
log_rbar_devs_1984,-1.23694231574824,-1.0663643863837038,-0.9751798083712195,-0.8832898505972988,-0.7119296241444146
log_rbar_devs_1985,-0.26866799002037095,-0.10620855852033406,-0.02297673661277244,0.05900825656691566,0.21053708837299703
log_rbar_devs_1986,1.6465871114757702,1.7602976753103512,1.822504247636699,1.8856048152368032,2.0012894652663684
log_rbar_devs_1987,-0.443574488182191,-0.2708709214310008,-0.1840465939335818,-0.09565277591020704,0.06930951576743104
log_rbar_devs_1988,-2.087977024717434,-1.9099871347080173,-1.8131713514359173,-1.7155462418950296,-1.5280690124025047
log_rbar_devs_1989,-1.1157422686129639,-0.9549653785564964,-0.8697949884569454,-0.7834557934018767,-0.6211853829876139
log_rbar_devs_1990,1.8103459326902862,1.9180027878480201,1.975677621075814,2.033571592668779,2.1458821733417004
log_rbar_devs_1991,-0.8382640328397376,-0.6718456339559671,-0.588349530602418,-0.5025393380950822,-0.34163109075671505
log_rbar_devs_1992,-1.6747812966102331,-1.5083142353604355,-1.4232246492071132,-1.3370821387585723,-1.1811307342108452
log_rbar_devs_1993,-1.3222230728578526,-1.1699422667294126,-1.084915697881505,-1.0036177775429782,-0.8457241187399297
log_rbar_devs_1994,0.1351377678272893,0.2770536890530555,0.34766571800515855,0.4194030159632596,0.55885064432772
log_rbar_devs_1995,-0.14162682741983654,0.008353878012097748,0.08848128052565762,0.16592667564490382,0.320187075290476
log_rbar_devs_1996,0.7455540081377893,0.8827840783652965,0.9522479947015245,1.0208611060500665,1.1526279119956069
log_rbar_devs_1997,0.5757629421838719,0.7150620836663633,0.7861340283442804,0.8565511762936269,0.985722648124751
log_rbar_devs_1998,-1.0916013453101343,-0.9315838605139297,-0.8452846680396053,-0.7582081292786107,-0.5973848029599388
log_rbar_devs_1999,-0.14756785917654094,0.0035904500285273144,0.08580414301573391,0.16203469707782636,0.313377830665609
log_rbar_devs_2000,0.21118427680401922,0.35443184212723944,0.43204634655873786,0.5062411455962104,0.6528815311561021
log_rbar_devs_2001,-0.20185438783963908,-0.05036681257405018,0.03210227628759377,0.11472502232459991,0.2762861322797161
log_rbar_devs_2002,1.0474099878749838,1.1813260092692373,1.2493720137415583,1.3171702009424706,1.4438107596361265
log_rbar_devs_2003,-0.857111190762466,-0.6932010721384798,-0.6081378591194646,-0.5257651004264825,-0.35878942887661874
log_rbar_devs_2004,-0.2235276381868152,-0.0649183985704771,0.018197287887699254,0.09944624530013835,0.2484706574742932
log_rbar_devs_2005,-0.029612832478213176,0.1248654825472646,0.20720051874958223,0.29015798982756325,0.44005728275986544
log_rbar_devs_2006,0.3142856707252514,0.4796879448814897,0.5611010799003981,0.6414368285503698,0.7885784988661408
log_rbar_devs_2007,0.5426837684863831,0.6983071514244603,0.7767138818486758,0.8537624472243133,1.0049157889882951
log_rbar_devs_2008,0.22267783598112437,0.37285783681324824,0.4513351597536355,0.5328401111352097,0.6835562502050354
log_rbar_devs_2009,0.18679143232817086,0.3318960851824464,0.4065189971789902,0.4835908328400862,0.622854512884215
log_rbar_devs_2010,-0.6683133605336465,-0.5220562267486564,-0.44398072853506765,-0.36424462246923506,-0.21598576564504196
log_rbar_devs_2011,-1.0551803385009286,-0.901800915973221,-0.8194261130089222,-0.7387830929052623,-0.5756931648888254
log_rbar_devs_2012,-0.07852393685968823,0.06993247613145703,0.15208406557159027,0.23431033454848427,0.3909889693265903
log_rbar_devs_2013,-1.9863623793192031,-1.8020581931372193,-1.7050459156684914,-1.6060237751092905,-1.426840361289175
log_rbar_devs_2014,1.1264508005708187,1.3419284970000955,1.4548926189248998,1.565829674105892,1.7763413487132238
log_rbar_devs_2015,-1.3269290372576554,-1.0652200208948197,-0.9351926672875903,-0.8026976953091385,-0.5449891572241296
log_rbar_devs_2016,0.35531482900310557,0.6370320033809955,0.7866142084731234,0.9281344112365435,1.2075643389707715
