Age,Blocks,mean,median,q025,q975,q250,q750
3,1980-2018,0.07951662219,0.0790245,0.057421692499999996,0.10391949999999998,0.07120697499999999,0.0872796
3,2019-2019,0,0,0,0,0,0
4,1980-2018,0.234793496,0.233593,0.17355159999999997,0.30246022499999997,0.2120215,0.25635175
4,2019-2019,0,0,0,0,0,0
5,1980-2018,0.5195218515,0.518817,0.40788729999999995,0.63094345,0.48081725000000003,0.5579485
5,2019-2019,0,0,0,0,0,0
6,1980-2018,0.7899794581,0.7925615,0.6883865749999999,0.874123725,0.759412,0.82361
6,2019-2019,0,0,0,0,0,0
7,1980-2018,0.9285982923,0.9314455,0.8758828750000001,0.9659722500000001,0.91492525,0.9454252499999999
7,2019-2019,0,0,0,0,0,0
8,1980-2018,0.9781996459,0.97967,0.957047925,0.9914731999999999,0.973321,0.9847222499999999
8,2019-2019,0,0,0,0,0,0
