Year,Age,mean,median,q025,q975,q250,q750
1980,3,0.11719199247,0.1162465,0.054092633541022415,0.2220624478083584,0.08952202457249765,0.14645089003437203
1981,3,0.02931370893,0.028859549999999998,0.012700287798764408,0.06061415570501174,0.021674162670401752,0.03692286121636607
1982,3,0.09424030025,0.0934036,0.043970985180576405,0.1777930695743726,0.0718666459932735,0.1158217895246996
1983,3,0.4192507649,0.4191995,0.251918260850131,0.588532882072879,0.35296491004947733,0.4718005940863855
1984,3,0.1699253157,0.16903649999999998,0.08439937337514702,0.29359037251279385,0.1315894199702204,0.20434563162397926
1985,3,0.05015224333,0.0496675,0.02304666141730811,0.10020442529595308,0.03770689425883085,0.06268633499366719
1986,3,0.14471684531,0.1436735,0.0710847424433417,0.2564818529280022,0.11243735859068542,0.17535617558552535
1987,3,0.5650583089,0.5657225,0.38413409786862474,0.7187170677772514,0.49540604210304684,0.6162649716514594
1988,3,0.06457948627,0.06391535000000001,0.02974125837709089,0.12848551754459203,0.04899269306221482,0.08166156869186308
1989,3,0.013287770683,0.0130881,0.005615087891618753,0.028870134953519526,0.00967719117655398,0.01699847646303769
1990,3,0.04874559044,0.0483107,0.02138953584925672,0.09888180894463691,0.036425385601014035,0.060937287897645256
1991,3,0.593015389,0.593808,0.4003969680534139,0.7521683593801569,0.5261635310979442,0.64730465257208
1992,3,0.03990619943,0.039403850000000004,0.017557588901592015,0.0824902212751332,0.029528580755301608,0.050985027784324996
1993,3,0.017384467089,0.01715965,0.00728146826261816,0.03859965624649418,0.01267573028944299,0.02244080138558397
1994,3,0.03452659078,0.0341081,0.01484723571011614,0.0715100320128143,0.025759905263917027,0.044402551689533845
1995,3,0.2041158089,0.203147,0.10121571688308706,0.3569688674914506,0.16030732260854175,0.24653447458092456
1996,3,0.1770757197,0.175385,0.0905857180393528,0.3012029540038766,0.13829935692754086,0.21070783554971403
1997,3,0.330273688,0.32886099999999996,0.18762983081309872,0.49976540230447913,0.2700711839244916,0.380712168363452
1998,3,0.2121539446,0.211122,0.10820508451871541,0.3503100362222005,0.16641424016159362,0.25117162798860493
1999,3,0.05376982297,0.0530664,0.02505630042851969,0.1043969583166673,0.04038400106279331,0.06637559119577123
2000,3,0.12432302861,0.1234225,0.05988218150225113,0.22192666649260248,0.09546808278938815,0.14999159048877514
2001,3,0.1624545826,0.16113850000000002,0.08208624068303082,0.2795246811423811,0.12730153843103942,0.19207639236054969
2002,3,0.10876806974,0.1079825,0.05344376997520539,0.19380705922420433,0.08358699535299283,0.13001292251151308
2003,3,0.28081894,0.28002150000000003,0.1549083185115866,0.4318491986924219,0.22663057481189042,0.32445643156231
2004,3,0.0407219809,0.0402812,0.0191270012885214,0.07826634650516694,0.030342487187187815,0.049463858891563864
2005,3,0.07418402118,0.073477,0.03514682532475058,0.14020836685696375,0.055927493667764526,0.09038556770320325
2006,3,0.09648969892,0.09555165,0.04665200583474323,0.1765493586222193,0.07330217325643673,0.11647082089024358
2007,3,0.14296430308,0.1419445,0.07243699616554816,0.24687428515078894,0.10960299909072455,0.1691365713414484
2008,3,0.16718991962,0.1660005,0.08537337596639263,0.2854435287383459,0.1303817881590006,0.19917930833537553
2009,3,0.11435630104,0.113535,0.05676840202149621,0.20262326035518388,0.0885249761903503,0.136528026960641
2010,3,0.10499601329,0.103944,0.051698073582661326,0.1881717449574395,0.08035651867241073,0.1259918378247586
2011,3,0.04879727919,0.04833825,0.02377355257292912,0.09207522531857447,0.037056740553129075,0.05947697703084737
2012,3,0.0408130224,0.0404287,0.01911228663257396,0.07591563645598783,0.03063390869621868,0.04932195978634066
2013,3,0.12962520774,0.1286785,0.06475402534573886,0.2263231170633935,0.10046434510178531,0.15540801339219257
2014,3,0.02420536561,0.0239082,0.01161659506211715,0.04674098124037806,0.01813369115308722,0.029467391295280622
2015,3,0.4497789454,0.4495755,0.27415182403755756,0.6234420764602746,0.3805753552700213,0.5060507391637201
2016,3,0.04239053125,0.041708800000000004,0.018672802063698916,0.08616303719528683,0.03131834439772,0.05290246112417718
2017,3,0.2217604869,0.2198155,0.106813204293729,0.3866508906554384,0.1705574877981811,0.2678617381735743
2018,3,0.185889568,0.182973,0.08477927854455428,0.34159793826619295,0.13903496105863444,0.22607601242631595
1980,4,0.6381607993,0.6391665,0.4438046557893322,0.7857939980645026,0.5695918694597284,0.6914879204704355
1981,4,0.16097893209,0.1599715,0.07880762329918836,0.29530862081392045,0.12438249971100158,0.19875688952135784
1982,4,0.05036660684,0.049871399999999996,0.023527300774913967,0.0978906730355228,0.03779088289626311,0.06200696758862845
1983,4,0.12223365961,0.1212065,0.061236893788292945,0.21519409937867728,0.09490375745285384,0.14709320772749357
1984,4,0.5302216242,0.5305,0.35502807506837697,0.6867344239029826,0.4624102173328822,0.5818243187106272
1985,4,0.2394310817,0.238932,0.12373699910012893,0.3947921208022172,0.1905124763701023,0.28679796818680786
1986,4,0.07986275371,0.0793051,0.03832798390522494,0.1462048091511271,0.060947158370131205,0.09685466965529486
1987,4,0.125297701,0.124525,0.06121839135803802,0.2272270475228401,0.09774522057723087,0.1528852984139071
1988,4,0.6882347304,0.6887455,0.5138658379608104,0.8091024185293679,0.6273884024272873,0.7314488385025035
1989,4,0.09534235148,0.09463535000000001,0.04396191758885945,0.1894491440049374,0.07245904589875526,0.1203529067299559
1990,4,0.02696662077,0.02667825,0.01204056588322205,0.05491424516278018,0.02001918301744683,0.033723938789626894
1991,4,0.04833418188,0.047875650000000006,0.02214685990455116,0.09394895263976509,0.03626180067904031,0.05980292779231067
1992,4,0.7595775745,0.7603625,0.5986197879927424,0.8623061187521018,0.7057782502960472,0.7972306796812175
1993,4,0.05757886149,0.05699855,0.025345632310432308,0.12031545450176197,0.043452114208348304,0.07402874739160357
1994,4,0.03502773578,0.03467775,0.015266744501669594,0.07268667112313457,0.026290143068018204,0.044639599571785746
1995,4,0.06943561184,0.06879075,0.032491875327577,0.131865906709162,0.052730267718130885,0.08517816673206438
1996,4,0.3395819248,0.338974,0.19418165353647163,0.5039269163082887,0.27844225029227215,0.39070483440382686
1997,4,0.2104771852,0.20937850000000002,0.1106021917263257,0.3473068168386345,0.1670739538134648,0.24747495707449707
1998,4,0.3938087937,0.393543,0.23703610196647718,0.5629500238953375,0.3305233547668229,0.44655963757684575
1999,4,0.3537763881,0.353176,0.20001279082224327,0.5300414211346363,0.29189557186334664,0.40801023844847883
2000,4,0.08208234487,0.08156284999999999,0.03948342525668802,0.14994184618337675,0.0627231714017198,0.0993681981188205
2001,4,0.1920770248,0.1909865,0.10202134547067286,0.31740619050385355,0.15168687397813582,0.22665796023752227
2002,4,0.2678410783,0.266756,0.14921920999381458,0.4186325384902769,0.21806875502077205,0.3095119118213794
2003,4,0.14161823028,0.14081149999999998,0.07210246737714764,0.24319886394063542,0.1104724500933996,0.16775945379330964
2004,4,0.4247743817,0.423991,0.2596677525969495,0.5894396265093651,0.3593489479055438,0.47804799564944755
2005,4,0.06622533829,0.0656163,0.031385416552953814,0.12467743153620729,0.05069234958348377,0.0809321192771081
2006,4,0.13304593307,0.132211,0.06561821289096283,0.23555896133966783,0.10359292547638961,0.1603690383689666
2007,4,0.1673609866,0.166572,0.08683963202919238,0.28178649913579984,0.13115010783175043,0.19804873496601647
2008,4,0.2246211573,0.223314,0.11956841125838062,0.36279867671406824,0.17996913211630441,0.2626200877322515
