Year,mean,median,q025,q975,q250,q750,q475,q525
1980,25694.595637029037,25595.140986353315,21656.002667607314,30302.357305055226,24146.22787098481,27116.80702837364,25450.470138230557,25735.187614365397
1981,31681.15980290571,31567.549990079147,26723.84201591746,37257.4461518111,29815.361890694243,33421.26149165546,31399.303335611454,31732.83692321259
1982,26089.18176106175,25998.037875614544,22008.341784430875,30576.84527877599,24550.58533036443,27536.404021252674,25877.46092285985,26129.95215943914
1983,34012.15078595207,33903.635441698454,29078.887321149057,39517.12449568994,32120.63758019357,35779.916885292885,33744.813598183384,34079.12431931921
1984,34789.13069071188,34687.382878811266,30049.49954805,40057.871646200314,33041.926629775786,36480.08113053639,34524.03051213651,34849.31325646509
1985,32704.682764170288,32582.839127846735,27883.129588394804,38074.95204920744,30884.030732599924,34405.43773010869,32421.628012081397,32760.248792962804
1986,30520.480059084195,30417.227011177496,25927.960823651316,35452.06574219009,28833.96900284398,32123.72406799092,30266.091073436364,30569.12630348994
1987,45960.51472695606,45849.225071099456,39758.914989307515,52761.14993716793,43627.69792103001,48186.35772393571,45655.54796181574,46053.29427456514
1988,45326.45925836108,45274.64229811063,39203.5235565158,51976.89818999537,43067.85863885888,47445.57309464494,45078.87354218567,45485.35296192597
1989,37438.31613351264,37362.48594545735,31567.91926629776,43944.578253488835,35266.70561520316,39486.87140369056,37180.063493463254,37543.9052889173
1990,34177.571231729096,34088.60424612535,28713.44165435746,40241.195242399524,32136.345598447937,36084.07372296568,33907.08569412906,34264.01871734386
1991,46019.62672237042,45935.20580259706,39988.58826252784,52491.93103904407,43790.64794197403,48115.97477898542,45745.73403293724,46146.88650543442
1992,52649.39221543685,52483.41012808924,46202.77673670055,59867.578650322976,50229.08904517296,54934.16411296546,52292.55770629864,52711.20119491171
1993,45397.986463546375,45276.90204810512,38861.34229149673,52798.48266055247,42941.25752331401,47690.755969046935,45029.33541303821,45488.98234088053
1994,42006.66850018739,41892.29259904318,35897.44041976234,48798.38620780881,39728.361515906436,44158.573822174214,41686.415595581915,42103.65638572279
1995,39119.55861019864,39027.86657554179,34311.79038338588,44341.45924733791,37372.95795762693,40821.83249189796,38856.82003571507,39199.938270244056
1996,26130.700577614145,26063.901320575853,22480.98227474151,30012.299102713907,24826.219713838487,27408.176988028834,25947.331290372364,26179.195418770258
1997,32043.09632046562,31945.97544037567,27008.28942437003,37456.80294980048,30200.594148900993,33765.65290240085,31793.960404770827,32108.56445247911
1998,39446.97259639763,39287.79294076148,32476.013580546307,47233.39359333318,36766.49066337442,41925.80303798585,39061.43213033797,39530.5755197425
1999,48794.97113031593,48586.884631495406,40903.56654688154,57788.72439868603,45798.5736017108,51596.95429793426,48325.80634493706,48840.46991776714
2000,59191.915948323374,58994.02544147799,50505.23049449944,69004.51398840362,55949.20522939218,62174.32042152605,58671.33038647237,59288.35512246743
2001,62290.265658413984,62132.10167772658,53665.099539231465,71857.64677351795,59104.83586498821,65241.24209087502,61832.86392998081,62417.918715139225
2002,65543.89271147954,65385.86609052228,56713.744791551835,75449.54970347672,62262.395555457566,68657.48803985979,65063.83518155162,65661.92486606848
2003,82615.97630018299,82471.72556714214,72524.49072951342,93792.74510020061,78937.06320686082,86105.78936925417,82155.80425053462,82803.00767212681
2004,89899.77932714566,89774.63127493992,78849.43726713551,102074.94929341476,85877.99554663904,93745.81119513218,89406.52902400847,90095.3972750722
2005,95088.0729954364,94916.27901849689,82918.58010538152,108448.18283030928,90672.44097092087,99236.8658921052,94496.80052470292,95289.18737185563
2006,90537.13926673868,90313.4438589916,79015.98635331466,103079.83531382965,86393.93505147821,94488.13906832162,89944.40188275755,90711.81849247118
2007,89064.59886681805,88946.40534403316,78050.27668158468,101066.07839679006,85108.7986948566,92838.4940144183,88566.06461782666,89298.2594413457
2008,92778.02237703653,92624.89252408562,81608.12076985824,104915.54046605967,88677.2195154214,96688.58440441808,92234.79904759805,92956.35375559426
2009,100857.42125046848,100632.84023016381,88789.22319716042,113780.39639321854,96388.23056063846,105190.61817941313,100205.58213364493,101063.63400868626
2010,98206.0941048083,97961.54015741088,86906.93963711722,110481.96058114157,93988.01781344386,102326.6606406667,97602.19030401905,98321.09118366806
2011,91383.67337242885,91142.4414118477,80830.96243303425,102818.03776538283,87463.45818911352,95160.16667034106,90822.47183579885,91481.40666681365
2012,70821.25663043719,70705.26246169448,62104.094556758304,80135.16887497519,67644.87202098813,73834.71306686655,70424.34522366014,70963.5877113693
2013,76252.23539981041,76111.13560704602,67062.89545624904,86109.32505125775,72900.88516060759,79476.15137018013,75797.3114486651,76452.01338212923
2014,56693.314513106554,56552.55847792059,48521.84792433696,65439.55168764744,53680.41623492581,59573.375735796646,56301.17506999714,56840.197094292205
2015,64102.36794241496,63880.26631980423,54243.669944222755,74942.58305959124,60383.41343504045,67530.25860358475,63561.514804118255,64213.370003747885
2016,54822.219647699465,54566.238232765274,45989.50318569633,64737.5961771644,51488.10048722415,57985.32264820653,54266.22059569214,54894.84170726868
2017,57135.74346877136,56783.93483101479,44895.99914019269,71509.14647589232,52416.88529288565,61523.31951762605,56378.96282986838,57187.46279679888
2018,59525.25743512864,58898.73013073481,43494.43329879407,78875.89012103439,53079.92901078066,65364.977182036644,58374.156727441085,59449.150113538664
