Year,Age,mean,median,q025,q975,q250,q750
1980,3,0.15689559576,0.15575650000000002,0.09027448462969909,0.25370951224408866,0.12896972068860457,0.1843866201376916
1981,3,0.04456676057,0.04394945,0.02409390470706093,0.07683718050316228,0.03550349442959074,0.053003182230109136
1982,3,0.14735907565,0.1460535,0.08697923725845763,0.23500328100765655,0.12166226832964938,0.17112385416065357
1983,3,0.5360926389,0.536483,0.4005713684731563,0.6613572737098213,0.48770495794071134,0.5785170643934616
1984,3,0.2262078553,0.2249555,0.1361431694390097,0.34430522674621,0.19117590331381867,0.2596049916577325
1985,3,0.07673958494,0.07598165000000001,0.04263848999036072,0.12748164157934605,0.06198937275146773,0.09039789953780097
1986,3,0.2177294867,0.2166745,0.13210674504713513,0.32518201729788127,0.1830249175336706,0.2493644390224956
1987,3,0.6633632941000001,0.6639935,0.5292230106091319,0.7686089121434235,0.6176168171524621,0.7004765594969041
1988,3,0.08893657975,0.08818615,0.04969958519309822,0.14807684483932548,0.07248056428810154,0.10603532466606042
1989,3,0.02213816676,0.021855100000000002,0.011581569609616335,0.03968725372430826,0.017532352426673815,0.02678640524910505
1990,3,0.0770199337,0.07636575000000001,0.04263719087533776,0.12941257834199235,0.06195567869054897,0.09102824717894453
1991,3,0.6865802348,0.6873955,0.5537853578344737,0.7910217827957174,0.6425667216988313,0.7246395109080824
1992,3,0.05349793115,0.0529629,0.029290038656798537,0.09355541385664054,0.043158980769705965,0.06459123223512939
1993,3,0.02810574003,0.02781765,0.014764486895590394,0.05019888997159031,0.02222967143298957,0.033946062284539405
1994,3,0.05520597707,0.05462655,0.02940978042553462,0.09694923173267898,0.04428995379408109,0.06650681886969097
1995,3,0.2827415528,0.2819915,0.17934491878455883,0.40866271775233,0.24092541292863173,0.32098107348800364
1996,3,0.2560311312,0.2551275,0.1607715139985038,0.3749132472014478,0.2168427366898853,0.291842855393222
1997,3,0.4440927048,0.443639,0.3110838453784745,0.5791189843998243,0.3945368969924077,0.48725111326257586
1998,3,0.285355611,0.2845165,0.17966375460963416,0.41269016191822966,0.24342093642590262,0.32302233492676713
1999,3,0.06196359646,0.0613394,0.035067686015879757,0.10335569940042716,0.050779626304744835,0.07324539129993016
2000,3,0.13902411904,0.1380325,0.0831193205104909,0.2195263850335624,0.11520785252833372,0.16150113306743297
2001,3,0.1903527809,0.1895155,0.11628872866487058,0.2856767847116409,0.1602498541528557,0.21801756333080385
2002,3,0.12481126926,0.123945,0.07380610408552359,0.1964430257330129,0.10276736323085212,0.14443688626305987
2003,3,0.3073982201,0.3067745,0.20077730510072572,0.428960423801487,0.2650920217448238,0.34470160840206543
2004,3,0.04590332899,0.04540325,0.025827157004209463,0.07660512037393273,0.03699758852607496,0.05383833979509611
2005,3,0.08530511117,0.08458635,0.04921715730755658,0.13742108240946868,0.06963249846126025,0.09993214212229441
2006,3,0.11086741662,0.10993800000000001,0.06503905163676699,0.17726675708510267,0.09096808126650606,0.1288074288590346
2007,3,0.1640168381,0.1628035,0.09882428583695428,0.250425925538594,0.13692077554326468,0.1884055106915236
2008,3,0.1912869378,0.190355,0.11614443107713139,0.28679638826672127,0.16105398122370546,0.2197090258260508
2009,3,0.13056977144,0.12979849999999998,0.07712275600711851,0.2021172568643376,0.10755933316562415,0.15058371926253725
2010,3,0.12279356971,0.121981,0.07237905240657073,0.19164463641727997,0.10173398016544201,0.14136970219670597
2011,3,0.05884038439,0.05835785,0.03387428557299708,0.09442600847653135,0.04803685689311512,0.06854778805372969
2012,3,0.04930673522,0.04886355,0.02833348350457595,0.07967704044559609,0.039987798343972356,0.057321055301571
2013,3,0.14599134664,0.145129,0.0880070500622474,0.22173217756515184,0.12094670429815585,0.16666569915803509
2014,3,0.03075266448,0.03042895,0.01755365330927557,0.050633518712907194,0.025040699668751845,0.03599779764233908
2015,3,0.4936329521,0.4938245,0.3526930923782435,0.625985804463193,0.44252471473261784,0.5381912911116976
2016,3,0.04804732281,0.04738085,0.025596926541672862,0.08377414196193896,0.037976270693189616,0.05783377644305309
2017,3,0.2592590491,0.257868,0.1502747199986393,0.4020931883647019,0.21559506785867016,0.30165024582356553
2018,3,0.20172166791,0.19894,0.10782861020143526,0.3287811435513989,0.160543252158533,0.23774721687164385
1980,4,0.6449854063,0.6459055,0.5009731347956393,0.7613697232750528,0.5975073940822131,0.686164786922246
1981,4,0.1865653563,0.1857945,0.1097014935420339,0.29416615855774747,0.1544948964350782,0.21731849593991637
1982,4,0.05966009097,0.059187550000000005,0.03427787927129735,0.09748180966700952,0.048507905961870344,0.06993667542896498
1983,4,0.11814946051,0.117473,0.06908702895683293,0.1880637687411981,0.09759002673702714,0.1376608762462655
1984,4,0.5333128137,0.5336395,0.39359471812920827,0.6571241918145531,0.48445509435341017,0.576281942768291
1985,4,0.27552298670000003,0.27458,0.17204874619183688,0.39956342589966504,0.23485643381885118,0.3138086823327112
1986,4,0.09092851449,0.09032865,0.053275448196195375,0.14251357397220052,0.07507418330423277,0.10563395498820966
1987,4,0.11206622796,0.111499,0.06414799940008073,0.18335169393838405,0.09188887919250943,0.13243118268917853
1988,4,0.712242824,0.7126855000000001,0.5951076103777777,0.8046055677567122,0.6707572362069607,0.7434273569582323
1989,4,0.11854420614,0.117945,0.06709501930902954,0.19742775640707105,0.09745980755602364,0.14118420008763793
1990,4,0.03246980445,0.032142950000000003,0.017786856486035185,0.05654700797858322,0.026129464856137527,0.03874846063740516
1991,4,0.04291607801,0.04253685,0.0236215281775413,0.07309031448014171,0.03458107357691057,0.050939467999644224
1992,4,0.7753481008,0.7762724999999999,0.6710493049778107,0.8525606330601476,0.739809018453917,0.8038030161449983
1993,4,0.07012223532,0.06948465000000001,0.03848440265675076,0.12092086334281903,0.056596300032778095,0.08434181156097692
1994,4,0.04266597369,0.0422241,0.023409451419104835,0.07458653710097471,0.034439922017102075,0.05135304819817042
1995,4,0.07352974988,0.0729677,0.04226785353475745,0.12021518986967888,0.060082377049769514,0.08564758903457902
1996,4,0.3655018438,0.365054,0.24554769210289254,0.49456507686145534,0.319043361073212,0.40560817824175405
1997,4,0.2105431062,0.20948650000000002,0.12829924936858422,0.31710227527037327,0.17709412987403209,0.24182418381803017
1998,4,0.4002675029,0.39980499999999997,0.27625314727251965,0.5314514831696133,0.3519304426013516,0.4416875233522162
1999,4,0.375176193,0.3751225,0.2509017280545066,0.5056563502525557,0.32583288485616424,0.4168541523723285
2000,4,0.08606586077,0.08558015,0.050410868217640487,0.13801490752108087,0.07128376079477058,0.0999880416992729
2001,4,0.2072653531,0.20609349999999999,0.12963161024065512,0.3066871111279575,0.17480614893264518,0.23551792828314683
2002,4,0.2847337334,0.2837735,0.1864200677656829,0.39953503321245487,0.2445365064306521,0.31884196301436085
2003,4,0.14512492901,0.1443915,0.08843206393164671,0.22204198484641663,0.12113697784207861,0.1666282982086002
2004,4,0.44599109,0.445503,0.3199560853377506,0.575762257533714,0.39678313657346015,0.487366548305487
2005,4,0.07093630741,0.07031475000000001,0.04103115732522695,0.11403139309741872,0.05818946758558293,0.08274101067922954
2006,4,0.14254388652,0.141784,0.08601025976888402,0.21982572674838533,0.1188865605345743,0.16457556691642744
2007,4,0.1784253445,0.1774705,0.1111713737031262,0.2673492203415314,0.1502762269278886,0.20254145343665758
2008,4,0.2378424096,0.236901,0.15124902553315217,0.34474262746439505,0.20255735123142316,0.26814889001985504
2009,4,0.2761987067,0.2754715,0.17943801798249806,0.3904077450474725,0.23668035555408543,0.310457968336244
2010,4,0.1968033066,0.1960495,0.12119254639676219,0.29173303209225865,0.1661182829912219,0.22488798643935232
2011,4,0.2094611661,0.2083005,0.13014756658641077,0.30749686921522645,0.17692545778064223,0.23697984026608804
2012,4,0.10878021379,0.107974,0.06544077727742957,0.17055238454556387,0.09013006392494963,0.12565139776441164
2013,4,0.08404835307,0.08346895,0.05015983875699416,0.13261526158643058,0.069277791036589,0.09673456426025762
2014,4,0.2913844127,0.2904795,0.18864712266748285,0.40753951875534816,0.2512454258579679,0.3273136201516189
2015,4,0.03050457114,0.0301982,0.017266314579888094,0.05112388427491828,0.02470138557856867,0.03590278598232449
2016,4,0.6574465272,0.658265,0.5210032967150139,0.76508645848467,0.6096894227936396,0.6961115715696368
2017,4,0.0570682887,0.0563671,0.03158361269964229,0.09634408914227241,0.045871315317521144,0.06743498067120397
2018,4,0.3174432237,0.316023,0.19540002495521017,0.45855111650771213,0.2685002958038004,0.36045347010179996
1980,5,0.1731220053,0.1720845,0.09994357120991477,0.2789655310669614,0.142719165270018,0.20347294513094244
1981,5,0.6281483754,0.6288505,0.49106917040677167,0.7440673093155471,0.5791195680838506,0.6708470952701002
1982,5,0.2022000608,0.201157,0.12335551372335439,0.3066562095843368,0.16986867864402044,0.2332822754624737
1983,5,0.03852081499,0.038205,0.02130888431469706,0.06504528374248773,0.031019534379916378,0.0455885790244957
1984,5,0.09429421179,0.09378175,0.054066236351685795,0.15109594886721178,0.0767996035085172,0.10990851171798131
1985,5,0.5166063755,0.5168195,0.3759060422396886,0.645311993991189,0.4669773261773734,0.5605401735777871
1986,5,0.2633526053,0.262578,0.16888551145746492,0.37821560712254465,0.22400035182510392,0.29702179701083203
1987,5,0.03835582033,0.0379392,0.020854369865371345,0.06602066313583897,0.03081717623870849,0.04589776081479216
1988,5,0.09539491915,0.0948509,0.05407891899767192,0.15857212046303323,0.07803628735749933,0.11328195479730388
1989,5,0.7405051491,0.7410955,0.6219195896833486,0.8272597908549125,0.701265353998447,0.7709078739313664
1990,5,0.14262942821,0.1419315,0.08277741746816762,0.22960613225752616,0.11819727455208565,0.1687717895973298
1991,5,0.015072598163,0.014850200000000001,0.007982608704363845,0.026791333510261625,0.011908673978529134,0.018064391180096822
1992,5,0.03956625906,0.039368150000000005,0.021416151360532206,0.06851674522083559,0.03171692928988448,0.04750875200220622
1993,5,0.8102161727,0.8109575,0.7163923199873704,0.875293222289759,0.779279082917001,0.8354479924650835
1994,5,0.0872141492,0.0864731,0.04873328009847936,0.1490611938481805,0.0707380136074074,0.10402858473609891
1995,5,0.0469238736,0.0465087,0.026372033933122097,0.07770431069121618,0.038010609907313905,0.05515346391029423
1996,5,0.07371729489,0.07303825,0.04307450043520958,0.11896370123199462,0.06049307232159864,0.08605575948349312
1997,5,0.2323423837,0.23154049999999998,0.14385056160282128,0.3458067908888513,0.19652424754363748,0.26404746347814023
1998,5,0.15223905562,0.15132099999999998,0.09074867808328967,0.23606764941369282,0.1262671904298127,0.176617632548724
1999,5,0.3961710919,0.3953805,0.26828010961436266,0.5312450344922148,0.34785034546411403,0.4401234388831299
2000,5,0.3884442998,0.388209,0.2639383552807674,0.5152199699680882,0.33971686749583796,0.42829674202905854
2001,5,0.09273152285,0.0922538,0.05523255307776476,0.14487928479956774,0.07645533380860813,0.10673803191379719
2002,5,0.2263203717,0.225217,0.1435872774669213,0.330391634175159,0.19259690723764106,0.2549340468459373
2003,5,0.2463031064,0.2451835,0.15712604326031346,0.3527684347893756,0.21021984667253174,0.2776933615577416
2004,5,0.1551318604,0.154513,0.09402564882912562,0.23661646112790713,0.1294483774118087,0.17819058968693033
2005,5,0.5073635285,0.5075635000000001,0.376594372171573,0.6322360868357093,0.4588039326600136,0.5478859173798423
2006,5,0.08759453438,0.08693435,0.05100688539741249,0.14038037588475355,0.07233475080469588,0.10138846155701015
2007,5,0.16842168306,0.167766,0.1041872129884798,0.2536118775054108,0.14160078223770062,0.19149982515380903
2008,5,0.1886327654,0.187751,0.1160279410096384,0.2785207343959401,0.15895987256875135,0.21431082238913468
2009,5,0.2511224855,0.25033000000000005,0.16101153118582132,0.35683411473920085,0.21405726257001112,0.2836123666159812
2010,5,0.3015584165,0.301024,0.19727107601782184,0.4174708197063276,0.2589977159483,0.33653974959389676
2011,5,0.2413752738,0.2408,0.15389426800429412,0.3463208043095473,0.20524236408297108,0.27130736626240637
2012,5,0.2801945539,0.2791345,0.18204468078633074,0.3971907153941562,0.24186880681179113,0.31453640832258445
2013,5,0.13816189693,0.1373525,0.08354460625583632,0.20830346371967373,0.11428630275880401,0.15818095638830332
2014,5,0.11818814646,0.117599,0.07077654415387834,0.18376960159234618,0.09811335478001883,0.13594357795381423
2015,5,0.2117924414,0.2106425,0.12808706757095115,0.321010225889519,0.1775123768182888,0.24309391667978922
2016,5,0.0293634282,0.02909735,0.01611064810883009,0.05051391219901647,0.02355288792598708,0.034951375006543925
2017,5,0.5558679419,0.5563235,0.4064354769105133,0.6901145094687045,0.5018765846659325,0.6022269723186713
2018,5,0.05249659796,0.05184165,0.029228110947975613,0.08938780770010676,0.0423316195651403,0.06197111666684128
1980,6,0.021897437022,0.021512950000000003,0.011087008588155171,0.03965709313486752,0.017024020709523226,0.02656245572489347
1981,6,0.12682730843,0.1259845,0.07155644671755129,0.20646965733549086,0.10336159376546408,0.14874308244638954
1982,6,0.505011183,0.5054125,0.36832357886951717,0.6335553098605946,0.45481780314039244,0.5483538784856334
1983,6,0.09617265284,0.09535645000000001,0.055035957127184246,0.15492016109322782,0.07904844021387361,0.11257914792545694
1984,6,0.02258324635,0.02238125,0.012582513653125758,0.038133948665704784,0.018260462598212294,0.026571116471970066
1985,6,0.06631724244,0.06589054999999999,0.038382246898940806,0.10892467665329603,0.05413016726024113,0.07740453048964809
1986,6,0.36453066,0.36452300000000004,0.24650000290868992,0.49207997982690044,0.31879711940700717,0.404007091270514
1987,6,0.08355571771,0.08282865,0.04640798432594837,0.13959934213175254,0.06785171552095923,0.09904844018872325
1988,6,0.02364449054,0.023400400000000002,0.012772695826644568,0.041208408071858826,0.01901595247532072,0.028445712422244397
1989,6,0.07029022329,0.06990515,0.039342121647381025,0.1191931982934852,0.057438875123349976,0.08363585975019108
1990,6,0.6712021225,0.671543,0.5377006394839209,0.7723352716095991,0.627201231591539,0.7064507115796133
1991,6,0.05062754322,0.0501148,0.027176140626188696,0.08630062483000105,0.04072775797062127,0.06033759160753063
1992,6,0.010427163113,0.0103202,0.005524680938359165,0.018775820086921344,0.00826986469215865,0.012562400153933482
1993,6,0.03013460698,0.02995135,0.016294965626347607,0.05257898309882534,0.024163738404515706,0.03631599851466468
1994,6,0.7581796569,0.759019,0.645942064460055,0.8375395671424557,0.7212727193197833,0.7870333655350581
1995,6,0.07272618544,0.0721382,0.04184560346351511,0.11801825128278108,0.059515307541472044,0.08465343584395414
1996,6,0.03310471926,0.03283795,0.01879386548389154,0.05450536743384153,0.026835707971317437,0.03873044546945946
1997,6,0.03276724525,0.03244965,0.018921464631626823,0.05427794432861954,0.026495056166139546,0.03837249713784674
1998,6,0.1233654307,0.1224545,0.07184496119527091,0.1960544316700794,0.10202453898228239,0.14267910738370176
1999,6,0.09826268471,0.0974962,0.05784178436449358,0.15839126607777618,0.08090781910744388,0.11491356335416386
2000,6,0.2925735136,0.2917865,0.1893888678326614,0.4139422896595308,0.25193220211581907,0.3302063544219106
2001,6,0.2897872104,0.2892895,0.1902452680406294,0.4018676784232674,0.24912590577358212,0.32381513103759424
2002,6,0.07082751214,0.07033425,0.042168266709690226,0.11184091135784884,0.05864702899990097,0.0819835812304415
2003,6,0.13923264997,0.138424,0.08542255901361094,0.21282272483164438,0.11578522981778192,0.15938517049041456
2004,6,0.1857531076,0.18482949999999998,0.11368244017527318,0.2794074821474993,0.155781775084875,0.21211942164061653
2005,6,0.12451892135,0.123818,0.073448570190209,0.1960234228429054,0.10276572745647013,0.144126298517757
2006,6,0.4430324275,0.44285399999999997,0.31852281196899657,0.5631346567835119,0.39574074881109417,0.4814218570236311
2007,6,0.0727821637,0.07221715000000001,0.042898769252621365,0.11452857258736296,0.05990275768827029,0.08406924091585256
2008,6,0.12443664997,0.1237785,0.07651013961810413,0.19017646155055176,0.10318859757598607,0.14257930371705269
2009,6,0.13949277937,0.138735,0.08534564105673247,0.2128151732599895,0.11663869487509965,0.15944477902515308
2010,6,0.190502721,0.1897455,0.11835677633301764,0.2838580839202653,0.16066694311888674,0.21757267965705496
2011,6,0.2551178273,0.2543165,0.1632209214237389,0.36442255618638175,0.21847630098613016,0.2884806057131005
2012,6,0.2242195296,0.22332049999999998,0.1409642154909188,0.32428612779050836,0.1895789785642347,0.25315130454215096
2013,6,0.2538428148,0.2530545,0.1651167187680402,0.3605284722147276,0.21717389413203456,0.28473026066279195
2014,6,0.13124872196,0.1304685,0.08003059283875345,0.20019501525642333,0.10967698455739111,0.15090141250744593
2015,6,0.06019485757,0.059754749999999995,0.03443239130949466,0.09818953328345546,0.04904790192849687,0.07040353725632414
2016,6,0.14125321956,0.140312,0.08132638352275738,0.22836756833416588,0.1162498414123839,0.1655180579487724
2017,6,0.01687370621,0.0167282,0.009480115319669476,0.029024045314530456,0.013566313123468808,0.019950589983472825
2018,6,0.36751828,0.3666215,0.23852193800345656,0.5059809811475596,0.3191878387839916,0.41238392872999374
1980,7,0.0015476494060916227,0.001219845,2.411655205237622e-7,0.005897217846823914,1.1319534178156802e-4,0.0024325733770636272
1981,7,0.012451610036,0.0122331,0.006266284685814954,0.022726411266231514,0.009680841557938377,0.015080820028521139
1982,7,0.07848007594,0.0779233,0.04398377583237854,0.12880382388623052,0.06374135317028476,0.0916780070349982
1983,7,0.1845062385,0.183697,0.11141705947875598,0.2816759978765991,0.15418623961944988,0.21175398751229238
1984,7,0.04326967919,0.04288145,0.02435450138470111,0.072809754887183,0.035157057232114465,0.050777413917893616
1985,7,0.012092296978,0.01196345,0.006761722693161374,0.020839845041604927,0.009687316431044878,0.014344234496717168
1986,7,0.03591607332,0.03560415,0.020900495996455156,0.059084636200834983,0.029251438958831227,0.04199104199163521
1987,7,0.08982206846,0.0893465,0.050462714649961694,0.14806293814193397,0.07349959595881497,0.10618912436887912
