Year,mean,median,q025,q975,q250,q750,q475,q525
1983,760.5338387,734.9175,486.78625,1184.1512500000001,634.544,858.46275,724.478525,745.171
1984,794.7096219,768.701,521.497,1214.3825,670.696,890.59375,759.7618,779.38725
1985,764.3966322,738.4245,484.37922499999996,1193.6347499999997,637.4427499999999,863.30175,728.43805,749.71585
1986,799.7263683,775.2860000000001,523.5719,1209.9752499999997,675.6747499999999,897.22075,765.3888,786.1288999999999
1987,801.2617875,776.4010000000001,528.9968749999999,1210.6239999999993,677.1487500000001,897.20725,766.638575,787.4775
1988,797.7282313,772.421,524.9901000000001,1211.5092499999998,672.953,894.28925,762.73175,782.2695249999999
1989,790.6711776,765.2255,513.0956749999999,1213.95375,664.5965,888.56975,755.29575,775.2496
1990,776.9393946,756.3325,527.5393500000001,1140.9734999999998,666.6735000000001,866.09975,746.952675,764.792425
1991,781.2790355,759.448,525.2696,1158.4817500000001,667.88725,872.54125,749.938825,767.9985250000001
1992,800.8978983,777.0695000000001,532.5060500000001,1203.9232499999998,679.27675,895.3825,768.0401999999999,787.81655
1993,799.6674046,775.244,525.1301,1212.9917500000001,675.3035,896.6399999999999,766.2853749999999,786.1319000000001
1994,776.8959625,756.733,528.119025,1138.6002499999997,667.25275,864.5074999999999,747.5091,765.93175
1995,744.0953193,723.1245,497.1551,1106.3522499999997,635.76225,831.82525,714.6922500000001,732.5807
1996,782.276314,759.9490000000001,522.8941,1173.2959999999998,666.51575,874.25,749.3025250000001,769.312375
1997,793.5526616,770.54,533.170575,1186.98325,675.8815000000001,886.427,760.0761,780.2534250000001
1998,800.7526447,776.2094999999999,534.591125,1201.1569999999997,679.8025,895.3744999999999,766.87445,787.5129750000001
1999,765.269584,739.0505,494.68535,1182.1367499999997,640.532,862.2450000000001,729.0024249999999,749.8597
2000,797.1834088,771.641,526.349775,1210.4867499999998,673.5762500000001,892.96175,761.811675,781.712025
2001,801.438501,776.434,533.70055,1211.3864999999996,679.2027499999999,896.32025,767.24405,787.2220500000001
2002,765.0202767,742.7475,513.78905,1141.078,652.44875,854.15975,732.8762750000001,753.1329000000001
2003,698.705048,679.7304999999999,472.92895000000004,1033.0582499999998,599.133,778.74,671.331475,688.8358000000001
2004,675.2363473,658.8275,461.833575,987.5185,581.9875,750.62375,650.000625,666.414025
2005,651.2226247,634.3195000000001,441.58869999999996,955.3455749999999,558.9635,725.7752499999999,626.716575,642.1355
2006,517.8910503,503.9425,339.187025,781.6523,439.33324999999996,580.64575,498.116175,510.945125
2007,464.5074813,451.406,293.64202500000005,716.4304749999997,389.01775,525.38125,445.87942499999997,457.530075
2008,427.4178022,414.8035,267.07932500000004,668.7546749999999,356.01175,483.59325,409.11109999999996,420.701825
2009,458.8704452,447.46,297.323425,695.3911749999997,388.16075,515.6215,441.200825,453.211
2010,469.8582075,457.85749999999996,304.67022499999996,708.5465249999997,398.161,527.87525,452.015475,464.20079999999996
2011,443.5308687,431.5645,280.170825,677.6841999999999,372.54299999999995,501.953,424.97934999999995,437.862475
2012,388.7376035,377.1545,233.581775,618.5894,319.9945,443.54474999999996,371.24715000000003,382.94422499999996
2013,405.6915556,394.21900000000005,250.18862499999997,637.4576749999999,336.494,460.99899999999997,388.81105,399.79337499999997
2014,452.6481733,441.2395,290.99585,691.9355249999998,380.94925,508.68399999999997,434.509675,447.33254999999997
2015,610.849112,596.3340000000001,414.95867499999997,892.4545999999999,524.961,678.6245,588.58905,602.728075
2016,567.611533,553.407,382.545875,836.8054,486.63125,631.64,546.2359749999999,560.729125
2017,718.5099862,699.437,487.921825,1052.3044999999997,617.811,798.7345,691.828225,707.181075
2018,663.3577741,646.263,448.628125,974.517525,569.311,739.2547500000001,638.4051999999999,654.02255
2019,731.6946199,711.21,485.951575,1094.94325,623.14725,818.834,702.0302750000001,720.342925
