Year,mean,median,p025,p975,p250,p750
1980,2.021671454,2.013985,1.3328969376162672,3.0460107052241314,1.7484000102278816,2.3252659533101245
1981,2.574480765,2.5648600000000004,1.7137533051847256,3.86597263516954,2.2300615898048717,2.949879703693662
1982,2.125049364,2.117745,1.3995715391263652,3.1929264054073614,1.8458708240648294,2.4326455516958765
1983,2.764058622,2.7561400000000003,1.8609286932467195,4.088219937304456,2.4059624887966202,3.1538605725203954
1984,2.813415853,2.805675,1.875076685987275,4.250838095520871,2.443268739137724,3.2404980852291554
1985,2.981812807,2.97083,1.993315621999385,4.490309066762751,2.586091986284946,3.423246747380336
1986,2.791960602,2.782115,1.8714012923044674,4.1399403568453215,2.42657004878387,3.176719590771673
1987,4.028989345,4.01917,2.6685495450862895,6.106887076790395,3.4816657889862612,4.643181570421047
1988,3.970120169,3.96481,2.512370681879964,6.233462701991372,3.4005939272174928,4.626248131745827
1989,3.301123221,3.294595,2.1933762231733462,4.905040524064866,2.8664126452449317,3.7764404474078948
1990,3.096917497,3.0888400000000003,2.081545190623164,4.541165570062441,2.6877819234868903,3.5272728945716048
1991,3.951138369,3.946215,2.429200302977244,6.414945114195705,3.322801704641072,4.676710422933228
1992,4.647746633,4.634055,3.051219886292923,7.0627440828553825,4.02156252682429,5.350602590329015
1993,4.039262948,4.027815,2.564805211089496,6.362194828595574,3.47459379432373,4.694294320208384
1994,3.852528488,3.841405,2.6122889586847027,5.676161634947969,3.3459763186256835,4.391556851330819
1995,3.63227121,3.62245,2.3506932025896203,5.590330514716133,3.1305262432562455,4.213544886839126
1996,2.380620271,2.3747350000000003,1.5430384144354652,3.6222724766875505,2.054608312400317,2.747378607041186
1997,2.906548359,2.8979,1.7240071196639852,4.9084202821727505,2.4163560378948628,3.4734745554924005
1998,3.591154388,3.5767499999999997,2.402979287533285,5.281688847657432,3.1218871650612394,4.0893721857151215
1999,4.390112721,4.37074,2.6332064711458387,7.378571951806899,3.6782407594800572,5.259455927810124
2e3,5.379677972,5.361685,3.2958915544978598,8.790483048176135,4.56299031698714,6.333090086819961
2001,5.683604084,5.6698900000000005,3.931873601933909,8.214910091167246,4.976760332248392,6.4232299629374365
2002,5.997912771,5.984285,4.037569011655941,8.8562646477121,5.23612669725735,6.839181557382483
2003,6.576572936,6.56712,4.39481472940166,9.784033284235266,5.705393163330747,7.545077808405922
2004,7.174094819,7.16411,4.933850968707123,10.295008737086485,6.3403073723099865,8.159588767224871
2005,7.639715204,7.62556,3.9303157891835885,14.614420272928257,6.0796360310969835,9.57571677323104
2006,7.296311514,7.277975,4.8380449561484244,10.907844777348572,6.330697232681096,8.3642357079367
2007,7.198799987,7.189795,4.803082754844879,10.862934675315017,6.2770839749147695,8.26729862530029
2008,7.484995564,7.471945,2.2711970166673203,24.261969578631597,4.958480682598461,11.259311403104874
2009,8.156138358,8.1391,5.353224628597175,12.298227650919332,7.037264120033178,9.401905220763497
2010,7.905462872,7.884575,4.93454852100849,12.522901732042122,6.706915665984264,9.252509814080483
2011,7.395945906,7.377644999999999,5.246897740941404,10.391451459482877,6.550297670810354,8.284459282061862
2012,5.689106833,5.680415,4.002968438758763,8.15838441132444,5.027135003618987,6.440807758869493
2013,6.235231564,6.2252,4.008468407455629,9.677063069483209,5.369649069264582,7.259570435294346
2014,4.633413541,4.621449999999999,3.302233286356972,6.452451668147667,4.126720721922875,5.175248040077111
2015,5.034704503,5.017849999999999,3.665399526013102,6.9126421222503325,4.523248405691443,5.591552507295223
2016,4.247364091,4.228155,2.801868417585963,6.386229011951609,3.6819827859619325,4.890773651954552
2017,4.432305467,4.403930000000001,2.724802627098623,7.097102051628027,3.710019159025509,5.210291482325266
2018,4.608679533,4.5592,2.5518502034391486,8.103604098429955,3.6906731485030146,5.5408490730634155
