Age,Blocks,mean,median,q025,q975,q250,q750
3,1980-1998,0.05746471922,0.056701150000000006,0.03888885,0.08043091999999998,0.049950125,0.06422815
3,1999-2018,0.09824235888,0.09731735,0.0678951525,0.133526775,0.086342925,0.108997
3,2019-2019,0,0,0,0,0,0
4,1980-1998,0.18638324791,0.184269,0.129207525,0.255320525,0.16424175000000002,0.20675174999999998
4,1999-2018,0.2708486992,0.268721,0.18472197499999998,0.37176015,0.23783824999999997,0.30099075
4,2019-2019,0,0,0,0,0,0
5,1980-1998,0.460613413,0.4587655,0.34062902500000003,0.5932929249999999,0.41642,0.50233525
5,1999-2018,0.5543427152,0.5538609999999999,0.40013420000000005,0.7121302499999999,0.5001765,0.6082972499999999
5,2019-2019,0,0,0,0,0,0
6,1980-1998,0.757508278,0.7612235,0.635664875,0.8656256499999999,0.7188665,0.79907175
6,1999-2018,0.8017164277,0.807752,0.6553146999999999,0.9145961249999999,0.7605320000000001,0.8495492499999999
6,2019-2019,0,0,0,0,0,0
7,1980-1998,0.9187356183,0.9226025,0.8492299000000001,0.9664901749999999,0.9010555,0.9405227500000001
7,1999-2018,0.9281852366,0.9344105,0.842241475,0.978877475,0.90940675,0.9537795
7,2019-2019,0,0,0,0,0,0
8,1980-1998,0.9760557944,0.9780880000000001,0.947698875,0.9923890249999999,0.9700312500000001,0.9843342500000001
8,1999-2018,0.9761923397,0.97975,0.9373306750000001,0.9950320250000001,0.96938675,0.986973
8,2019-2019,0,0,0,0,0,0
