Model,Folder_name,Structure,Survival,Maturity,Selectivity,Convergence
1,HER_condCatch.1_111,Surv(1) Mat(1) Sel(1),1980-2018,1980-2018,1980-2018,1
2,HER_condCatch.2_211,Surv(2) Mat(1) Sel(1),1980-1998; 1999-2018,1980-2018,1980-2018,1
3,HER_condCatch.3_211,Surv(2) Mat(1) Sel(1),1980-2014; 2015-2018,1980-2018,1980-2018,1
4,HER_condCatch.4_311,Surv(3) Mat(1) Sel(1),1980-1998; 1999-2014; 2015-2018,1980-2018,1980-2018,1
5,HER_condCatch.5_121,Surv(1) Mat(2) Sel(1),1980-2018,1980-1998; 1999-2018,1980-2018,0
6,HER_condCatch.6_122,Surv(1) Mat(2) Sel(2),1980-2018,1980-1998; 1999-2018,1980-1998; 1999-2018,1
7,HER_condCatch.7_221,Surv(2) Mat(2) Sel(1),1980-1998; 1999-2018,1980-1998; 1999-2018,1980-2018,1
8,HER_condCatch.8_222,Surv(2) Mat(2) Sel(2),1980-1998; 1999-2018,1980-1998; 1999-2018,1980-1998; 1999-2018,1
9,HER_condCatch.9_221,Surv(2) Mat(2) Sel(1),1980-2014; 2015-2018,1980-1998; 1999-2018,1980-2018,1
10,HER_condCatch.10_222,Surv(2) Mat(2) Sel(2),1980-2014; 2015-2018,1980-1998; 1999-2018,1980-1998; 1999-2018,1
11,HER_condCatch.11_321,Surv(3) Mat(2) Sel(1),1980-1998; 1999-2014; 2015-2018,1980-1998; 1999-2018,1980-2018,1
12,HER_condCatch.12_322,Surv(3) Mat(2) Sel(2),1980-1998; 1999-2014; 2015-2018,1980-1998; 1999-2018,1980-1998; 1999-2018,1
13,HER_condCatch.13_121,Surv(1) Mat(2) Sel(1),1980-2018,1980-2014; 2015-2018,1980-2018,0
14,HER_condCatch.14_122,Surv(1) Mat(2) Sel(2),1980-2018,1980-2014; 2015-2018,1980-2014; 2015-2018,1
15,HER_condCatch.15_221,Surv(2) Mat(2) Sel(1),1980-1998; 1999-2018,1980-2014; 2015-2018,1980-2018,1
16,HER_condCatch.16_222,Surv(2) Mat(2) Sel(2),1980-1998; 1999-2018,1980-2014; 2015-2018,1980-2014; 2015-2018,1
17,HER_condCatch.17_221,Surv(2) Mat(2) Sel(1),1980-2014; 2015-2018,1980-2014; 2015-2018,1980-2018,1
18,HER_condCatch.18_222,Surv(2) Mat(2) Sel(2),1980-2014; 2015-2018,1980-2014; 2015-2018,1980-2014; 2015-2018,1
19,HER_condCatch.19_321,Surv(3) Mat(2) Sel(1),1980-1998; 1999-2014; 2015-2018,1980-2014; 2015-2018,1980-2018,1
20,HER_condCatch.20_322,Surv(3) Mat(2) Sel(2),1980-1998; 1999-2014; 2015-2018,1980-2014; 2015-2018,1980-2014; 2015-2018,0
21,HER_condCatch.21_131,Surv(1) Mat(3) Sel(1),1980-2018,1980-1998; 1999-2014; 2015-2018,1980-2018,0
22,HER_condCatch.22_132,Surv(1) Mat(3) Sel(2),1980-2018,1980-1998; 1999-2014; 2015-2018,1980-1998; 1999-2018,1
23,HER_condCatch.23_132,Surv(1) Mat(3) Sel(2),1980-2018,1980-1998; 1999-2014; 2015-2018,1980-2014; 2015-2018,1
24,HER_condCatch.24_133,Surv(1) Mat(3) Sel(3),1980-2018,1980-1998; 1999-2014; 2015-2018,1980-1998; 1999-2014; 2015-2018,1
25,HER_condCatch.25_231,Surv(2) Mat(3) Sel(1),1980-1998; 1999-2018,1980-1998; 1999-2014; 2015-2018,1980-2018,1
26,HER_condCatch.26_232,Surv(2) Mat(3) Sel(2),1980-1998; 1999-2018,1980-1998; 1999-2014; 2015-2018,1980-1998; 1999-2018,1
27,HER_condCatch.27_232,Surv(2) Mat(3) Sel(2),1980-1998; 1999-2018,1980-1998; 1999-2014; 2015-2018,1980-2014; 2015-2018,1
28,HER_condCatch.28_233,Surv(2) Mat(3) Sel(3),1980-1998; 1999-2018,1980-1998; 1999-2014; 2015-2018,1980-1998; 1999-2014; 2015-2018,1
29,HER_condCatch.29_231,Surv(2) Mat(3) Sel(1),1980-2014; 2015-2018,1980-1998; 1999-2014; 2015-2018,1980-2018,1
30,HER_condCatch.30_232,Surv(2) Mat(3) Sel(2),1980-2014; 2015-2018,1980-1998; 1999-2014; 2015-2018,1980-1998; 1999-2018,1
31,HER_condCatch.31_232,Surv(2) Mat(3) Sel(2),1980-2014; 2015-2018,1980-1998; 1999-2014; 2015-2018,1980-2014; 2015-2018,1
32,HER_condCatch.32_233,Surv(2) Mat(3) Sel(3),1980-2014; 2015-2018,1980-1998; 1999-2014; 2015-2018,1980-1998; 1999-2014; 2015-2018,1
33,HER_condCatch.33_331,Surv(3) Mat(3) Sel(1),1980-1998; 1999-2014; 2015-2018,1980-1998; 1999-2014; 2015-2018,1980-2018,1
34,HER_condCatch.34_332,Surv(3) Mat(3) Sel(2),1980-1998; 1999-2014; 2015-2018,1980-1998; 1999-2014; 2015-2018,1980-1998; 1999-2018,1
35,HER_condCatch.35_332,Surv(3) Mat(3) Sel(2),1980-1998; 1999-2014; 2015-2018,1980-1998; 1999-2014; 2015-2018,1980-2014; 2015-2018,1
36,HER_condCatch.36_333,Surv(3) Mat(3) Sel(3),1980-1998; 1999-2014; 2015-2018,1980-1998; 1999-2014; 2015-2018,1980-1998; 1999-2014; 2015-2018,1
