Folder_name,Structure,deltaAIC,AIC,GHL,nopar,max_grad,Survival,Maturity,Selectivity
HER_condCatch.32_233,Surv(2) Mat(3) Sel(3),95.95939382096003,-2270.00010891284,13139.8477,64,3.22375164280187e-5,1980-2014; 2015-2018,1980-1998; 1999-2014; 2015-2018,1980-1998; 1999-2014; 2015-2018
HER_condCatch.16_222,Surv(2) Mat(2) Sel(2),98.03833256500002,-2267.9211701688,13746.1842,60,7.03490492513818e-5,1980-1998; 1999-2018,1980-2014; 2015-2018,1980-2014; 2015-2018
HER_condCatch.22_132,Surv(1) Mat(3) Sel(2),98.91829608232001,-2267.04120665148,15965.6292,61,5.86088254189196e-5,1980-2018,1980-1998; 1999-2014; 2015-2018,1980-1998; 1999-2018
HER_condCatch.23_132,Surv(1) Mat(3) Sel(2),99.63987837620016,-2266.3196243576,16519.748200000002,61,4.87187544662504e-5,1980-2018,1980-1998; 1999-2014; 2015-2018,1980-2014; 2015-2018
HER_condCatch.24_133,Surv(1) Mat(3) Sel(3),100.4941892193201,-2265.46531351448,16524.5382,63,5.99543072442823e-5,1980-2018,1980-1998; 1999-2014; 2015-2018,1980-1998; 1999-2014; 2015-2018
HER_condCatch.6_122,Surv(1) Mat(2) Sel(2),100.83123396620022,-2265.1282687676,17321.2273,59,3.76082139664751e-5,1980-2018,1980-1998; 1999-2018,1980-1998; 1999-2018
HER_condCatch.27_232,Surv(2) Mat(3) Sel(2),102.45660442275994,-2263.50289831104,13172.1916,62,115.069752739077,1980-1998; 1999-2018,1980-1998; 1999-2014; 2015-2018,1980-2014; 2015-2018
HER_condCatch.1_111,Surv(1) Mat(1) Sel(1),143.49031784601993,-2222.46918488778,15205.4789,55,9.82175855375707e-5,1980-2018,1980-2018,1980-2018
HER_condCatch.18_222,Surv(2) Mat(2) Sel(2),146.5005744137602,-2219.45892832004,14031.772,60,4.52837253596286e-5,1980-2014; 2015-2018,1980-2014; 2015-2018,1980-2014; 2015-2018
HER_condCatch.14_122,Surv(1) Mat(2) Sel(2),148.72125627274,-2217.23824646106,15876.8249,59,6.83178002743094e-5,1980-2018,1980-2014; 2015-2018,1980-2014; 2015-2018
HER_condCatch.10_222,Surv(2) Mat(2) Sel(2),353.50994785249986,-2012.4495548813002,13837.0589,60,9.43053001141795e-5,1980-2014; 2015-2018,1980-1998; 1999-2018,1980-1998; 1999-2018
HER_condCatch.30_232,Surv(2) Mat(3) Sel(2),354.09914127436014,-2011.86036145944,13552.8861,62,3.46256623314708e-5,1980-2014; 2015-2018,1980-1998; 1999-2014; 2015-2018,1980-1998; 1999-2018
HER_condCatch.29_231,Surv(2) Mat(3) Sel(1),505.92833417251404,-1860.031168561286,12863.3813,60,0.00262746641859253,1980-2014; 2015-2018,1980-1998; 1999-2014; 2015-2018,1980-2018
HER_condCatch.9_221,Surv(2) Mat(2) Sel(1),509.78957001300614,-1856.169932720794,13529.9828,58,4.79396184501214e-4,1980-2014; 2015-2018,1980-1998; 1999-2018,1980-2018
HER_condCatch.3_211,Surv(2) Mat(1) Sel(1),530.387830584948,-1835.571672148852,13105.2595,56,6.23307477995516e-5,1980-2014; 2015-2018,1980-2018,1980-2018
HER_condCatch.17_221,Surv(2) Mat(2) Sel(1),532.990695000366,-1832.968807733434,12799.5483,58,5.15076050314785e-5,1980-2014; 2015-2018,1980-2014; 2015-2018,1980-2018
