Folder_name,Structure,deltaAIC,AIC,GHL,nopar,max_grad,Survival,Maturity,Selectivity
HER_condCatch.12_322,Surv(3) Mat(2) Sel(2),0,-2365.9595027338,12013.8238,61,1.15298079020369e-4,1980-1998; 1999-2014; 2015-2018,1980-1998; 1999-2018,1980-1998; 1999-2018
HER_condCatch.36_333,Surv(3) Mat(3) Sel(3),0.772818455900051,-2365.1866842779,12762.281,65,1.11689424697574e-4,1980-1998; 1999-2014; 2015-2018,1980-1998; 1999-2014; 2015-2018,1980-1998; 1999-2014; 2015-2018
HER_condCatch.34_332,Surv(3) Mat(3) Sel(2),2.5126375374002237,-2363.4468651964,12102.4377,63,3.40625348515965e-5,1980-1998; 1999-2014; 2015-2018,1980-1998; 1999-2014; 2015-2018,1980-1998; 1999-2018
HER_condCatch.4_311,Surv(3) Mat(1) Sel(1),3.6334911198000555,-2362.326011614,12028.4119,57,2.4763977172027e-4,1980-1998; 1999-2014; 2015-2018,1980-2018,1980-2018
HER_condCatch.19_321,Surv(3) Mat(2) Sel(1),6.183588243460235,-2359.77591449034,12145.9153,59,2.75412909674275e-5,1980-1998; 1999-2014; 2015-2018,1980-2014; 2015-2018,1980-2018
HER_condCatch.11_321,Surv(3) Mat(2) Sel(1),6.200003823640145,-2359.75949891016,12085.5602,59,5.81634423280437e-4,1980-1998; 1999-2014; 2015-2018,1980-1998; 1999-2018,1980-2018
HER_condCatch.33_331,Surv(3) Mat(3) Sel(1),9.285984803860174,-2356.67351792994,12173.1181,61,1.14375794585457e-4,1980-1998; 1999-2014; 2015-2018,1980-1998; 1999-2014; 2015-2018,1980-2018
HER_condCatch.35_332,Surv(3) Mat(3) Sel(2),10.989903002120172,-2354.96959973168,12603.2726,63,5.35135489955516e-5,1980-1998; 1999-2014; 2015-2018,1980-1998; 1999-2014; 2015-2018,1980-2014; 2015-2018
HER_condCatch.8_222,Surv(2) Mat(2) Sel(2),12.315326678559813,-2353.64417605524,20122.0611,60,5.68266823279945e-5,1980-1998; 1999-2018,1980-1998; 1999-2018,1980-1998; 1999-2018
HER_condCatch.26_232,Surv(2) Mat(3) Sel(2),13.775206946820163,-2352.18429578698,19074.0188,62,1.69072160061441e-5,1980-1998; 1999-2018,1980-1998; 1999-2014; 2015-2018,1980-1998; 1999-2018
HER_condCatch.28_233,Surv(2) Mat(3) Sel(3),14.593893977899825,-2351.3656087559,20440.1611,64,1.72417573794208e-5,1980-1998; 1999-2018,1980-1998; 1999-2014; 2015-2018,1980-1998; 1999-2014; 2015-2018
HER_condCatch.2_211,Surv(2) Mat(1) Sel(1),16.73202972136005,-2349.22747301244,20080.0365,56,9.61573504888844e-5,1980-1998; 1999-2018,1980-2018,1980-2018
HER_condCatch.15_221,Surv(2) Mat(2) Sel(1),18.247619711400148,-2347.7118830224,19030.588,58,3.62918896710908e-5,1980-1998; 1999-2018,1980-2014; 2015-2018,1980-2018
HER_condCatch.7_221,Surv(2) Mat(2) Sel(1),19.4403154895399,-2346.51918724426,20280.1178,58,1.69965723200645e-5,1980-1998; 1999-2018,1980-1998; 1999-2018,1980-2018
HER_condCatch.25_231,Surv(2) Mat(3) Sel(1),21.39463737406004,-2344.56486535974,19137.6723,60,1.60009536146571e-5,1980-1998; 1999-2018,1980-1998; 1999-2014; 2015-2018,1980-2018
HER_condCatch.31_232,Surv(2) Mat(3) Sel(2),95.483815980140207,-2270.47568675366,13366.8893,62,6.99454796140479e-5,1980-2014; 2015-2018,1980-1998; 1999-2014; 2015-2018,1980-2014; 2015-2018
