Age,for_mat_baa_tons,for_mat_prop,for_waa
3,4502,0.11054,77
4,22110,0.475096,88
5,1047,0.0169557,117
6,21194,0.321935,125
7,608,0.00840852,137
8+,6177,0.0670653,175
