ts,AR1.cor,rsi,mean_pdo,year,min_yr,max_yr,median_yr,Time blocks,,,,,,,
0.1325,NA,NA,0.553789267,1929,1929,1944,1936.5,1929-1944,,,,,,,
0.191666667,0.191666667,0,0.553789267,1930,1929,1944,1936.5,1929-1944,,,,,,,
0.17,0.17,0,0.553789267,1931,1929,1944,1936.5,1929-1944,,,,,,,
0.48,0.48,0,0.553789267,1932,1929,1944,1936.5,1929-1944,,,,,,,
0.045,0.045,0,0.553789267,1933,1929,1944,1936.5,1929-1944,,,,,,,
-0.535833333,-0.535833333,0,0.553789267,1934,1929,1944,1936.5,1929-1944,,,,,,,
1.140833333,1.140833333,0,0.553789267,1935,1929,1944,1936.5,1929-1944,,,,,,,
1.065833333,1.065833333,0,0.553789267,1936,1929,1944,1936.5,1929-1944,,,,,,,
1.313333333,1.313333333,0,0.553789267,1937,1929,1944,1936.5,1929-1944,,,,,,,
0.396666667,0.396666667,0,0.553789267,1938,1929,1944,1936.5,1929-1944,,,,,,,
0.178333333,0.178333333,0,0.553789267,1939,1929,1944,1936.5,1929-1944,,,,,,,
0.45,0.45,0,0.553789267,1940,1929,1944,1936.5,1929-1944,,,,,,,
1.849166667,1.849166667,0,0.553789267,1941,1929,1944,1936.5,1929-1944,,,,,,,
1.616666667,1.616666667,0,0.553789267,1942,1929,1944,1936.5,1929-1944,,,,,,,
0.3,0.3,0,0.553789267,1943,1929,1944,1936.5,1929-1944,,,,,,,
0.141666667,0.141666667,0,0.553789267,1944,1929,1944,1936.5,1929-1944,,,,,,,
-0.2225,-0.2225,-0.610221921,-0.61878011,1945,1945,1976,1960.5,1945-1976,,,,,,,
-0.266666667,-0.266666667,0,-0.61878011,1946,1945,1976,1960.5,1945-1976,,,,,,,
-0.434166667,-0.434166667,0,-0.61878011,1947,1945,1976,1960.5,1945-1976,,,,,,,
0.414166667,0.414166667,0,-0.61878011,1948,1945,1976,1960.5,1945-1976,,,,,,,
-1.351666667,-1.351666667,0,-0.61878011,1949,1945,1976,1960.5,1945-1976,,,,,,,
-1.191666667,-1.191666667,0,-0.61878011,1950,1945,1976,1960.5,1945-1976,,,,,,,
-1.670833333,-1.670833333,0,-0.61878011,1951,1945,1976,1960.5,1945-1976,,,,,,,
-0.6525,-0.6525,0,-0.61878011,1952,1945,1976,1960.5,1945-1976,,,,,,,
-0.754166667,-0.754166667,0,-0.61878011,1953,1945,1976,1960.5,1945-1976,,,,,,,
-0.2975,-0.2975,0,-0.61878011,1954,1945,1976,1960.5,1945-1976,,,,,,,
-0.218333333,-0.218333333,0,-0.61878011,1955,1945,1976,1960.5,1945-1976,,,,,,,
-2.381666667,-2.381666667,0,-0.61878011,1956,1945,1976,1960.5,1945-1976,,,,,,,
-1.361666667,-1.361666667,0,-0.61878011,1957,1945,1976,1960.5,1945-1976,,,,,,,
0.526666667,0.526666667,0,-0.61878011,1958,1945,1976,1960.5,1945-1976,,,,,,,
0.4925,0.4925,0,-0.61878011,1959,1945,1976,1960.5,1945-1976,,,,,,,
0.081666667,0.081666667,0,-0.61878011,1960,1945,1976,1960.5,1945-1976,,,,,,,
0.148333333,0.148333333,0,-0.61878011,1961,1945,1976,1960.5,1945-1976,,,,,,,
-1.280833333,-1.280833333,0,-0.61878011,1962,1945,1976,1960.5,1945-1976,,,,,,,
-0.9225,-0.9225,0,-0.61878011,1963,1945,1976,1960.5,1945-1976,,,,,,,
-0.689166667,-0.689166667,0,-0.61878011,1964,1945,1976,1960.5,1945-1976,,,,,,,
-0.8775,-0.8775,0,-0.61878011,1965,1945,1976,1960.5,1945-1976,,,,,,,
-0.295833333,-0.295833333,0,-0.61878011,1966,1945,1976,1960.5,1945-1976,,,,,,,
-0.4125,-0.4125,0,-0.61878011,1967,1945,1976,1960.5,1945-1976,,,,,,,
-0.740833333,-0.740833333,0,-0.61878011,1968,1945,1976,1960.5,1945-1976,,,,,,,
-0.490833333,-0.490833333,0,-0.61878011,1969,1945,1976,1960.5,1945-1976,,,,,,,
0.325,0.325,0,-0.61878011,1970,1945,1976,1960.5,1945-1976,,,,,,,
-1.038333333,-1.038333333,0,-0.61878011,1971,1945,1976,1960.5,1945-1976,,,,,,,
-1.34,-1.34,0,-0.61878011,1972,1945,1976,1960.5,1945-1976,,,,,,,
-0.56,-0.56,0,-0.61878011,1973,1945,1976,1960.5,1945-1976,,,,,,,
-0.9875,-0.9875,0,-0.61878011,1974,1945,1976,1960.5,1945-1976,,,,,,,
-0.194166667,-0.194166667,0,-0.61878011,1975,1945,1976,1960.5,1945-1976,,,,,,,
-1.259166667,-1.259166667,0,-0.61878011,1976,1945,1976,1960.5,1945-1976,,,,,,,
0.6275,0.6275,0.722045115,0.411283049,1977,1977,2007,1992,1977-2007,,,,,,,
0.201666667,0.201666667,0,0.411283049,1978,1977,2007,1992,1977-2007,,,,,,,
-0.159166667,-0.159166667,0,0.411283049,1979,1977,2007,1992,1977-2007,,,,,,,
0.660833333,0.660833333,0,0.411283049,1980,1977,2007,1992,1977-2007,,,,,,,
0.664166667,0.664166667,0,0.411283049,1981,1977,2007,1992,1977-2007,,,,,,,
0.725833333,0.725833333,0,0.411283049,1982,1977,2007,1992,1977-2007,,,,,,,
0.370833333,0.370833333,0,0.411283049,1983,1977,2007,1992,1977-2007,,,,,,,
