Year,mean,median,q025,q975,q250,q750,q475,q525
1980,34675.75882404815,34479.81657443948,29056.876805044205,41180.62016358385,32539.98655173174,36662.87285874909,34303.62496968628,34677.150620604516
1981,36607.38768491369,36432.29568553099,31158.1466743094,42976.3856125576,34529.86176943936,38602.39974426244,36251.5763134108,36652.315417006546
1982,22729.53298132675,22653.111841089973,19158.50217156463,26803.10688066315,21379.963182609845,24005.90290791243,22535.50838863291,22763.561255759603
1983,24980.93883242576,24909.995811195135,21434.414890098986,28953.391278467338,23635.55193015719,26209.90321656121,24793.704116051944,25018.844110319893
1984,41876.977182036644,41707.43402632333,35672.34451817721,48853.69772261294,39540.444013315995,44046.054807204746,41499.66103750083,41926.230185850654
1985,37624.554696973035,37528.60512797901,31861.90998478802,44131.09030181441,35465.536056791374,39659.96274168301,37346.51337110606,37719.080006172975
1986,26331.500859807315,26255.428911572126,22027.69571639586,31240.886593619787,24709.952820829385,27821.270310192023,26128.359311272296,26398.330540796756
1987,31396.121596596044,31313.9068321612,27281.719173703128,36095.40554245023,29890.181661853214,32835.49020040124,31177.354549262553,31442.81730196874
1988,60643.96589430984,60454.705791573884,52257.038294495025,69983.56169668645,57478.119006150926,63568.03500959017,60195.11563306069,60732.69362199343
1989,38645.69825172512,38485.1407658899,32642.53786459137,45536.97998192199,36357.22789303116,40755.5005621817,38286.5170087524,38691.77836812981
1990,27007.652737053286,26908.386428272228,22591.357283008885,31974.23333847748,25351.198218655616,28557.0393968121,26751.5983597522,27058.739720893318
1991,26566.16406887277,26513.591569479046,23323.982010185413,30123.572499393726,25362.111157653388,27685.60263674243,26401.77528164201,26624.966930487888
1992,73153.57632443396,72971.95705372695,63251.074759143725,83919.63281818382,69557.91573888314,76624.40199298927,72610.01951101214,73312.12659009238
1993,49983.19949734342,49853.4469454794,42831.273837606655,57815.301263255365,47392.02804294627,52477.20959456778,49627.648316761835,50082.54701382305
1994,35597.75229833109,35516.49066337441,30396.28023104566,41254.93838047576,33714.891201305145,37403.38190877224,35348.46447232082,35698.19109768734
1995,30651.08476818272,30618.620339954585,26659.05057430719,35011.645979849636,29201.50907206949,32033.499415771952,30486.678498203226,30742.57313873763
1996,29821.803523005357,29745.915915253863,25349.63292841553,34867.76604422496,28172.35829714059,31386.769990520075,29586.300403448047,29892.322912762625
1997,33956.84218126502,33836.39410039904,28816.028792521884,39680.033179743805,32060.83687911991,35760.48854692564,33670.67450781543,34001.94007804405
1998,52046.01472695606,51888.87541612469,44207.20529553121,60634.73621552503,49152.62130999361,54755.67142132763,51627.05857712912,52158.22383650433
1999,54710.43444520382,54540.49912916951,46518.99567891709,63906.38296699663,51614.012654599974,57622.0816155559,54250,54785.14186820697
2000,53978.70605612999,53805.58433827906,46257.96148504156,62491.363345752776,51071.58998214246,56694.3164531846,53559.15308979475,54070.71364007144
2001,55732.50889569876,55607.37670583567,47703.37749950396,64573.116691285075,52748.29692012611,58538.575585881525,55333.62452875945,55870.92969421725
2002,64906.175378645916,64722.16098238497,55499.62245640336,75547.81851451751,61355.65709120572,68225.82067505897,64401.846932251596,65030.600321876584
2003,74306.48615489759,74106.90270949536,64484.57858418396,85146.52549659384,70651.6622941423,77770.53616702308,73748.42919817458,74475.6222579863
2004,106229.00069445976,106082.91629004167,92218.73828788112,121778.53347736943,101011.10033289978,111114.11186313632,105577.45706475011,106533.59035693028
2005,96269.50465177804,96075.08983884123,83159.10569016072,110862.64578143257,91377.97901188297,100859.39394607465,95588.14127295575,96591.77616349567
2006,84302.89239180757,84111.03639850966,73205.06128882912,96634.37520668446,80092.56707599373,88190.90478185145,83782.98683833418,84503.20498688243
2007,86791.4291430587,86531.779801142,75358.12903723627,99672.85709561498,82448.32888732116,90815.68707423005,86166.50774928901,86885.11927070704
2008,97546.59094115831,97343.03004916334,84330.31482175534,112597.5275028109,92527.0894420071,102221.77517141029,96858.46524394277,97781.95341608062
2009,114547.6761392447,114317.44526995745,99299.48576908662,131452.08227694614,109055.86542913203,119662.30516545779,113804.37178950154,114805.11034193877
2010,106562.62850812408,106322.44978945746,93320.17626049957,121124.80433871999,101750.72752926651,111134.22914967262,105891.49893075245,106752.32588901871
2011,101535.85490200401,101423.31180140657,89707.34032937234,114183.9822306488,97139.45964417205,105644.91060208558,101016.89576489784,101814.89616173196
2012,73863.38634008686,73722.46963116471,64827.35785621376,83528.3295487114,70554.21746511167,77034.79463832977,73425.46407548667,74027.77563438346
2013,74229.9732467647,74110.26477656033,65325.56107938888,83799.76685993958,70928.97771114884,77359.81282656145,73826.15357481426,74438.1903260654
2014,60888.4912696488,60702.61690072532,52395.853083180846,70273.9037456734,57728.234749443334,63913.85943252718,60411.505985581694,61022.652615798404
2015,52044.94868714037,51907.1738794947,44340.45889459644,60778.9192883441,49108.22548997994,54824.86937542715,51646.71013470314,52172.48781939637
2016,70801.33589805772,70495.54663903525,58074.59104036685,84899.1683017703,66003.08097621199,75176.81165810535,70102.56509182301,70935.24713948721
2017,53886.862386736924,53552.161643775216,41803.0903459071,68096.30117507,49186.40732820389,58106.412178399,53146.78178531272,53945.40223549902
2018,64232.27337463348,63465.40929032827,46728.8768491369,86850.76555920545,57024.07460481933,70573.67336140569,62808.71491875923,64045.724112083604
