Year,mean,median,p025,p975,p250,p750
1980,2.735152606,2.71963,1.8060986499711185,4.103150009989728,2.359873158187604,3.1410655220912957
1981,2.97187861,2.95746,1.9807203347134041,4.457295032138295,2.573766338272709,3.4048013829233934
1982,1.85137462,1.8449650000000002,1.231944611297056,2.7890882317849792,1.5991534300476413,2.1247842373604424
1983,2.040649951,2.0346450000000003,1.3691240298111496,3.0092672384328973,1.77642464170101,2.330761409867205
1984,3.386433722,3.3727650000000002,2.2470033952613635,5.142921663886435,2.9332913979673787,3.8980943383010476
1985,3.425190803,3.417,2.2773255666291186,5.144107299095915,2.967189711195778,3.9316047142109083
1986,2.412609602,2.4057399999999998,1.6056244324340374,3.5952578965399065,2.088774624852042,2.756328466051431
1987,2.788857951,2.78193,1.8541436725821607,4.219468972875945,2.410521772665399,3.2105738486283304
1988,5.283056283,5.265995,3.346839379244433,8.296480217718477,4.517918626321418,6.17460684532608
1989,3.394483027,3.3808249999999997,2.243209816174007,5.050653115303029,2.946141373623781,3.8949851100805493
1990,2.446822489,2.4380800000000002,1.635737537901605,3.615085307674167,2.1294902271226093,2.782233747024068
1991,2.319020661,2.31404,1.4222366765149197,3.804547515621709,1.9525288937007552,2.7320375290472665
1992,6.426235302,6.410959999999999,4.218088385994998,9.839615362856204,5.549768705902536,7.403411928568822
1993,4.441792023,4.430185,2.8055491975534865,6.961638439946222,3.8188323335027023,5.163406979560259
1994,3.262230033,3.25503,2.1980749050131334,4.792668574394136,2.837948414297118,3.7162136449379566
1995,2.845860172,2.84283,1.841994011786954,4.387801135950155,2.455825561346198,3.303656926441957
1996,2.712093935,2.70514,1.7637033597917489,4.160592079056481,2.332438986191034,3.1299145746203454
1997,3.097902721,3.087135,1.8405560853601133,5.212808758865929,2.5774819836571585,3.700219308800472
1998,4.75188559,4.73672,3.2224245596993066,6.978729768702419,4.15053975922144,5.39626617866516
1999,4.904507741,4.888355,2.9360565936355054,8.237315987343008,4.124615117624558,5.853404967861103
2000,4.90241007,4.887645,3.0194852506995717,7.886022988634502,4.156555313961223,5.78120827427076
2001,5.074236629,5.063015,3.4843253544549504,7.302733881368046,4.456811916200342,5.732698653587829
2002,5.912650925,5.896694999999999,3.943709425016058,8.758720498559978,5.140805654034804,6.752160743582114
2003,5.92499859,5.909375,3.9368361587163108,8.900920233496537,5.140233278100887,6.800657934898374
2004,8.415799738,8.40576,5.789575071910982,12.190848428412336,7.423216115211388,9.57721641861974
2005,7.722336282,7.706155,4.025452528417791,14.930832283133999,6.1255768590586595,9.688762318192556
2006,6.775109548,6.76049,4.491108054876551,10.158232114309467,5.859569408439046,7.802867286149184
2007,7.002857608,6.983495,4.677774654278965,10.586939533278686,6.071513675644604,8.063668125735083
2008,7.863707039,7.847865,2.406515690281769,25.564738357336672,5.212414014721999,11.869697381226882
2009,9.247480997,9.229645000000001,6.0710629961367895,14.0277773412323,7.974651143301946,10.663006988874473
2010,8.537350082,8.518664999999999,5.350415655423383,13.572558867553985,7.239396837317837,9.970948576578586
2011,8.168896927,8.16208,5.8169901685150345,11.444802841170446,7.2391887227687635,9.160950487138475
2012,5.908543066,5.89764,4.154248753487052,8.440662188624596,5.220506327942366,6.692825512914638
2013,6.069968604,6.061495,3.896434832883867,9.455383645702764,5.2192029608586585,7.058238153022625
2014,4.935989099,4.920335,3.5420296322061606,6.894650735376359,4.406347040949898,5.505003181511114
2015,4.143511122,4.13326,3.0388427499816753,5.6368355611324334,3.7267856768385523,4.605132884620209
2016,5.44835097,5.426525,3.531700148343003,8.255566448777568,4.708165720418649,6.3026312236310975
2017,4.20093766,4.173995,2.5587680756921922,6.824888469407572,3.5094270240407472,4.938759970247346
2018,4.954562523,4.895025,2.7132015833301626,8.801841856070295,3.949908121754575,5.968488829938234
