Year,mean,median,q025,q975,q250,q750,q475,q525
1980,38045.15070878988,37871.70131616658,32431.287065411496,44583.47020436958,35903.98267157565,40046.95870720254,37683.01494741948,38063.89029740515
1981,39929.463844000085,39771.158976167906,34465.12268788995,46314.66743093983,37851.0604290218,41918.25216605305,39571.16283427765,39971.265349765206
1982,26760.366399171056,26680.70283736414,23125.14054542649,30844.107564099737,25382.1457704094,28045.646949888665,26552.514385237773,26803.478912674444
1983,28671.494951387816,28585.5067351573,25036.99376088538,32756.495403337816,27311.007738265835,29938.95919222205,28465.695892766595,28694.85107696378
1984,46479.567594082764,46298.694856588554,40233.1373046143,53442.79525562732,44121.31550519191,48662.39335082343,46101.457263167176,46526.27648316762
1985,44704.8559602284,44606.0869948632,38892.69494477391,51202.382658347844,42541.99828038537,46732.86999272471,44411.74298375184,44788.65825966181
1986,31213.16293348619,31155.503869132917,26773.58958530832,36117.02749178773,29567.17520227518,32732.50622809145,30993.408143918514,31294.71273617143
1987,33783.143455543555,33698.05330805353,29599.087281465643,38570.02469190238,32227.78279944443,35234.32505125774,33570.35263123085,33825.227628475055
1988,68474.82688110408,68265.83478471747,60068.9333980026,77760.41965210874,65346.706276593395,71380.872594193,67987.79459423709,68534.13875967283
1989,50448.25497696157,50301.09790780221,44237.0753323486,57315.77250380299,48116.388147886864,52599.53923146454,50099.32979122115,50532.17112370202
1990,30671.737637514056,30595.196102206843,26222.695606164158,35727.57887078639,29002.458167067176,32225.054564694987,30432.565753213254,30734.300249123662
1991,27656.040763685265,27609.404969245355,24391.90127648317,31254.147467977687,26436.07112149739,28793.70687184462,27499.016182014595,27716.43444520382
1992,77477.47621199762,77311.17308582642,67534.69267400075,88274.46317158669,73855.57441742542,80935.01289710971,76962.46885954276,77645.70151458366
1993,59767.80368835292,59634.14096430697,52459.013095526796,67673.14094226062,57103.4689918208,62316.35397605768,59391.02769020481,59876.50190700853
1994,40322.70204369585,40246.147401838665,35020.230274036025,46068.09839282171,38410.70680570559,42134.25119601402,40086.26457814326,40423.30353402853
1995,33080.27600917128,33041.623492581406,29003.538437796247,37471.43069732578,31591.690733922707,34505.83125730285,32903.84488194184,33174.38931634295
1996,36206.47309244031,36112.182808262965,31589.9656077074,41257.86778809056,34528.07050419983,37804.01904803898,35963.01726228533,36272.62505787165
1997,40884.44195198307,40754.15022377037,35564.37531691616,46856.96884851959,38937.14588064111,42736.63991710576,40581.309662911444,40940.921316607506
1998,57061.993066425624,56921.55911726449,49087.09682753147,65802.91121938315,54139.25571551401,59804.33871998942,56662.484291981746,57180.02491236579
1999,63033.17219294958,62844.19850525806,54684.11175290461,72347.88300006614,59951.71851231289,65947.02815317798,62600.20888908485,63097.83615159064
2000,58144.49367270002,57966.33523666747,50342.00213849512,66655.13734870698,55211.06616107057,60871.54699177672,57729.02290614873,58243.063669833995
2001,65975.47538525982,65837.37516259176,57815.30953063339,74899.16279018497,62931.77759650787,68813.0249785048,65584.55874247669,66110.33642716992
2002,73688.85894750766,73478.47174761348,64184.35701845279,84432.8606230296,70113.12528935823,77056.09691571683,73189.06666813642,73763.79825392975
2003,79821.39177451002,79610.8820741198,69857.11766132411,90841.36555038691,76127.69792103,83350.29983024317,79258.48784144271,79991.55900703277
2004,115636.3235631297,115436.84825503208,101679.65012456183,131297.3445181772,110440.87171233933,120549.94598646356,114966.21398178973,115910.2658788774
2005,107059.65940607156,106872.06508079985,93835.27800436517,121672.79371238343,102101.98086377565,111661.4122886307,106368.838047576,107337.77199673714
2006,93471.42104102824,93276.80283956877,82205.121916268,105958.16706717519,89238.18867258978,97419.08992702661,92896.44833439891,93617.41605855507
2007,97117.54370687185,96833.92491016115,85509.09962741683,110157.53213254259,92722.94362750501,101245.28759452369,96470.81339976631,97224.28569853833
2008,110163.50044092683,109926.19987213123,96694.98335501224,125322.95134372449,105098.43691439404,114883.76066491766,109469.62289733019,110360.09942899976
2009,127775.78088141273,127541.94316453184,112469.0524482462,144677.2415617628,122180.82409224189,132971.6814744593,127016.16547983862,128010.40036156
2010,122758.45373575256,122496.63793293503,109238.4890539915,137552.82854560285,117835.21462113362,127391.47688441104,122111.95683326351,122955.69787693732
2011,119526.44583213916,119378.73409907626,107449.99889768293,132478.75283846646,115119.38093873321,123746.11433232656,118990.77360612006,119736.98714698297
2012,86724.12651293018,86645.92473379042,77616.5452280694,96673.24566238234,83314.8327785004,89892.60675940827,86318.98024647811,86954.62587358628
2013,79646.8519698406,79524.18483652637,70546.59494256927,89308.70113979584,76317.37913093323,82800.24361207258,79216.36830617959,79872.67962256663
2014,77544.5086972817,77389.43759783063,68981.73736193479,86912.69648801781,74311.76833704446,80624.37994664785,77118.80222227122,77679.23399986772
2015,58858.8297361053,58747.38199695761,51001.364117374724,67612.01470490971,55859.88998875637,61638.98013624639,58442.10630745828,58998.842567076
2016,79578.60350757292,79284.48598955004,66967.64699398135,93708.52807601578,74810.48413765736,83904.40706364778,78882.70244053,79688.36394100399
2017,65915.2382217421,65596.40865098438,53545.36585903569,80175.5660398157,61150.460768535464,70177.88641724906,65194.94752970744,66018.19649904099
2018,66580.36207808815,65814.66743093984,49063.2233955775,89048.69761238122,59368.34476068696,72906.14872461915,65168.58010538151,66423.14094226064
