Age,Blocks,mean,median,q025,q975,q250,q750
3,1980-2018,0.11524305761,0.11469,0.09750047750000002,0.135254125,0.1086545,0.12144025
3,2019-2019,0,0,0,0,0,0
4,1980-2018,0.3297222332,0.328625,0.276081525,0.388591425,0.30971075,0.34825775
4,2019-2019,0,0,0,0,0,0
5,1980-2018,0.648078136,0.648319,0.556603375,0.7396119250000001,0.6160749999999999,0.6794884999999999
5,2019-2019,0,0,0,0,0,0
6,1980-2018,0.8715177677,0.8738595,0.8010248249999999,0.927555825,0.85081625,0.8945577499999999
6,2019-2019,0,0,0,0,0,0
7,1980-2018,0.9611550845,0.9629965,0.927900825,0.983210125,0.95282775,0.9713922500000001
7,2019-2019,0,0,0,0,0,0
8,1980-2018,0.9889746299,0.9898865,0.976239875,0.9962981,0.98625125,0.9927134999999999
8,2019-2019,0,0,0,0,0,0
