Age,Blocks,mean,median,q025,q975,q250,q750
3,1980-1998,0.5350067569,0.534918,0.5160196000000001,0.554186075,0.5285044999999999,0.541422
3,1999-2014,0.6633513133,0.663235,0.64190155,0.6848533000000001,0.6559330000000001,0.6706872500000001
3,2015-2018,0.5534821214,0.553048,0.49507725,0.6115483749999999,0.53386725,0.57340525
4,1980-1998,0.5350067569,0.534918,0.5160196000000001,0.554186075,0.5285044999999999,0.541422
4,1999-2014,0.6633513133,0.663235,0.64190155,0.6848533000000001,0.6559330000000001,0.6706872500000001
4,2015-2018,0.5534821214,0.553048,0.49507725,0.6115483749999999,0.53386725,0.57340525
5,1980-1998,0.5350067569,0.534918,0.5160196000000001,0.554186075,0.5285044999999999,0.541422
5,1999-2014,0.6633513133,0.663235,0.64190155,0.6848533000000001,0.6559330000000001,0.6706872500000001
5,2015-2018,0.5534821214,0.553048,0.49507725,0.6115483749999999,0.53386725,0.57340525
6,1980-1998,0.5350067569,0.534918,0.5160196000000001,0.554186075,0.5285044999999999,0.541422
6,1999-2014,0.6633513133,0.663235,0.64190155,0.6848533000000001,0.6559330000000001,0.6706872500000001
6,2015-2018,0.5534821214,0.553048,0.49507725,0.6115483749999999,0.53386725,0.57340525
7,1980-1998,0.5350067569,0.534918,0.5160196000000001,0.554186075,0.5285044999999999,0.541422
7,1999-2014,0.6633513133,0.663235,0.64190155,0.6848533000000001,0.6559330000000001,0.6706872500000001
7,2015-2018,0.5534821214,0.553048,0.49507725,0.6115483749999999,0.53386725,0.57340525
8,1980-1998,0.5350067569,0.534918,0.5160196000000001,0.554186075,0.5285044999999999,0.541422
8,1999-2014,0.6633513133,0.663235,0.64190155,0.6848533000000001,0.6559330000000001,0.6706872500000001
8,2015-2018,0.5534821214,0.553048,0.49507725,0.6115483749999999,0.53386725,0.57340525
