Year,mean,median,q025,q975,q250,q750,q475,q525
1983,349.1676685,346.89,288.921675,420.0087999999999,326.20125,370.2645,344.693675,349.124925
1984,355.458475,353.20349999999996,296.7006,424.46025,332.7675,375.79,351.013975,355.497975
1985,287.6970187,285.3405,231.412325,358.323575,265.37825,307.2295,283.32439999999997,287.251425
1986,302.9965892,300.6735,245.741825,374.4834249999999,280.06575,323.3155,298.390025,302.584475
1987,367.7725178,365.99350000000004,308.227875,436.62242499999996,344.63550000000004,388.42175,364.04792499999996,367.9928
1988,358.1810158,356.1385,298.42635,428.595825,335.02425,379.15325,354.1282,358.0856
1989,310.9763469,308.671,251.10557500000002,385.56755,286.983,332.34075,306.360825,310.985325
1990,336.9178372,334.49,277.90992500000004,409.26695,313.69375,357.76425,332.47272499999997,336.40395
1991,373.430307,372.019,306.80404999999996,449.77427499999993,348.688,396.44825000000003,370.06925,374.126125
1992,360.8446283,358.752,300.5829,430.709475,337.77675,382.06,356.76725,360.774375
1993,314.9111886,312.557,254.07014999999998,387.86409999999995,291.2075,336.33125,310.548575,314.53985
1994,312.8599449,310.4605,255.18312500000002,383.689225,289.55925,333.65075,308.43262500000003,312.440275
1995,356.1992715,354.909,280.721775,441.708075,328.49325,382.35525,352.24604999999997,357.17307500000004
1996,376.7143089,374.7985,315.8,447.49019999999996,353.21725000000004,397.75225,373.00604999999996,376.83170000000007
1997,352.6200538,350.5,293.907125,422.35299999999995,329.908,373.77199999999993,348.54404999999997,352.47195
1998,333.8507612,331.548,276.27414999999996,404.26507499999997,310.97575,354.90324999999996,329.6952,333.504025
1999,329.8472799,327.47,270.078725,401.42889999999994,305.94225000000006,351.12825,325.13855,329.62080000000003
2000,347.1147601,344.9155,286.355725,419.082125,323.51225,368.68425,342.711825,346.92295
2001,377.3672244,375.528,315.37674999999996,449.90135,353.83175,399.29125,373.45709999999997,377.563275
2002,377.2198248,375.351,314.15565,450.362875,353.31275,399.1375,373.46709999999996,377.517325
2003,377.4133522,375.7065,314.92670000000004,450.31835,353.57950000000005,399.24875,373.688625,377.684925
2004,377.0195105,375.252,313.6968,449.847,353.2065,399.054,373.194,377.34012500000006
2005,369.3470854,367.585,301.5616,447.5770999999999,344.06949999999995,393.08500000000004,365.538725,370.12985
2006,354.6695391,353.247,281.750525,438.117925,327.11125,380.08,350.6732999999999,355.6544
2007,279.6113975,276.846,195.455,381.07685,246.467,309.87275,273.87807499999997,279.7916
2008,305.0338523,302.9235,222.21995,402.457225,272.92774999999995,334.26725,300.136575,305.554025
2009,333.9905965,332.509,256.79175,424.17907499999995,304.22974999999997,361.354,329.99315,334.90355
2010,328.1655194,326.139,249.28787499999999,419.6904,298.04575,355.71124999999995,323.3991,328.858475
2011,301.7391405,299.22,218.23457499999998,398.005825,269.81899999999996,331.03875,296.3271,302.29665
2012,258.3200351,254.6845,172.94270000000003,363.0387999999999,224.30425,288.419,251.47977500000002,257.81485
2013,278.6574027,275.2585,193.882875,380.93377499999997,245.4085,308.196,272.528775,278.2473
2014,291.4955675,288.361,207.295425,392.16425,259.07625,320.58124999999995,285.532925,291.14497500000004
2015,355.6998423,354.2915,283.24645000000004,437.701175,328.59,380.08625,351.82005000000004,356.70795
2016,355.0552665,353.8005,282.23322499999995,437.74167499999993,327.6895,379.877,351.327,356.133175
2017,374.1885914,372.759,308.48677499999997,449.98517499999997,349.675,396.87,370.493775,374.94112500000006
2018,377.7633143,376.09799999999996,315.61117500000006,449.72817499999985,354.371,399.49625000000003,374.116625,378.158
2019,360.3357359,359.3115,285.34954999999997,442.7975249999999,333.7145,385.65074999999996,356.85377500000004,361.562825
