Year,Age,gear_select,maturity,survival,catchage_comp_est,catchage_comp_obs,spawnage_comp_est,spawnage_comp_obs
1980,3,0.153383,0.273176,0.572775,0.0846986,0.160562,0.10924,0.167845
1981,3,0.153383,0.273176,0.572775,0.0330788,0,0.0514227,0.02
1982,3,0.153383,0.273176,0.572775,0.046536,0.193548,0.0788035,0.119119
1983,3,0.153383,0.273176,0.572775,0.377547,0.39,0.516636,0.674681
1984,3,0.153383,0.273176,0.572775,0.127654,0.148515,0.169351,0.12
1985,3,0.153383,0.273176,0.572775,0.0438381,0.01,0.0688334,0.0625
1986,3,0.153383,0.273176,0.572775,0.174845,0.06,0.270388,0.31
1987,3,0.153383,0.273176,0.572775,0.533325,0.535354,0.63398,0.53
1988,3,0.153383,0.273176,0.572775,0.0437808,0.02,0.0583726,0.02
1989,3,0.153383,0.273176,0.572775,0.00489739,0.0306122,0.00873355,0.01
1990,3,0.153383,0.273176,0.572775,0.00974385,0.00990099,0.0177392,0.02
1991,3,0.153383,0.273176,0.572775,0.587966,0.722772,0.71976,0.74
1992,3,0.153383,0.273176,0.572775,0.00936505,0.02,0.0122917,0.02
1993,3,0.153383,0.273176,0.572775,1.34434E-05,0.0129199,2.50711E-05,0.02
1994,3,0.153383,0.273176,0.572775,0.0929395,0.0313112,0.167616,0.105263
1995,3,0.153383,0.273176,0.572775,0.444932,0.216667,0.566157,0.347938
1996,3,0.153383,0.273176,0.572775,0.149667,0.391911,0.199086,0.263636
1997,3,0.153383,0.273176,0.572775,0.221959,0.254274,0.315164,0.416829
1998,3,0.153383,0.273176,0.572775,0.169441,0.132118,0.233216,0.27193
1999,3,0.153383,0.273176,0.756229,0.0361186,0.026253,0.0551118,0.0409639
2000,3,0.153383,0.273176,0.756229,0.0835045,0.260802,0.132607,0.209246
2001,3,0.153383,0.273176,0.756229,0.105587,0.283447,0.168389,0.2373
2002,3,0.153383,0.273176,0.756229,0.0675487,0.144195,0.105247,0.0824
2003,3,0.153383,0.273176,0.756229,0.235248,0.155056,0.335926,0.2645
2004,3,0.153383,0.273176,0.756229,0.0257431,0.0283401,0.0375577,0.0222
2005,3,0.153383,0.273176,0.756229,0.0449211,0.0666667,0.0747428,0.0756
2006,3,0.153383,0.273176,0.756229,0.0711661,0.159046,0.116939,0.1509
2007,3,0.153383,0.273176,0.756229,0.105826,0.108434,0.166028,0.1033
2008,3,0.153383,0.273176,0.756229,0.126921,0.0495238,0.191342,0.1855
