"","Age","for_mat_baa_tons","for_mat_prop","for_waa"
"1","3",5746.13637866796,0.119977,80.4611
"2","4",24349.8533918296,0.426752,95.8579
"3","5",12873.9610661611,0.214464,100.848
"4","6",1252.6290262131,0.0166016,126.76
"5","7",16246.3899115942,0.180276,151.4
"6","8+",3873.78469542979,0.0419288,155.214
