Model,Folder_name,Structure,Survival,Maturity,Selectivity,Convergence
1,HER_best_condEffort.1_111,Surv(1) Mat(1) Sel(1),1980-2018,1980-2018,1980-2018,1
2,HER_best_condEffort.2_211,Surv(2) Mat(1) Sel(1),1980-1998; 1999-2018,1980-2018,1980-2018,1
3,HER_best_condEffort.3_211,Surv(2) Mat(1) Sel(1),1980-2014; 2015-2018,1980-2018,1980-2018,1
4,HER_best_condEffort.4_311,Surv(3) Mat(1) Sel(1),1980-1998; 1999-2014; 2015-2018,1980-2018,1980-2018,1
5,HER_best_condEffort.5_121,Surv(1) Mat(2) Sel(1),1980-2018,1980-1998; 1999-2018,1980-2018,1
6,HER_best_condEffort.6_122,Surv(1) Mat(2) Sel(2),1980-2018,1980-1998; 1999-2018,1980-1998; 1999-2018,1
7,HER_best_condEffort.7_221,Surv(2) Mat(2) Sel(1),1980-1998; 1999-2018,1980-1998; 1999-2018,1980-2018,1
8,HER_best_condEffort.8_222,Surv(2) Mat(2) Sel(2),1980-1998; 1999-2018,1980-1998; 1999-2018,1980-1998; 1999-2018,1
9,HER_best_condEffort.9_221,Surv(2) Mat(2) Sel(1),1980-2014; 2015-2018,1980-1998; 1999-2018,1980-2018,1
10,HER_best_condEffort.10_222,Surv(2) Mat(2) Sel(2),1980-2014; 2015-2018,1980-1998; 1999-2018,1980-1998; 1999-2018,1
11,HER_best_condEffort.11_321,Surv(3) Mat(2) Sel(1),1980-1998; 1999-2014; 2015-2018,1980-1998; 1999-2018,1980-2018,1
12,HER_best_condEffort.12_322,Surv(3) Mat(2) Sel(2),1980-1998; 1999-2014; 2015-2018,1980-1998; 1999-2018,1980-1998; 1999-2018,1
13,HER_best_condEffort.13_121,Surv(1) Mat(2) Sel(1),1980-2018,1980-2014; 2015-2018,1980-2018,1
14,HER_best_condEffort.14_122,Surv(1) Mat(2) Sel(2),1980-2018,1980-2014; 2015-2018,1980-2014; 2015-2018,1
15,HER_best_condEffort.15_221,Surv(2) Mat(2) Sel(1),1980-1998; 1999-2018,1980-2014; 2015-2018,1980-2018,1
16,HER_best_condEffort.16_222,Surv(2) Mat(2) Sel(2),1980-1998; 1999-2018,1980-2014; 2015-2018,1980-2014; 2015-2018,1
17,HER_best_condEffort.17_221,Surv(2) Mat(2) Sel(1),1980-2014; 2015-2018,1980-2014; 2015-2018,1980-2018,1
18,HER_best_condEffort.18_222,Surv(2) Mat(2) Sel(2),1980-2014; 2015-2018,1980-2014; 2015-2018,1980-2014; 2015-2018,1
19,HER_best_condEffort.19_321,Surv(3) Mat(2) Sel(1),1980-1998; 1999-2014; 2015-2018,1980-2014; 2015-2018,1980-2018,1
20,HER_best_condEffort.20_322,Surv(3) Mat(2) Sel(2),1980-1998; 1999-2014; 2015-2018,1980-2014; 2015-2018,1980-2014; 2015-2018,1
21,HER_best_condEffort.21_131,Surv(1) Mat(3) Sel(1),1980-2018,1980-1998; 1999-2014; 2015-2018,1980-2018,1
22,HER_best_condEffort.22_132,Surv(1) Mat(3) Sel(2),1980-2018,1980-1998; 1999-2014; 2015-2018,1980-1998; 1999-2018,1
23,HER_best_condEffort.23_132,Surv(1) Mat(3) Sel(2),1980-2018,1980-1998; 1999-2014; 2015-2018,1980-2014; 2015-2018,1
24,HER_best_condEffort.24_133,Surv(1) Mat(3) Sel(3),1980-2018,1980-1998; 1999-2014; 2015-2018,1980-1998; 1999-2014; 2015-2018,1
25,HER_best_condEffort.25_231,Surv(2) Mat(3) Sel(1),1980-1998; 1999-2018,1980-1998; 1999-2014; 2015-2018,1980-2018,1
26,HER_best_condEffort.26_232,Surv(2) Mat(3) Sel(2),1980-1998; 1999-2018,1980-1998; 1999-2014; 2015-2018,1980-1998; 1999-2018,1
27,HER_best_condEffort.27_232,Surv(2) Mat(3) Sel(2),1980-1998; 1999-2018,1980-1998; 1999-2014; 2015-2018,1980-2014; 2015-2018,1
28,HER_best_condEffort.28_233,Surv(2) Mat(3) Sel(3),1980-1998; 1999-2018,1980-1998; 1999-2014; 2015-2018,1980-1998; 1999-2014; 2015-2018,1
29,HER_best_condEffort.29_231,Surv(2) Mat(3) Sel(1),1980-2014; 2015-2018,1980-1998; 1999-2014; 2015-2018,1980-2018,1
30,HER_best_condEffort.30_232,Surv(2) Mat(3) Sel(2),1980-2014; 2015-2018,1980-1998; 1999-2014; 2015-2018,1980-1998; 1999-2018,1
31,HER_best_condEffort.31_232,Surv(2) Mat(3) Sel(2),1980-2014; 2015-2018,1980-1998; 1999-2014; 2015-2018,1980-2014; 2015-2018,1
32,HER_best_condEffort.32_233,Surv(2) Mat(3) Sel(3),1980-2014; 2015-2018,1980-1998; 1999-2014; 2015-2018,1980-1998; 1999-2014; 2015-2018,1
33,HER_best_condEffort.33_331,Surv(3) Mat(3) Sel(1),1980-1998; 1999-2014; 2015-2018,1980-1998; 1999-2014; 2015-2018,1980-2018,1
34,HER_best_condEffort.34_332,Surv(3) Mat(3) Sel(2),1980-1998; 1999-2014; 2015-2018,1980-1998; 1999-2014; 2015-2018,1980-1998; 1999-2018,1
35,HER_best_condEffort.35_332,Surv(3) Mat(3) Sel(2),1980-1998; 1999-2014; 2015-2018,1980-1998; 1999-2014; 2015-2018,1980-2014; 2015-2018,1
36,HER_best_condEffort.36_333,Surv(3) Mat(3) Sel(3),1980-1998; 1999-2014; 2015-2018,1980-1998; 1999-2014; 2015-2018,1980-1998; 1999-2014; 2015-2018,1
