Folder_name,Structure,deltaAIC,NLL,AIC,GHL,nopar,max_grad,Survival,Maturity,Selectivity
HER_best_condEffort.12_322,Surv(3) Mat(2) Sel(2),0,-406.219,-612.438279061158,12033.7886,100,1.522060115588e-4,1980-1998; 1999-2014; 2015-2018,1980-1998; 1999-2018,1980-1998; 1999-2018
HER_best_condEffort.36_333,Surv(3) Mat(3) Sel(3),0.6581860437739806,-409.89,-611.780093017384,12767.4586,104,9.39678509590137e-5,1980-1998; 1999-2014; 2015-2018,1980-1998; 1999-2014; 2015-2018,1980-1998; 1999-2014; 2015-2018
HER_best_condEffort.34_332,Surv(3) Mat(3) Sel(2),2.580972993196042,-406.929,-609.857306067962,12125.1364,102,6.81326360787762e-4,1980-1998; 1999-2014; 2015-2018,1980-1998; 1999-2014; 2015-2018,1980-1998; 1999-2018
HER_best_condEffort.4_311,Surv(3) Mat(1) Sel(1),4.455385790224,-399.991,-607.982893270934,12055.786,96,5.35045279405901e-4,1980-1998; 1999-2014; 2015-2018,1980-2018,1980-2018
HER_best_condEffort.11_321,Surv(3) Mat(2) Sel(1),7.092822304061997,-400.673,-605.345456757096,12114.3878,98,4.05971855495068e-4,1980-1998; 1999-2014; 2015-2018,1980-1998; 1999-2018,1980-2018
HER_best_condEffort.19_321,Surv(3) Mat(2) Sel(1),7.109847258328045,-400.664,-605.32843180283,12175.1316,98,2.26145847122575e-4,1980-1998; 1999-2014; 2015-2018,1980-2014; 2015-2018,1980-2018
HER_best_condEffort.20_322,Surv(3) Mat(2) Sel(2),8.63627343948201,-401.901,-603.802005621676,12584.2628,100,2.63210626411679e-4,1980-1998; 1999-2014; 2015-2018,1980-2014; 2015-2018,1980-2014; 2015-2018
HER_best_condEffort.33_331,Surv(3) Mat(3) Sel(1),10.25122153617599,-401.094,-602.187057524982,12202.8162,100,9.95124368762514e-5,1980-1998; 1999-2014; 2015-2018,1980-1998; 1999-2014; 2015-2018,1980-2018
HER_best_condEffort.35_332,Surv(3) Mat(3) Sel(2),11.779252864546038,-402.33,-600.659026196612,12611.6465,102,9.97252383369985e-4,1980-1998; 1999-2014; 2015-2018,1980-1998; 1999-2014; 2015-2018,1980-2014; 2015-2018
HER_best_condEffort.8_222,Surv(2) Mat(2) Sel(2),12.186550440600058,-399.126,-600.251728620558,20138.8311,99,3.60506361673444e-5,1980-1998; 1999-2018,1980-1998; 1999-2018,1980-1998; 1999-2018
HER_best_condEffort.26_232,Surv(2) Mat(3) Sel(2),13.71350505551402,-400.362,-598.724774005644,19103.6098,101,4.80564917553947e-5,1980-1998; 1999-2018,1980-1998; 1999-2014; 2015-2018,1980-1998; 1999-2018
HER_best_condEffort.28_233,Surv(2) Mat(3) Sel(3),14.31076338187006,-402.064,-598.127515679288,20421.9678,103,5.70958099637205e-4,1980-1998; 1999-2018,1980-1998; 1999-2014; 2015-2018,1980-1998; 1999-2014; 2015-2018
HER_best_condEffort.2_211,Surv(2) Mat(1) Sel(1),17.453623604818063,-392.492,-594.98465545634,20103.3622,95,3.1586015021914e-4,1980-1998; 1999-2018,1980-2018,1980-2018
HER_best_condEffort.15_221,Surv(2) Mat(2) Sel(1),19.053971567382064,-393.692,-593.384307493776,19056.2039,97,1.67986612128996e-4,1980-1998; 1999-2018,1980-2014; 2015-2018,1980-2018
HER_best_condEffort.7_221,Surv(2) Mat(2) Sel(1),20.198431919272025,-393.12,-592.239847141886,20290.6067,97,2.04500791050864e-4,1980-1998; 1999-2018,1980-1998; 1999-2018,1980-2018
HER_best_condEffort.16_222,Surv(2) Mat(2) Sel(2),21.226245326679987,-394.606,-591.212033734478,19377.349,99,5.69240104970644e-5,1980-1998; 1999-2018,1980-2014; 2015-2018,1980-2014; 2015-2018
HER_best_condEffort.25_231,Surv(2) Mat(3) Sel(1),22.232930840665972,-394.103,-590.205348220492,19161.8042,99,7.95037581449851e-5,1980-1998; 1999-2018,1980-1998; 1999-2014; 2015-2018,1980-2018
HER_best_condEffort.27_232,Surv(2) Mat(3) Sel(2),24.384758720453988,-395.027,-588.053520340704,19474.2513,101,6.17492992444977e-4,1980-1998; 1999-2018,1980-1998; 1999-2014; 2015-2018,1980-2014; 2015-2018
HER_best_condEffort.29_231,Surv(2) Mat(3) Sel(1),97.50875807384,-356.465,-514.929520987318,12991.9624,99,5.2533657782277e-5,1980-2014; 2015-2018,1980-1998; 1999-2014; 2015-2018,1980-2018
HER_best_condEffort.30_232,Surv(2) Mat(3) Sel(2),97.77769886579404,-358.33,-514.660580195364,12796.8281,101,8.80473988837155e-5,1980-2014; 2015-2018,1980-1998; 1999-2014; 2015-2018,1980-1998; 1999-2018
HER_best_condEffort.10_222,Surv(2) Mat(2) Sel(2),97.90512654006,-356.267,-514.533152521098,12674.9634,99,1.1225876429362e-4,1980-2014; 2015-2018,1980-1998; 1999-2018,1980-1998; 1999-2018
HER_best_condEffort.32_233,Surv(2) Mat(3) Sel(3),98.535836577684,-359.951,-513.902442483474,13147.205,103,1.11978557307561e-4,1980-2014; 2015-2018,1980-1998; 1999-2014; 2015-2018,1980-1998; 1999-2014; 2015-2018
HER_best_condEffort.31_232,Surv(2) Mat(3) Sel(2),98.71556984241204,-357.861,-513.722709218746,13388.4743,101,9.72062966787281e-5,1980-2014; 2015-2018,1980-1998; 1999-2014; 2015-2018,1980-2014; 2015-2018
HER_best_condEffort.9_221,Surv(2) Mat(2) Sel(1),98.94498109196206,-353.747,-513.493297969196,12889.8071,97,1.02662453175531e-4,1980-2014; 2015-2018,1980-1998; 1999-2018,1980-2018
HER_best_condEffort.21_131,Surv(1) Mat(3) Sel(1),100.69979304446201,-353.869,-511.738486016696,15642.2311,98,1.5340882716722e-4,1980-2018,1980-1998; 1999-2014; 2015-2018,1980-2018
HER_best_condEffort.22_132,Surv(1) Mat(3) Sel(2),101.74293820261198,-355.348,-510.69534085854605,15953.4249,100,3.91225418395522e-5,1980-2018,1980-1998; 1999-2014; 2015-2018,1980-1998; 1999-2018
HER_best_condEffort.23_132,Surv(1) Mat(3) Sel(2),102.71949243332199,-354.859,-509.71878662783604,16459.9531,100,1.84456456895693e-5,1980-2018,1980-1998; 1999-2014; 2015-2018,1980-2014; 2015-2018
HER_best_condEffort.24_133,Surv(1) Mat(3) Sel(3),102.91033347252608,-356.764,-509.52794558863195,16449.0898,102,9.63888574085455e-5,1980-2018,1980-1998; 1999-2014; 2015-2018,1980-1998; 1999-2014; 2015-2018
HER_best_condEffort.6_122,Surv(1) Mat(2) Sel(2),103.51239693181606,-352.463,-508.92588212934197,17280.9063,98,8.03041171817341e-5,1980-2018,1980-1998; 1999-2018,1980-1998; 1999-2018
HER_best_condEffort.5_121,Surv(1) Mat(2) Sel(1),103.55820046192207,-350.44,-508.88007859923596,16861.8806,96,4.62123924405935e-5,1980-2018,1980-1998; 1999-2018,1980-2018
HER_best_condEffort.3_211,Surv(2) Mat(1) Sel(1),143.81307270968398,-329.313,-468.62520635147405,13450.3388,95,9.36568756895936e-5,1980-2014; 2015-2018,1980-2018,1980-2018
HER_best_condEffort.1_111,Surv(1) Mat(1) Sel(1),145.70923611131605,-327.365,-466.729042949842,15192.1962,94,8.54882555799923e-5,1980-2018,1980-2018,1980-2018
HER_best_condEffort.17_221,Surv(2) Mat(2) Sel(1),147.333841199802,-329.552,-465.104437861356,13574.6847,97,7.76479580620957e-5,1980-2014; 2015-2018,1980-2014; 2015-2018,1980-2018
HER_best_condEffort.18_222,Surv(2) Mat(2) Sel(2),148.75928998524807,-330.839,-463.67898907590995,14028.1333,99,1.48799052616773e-4,1980-2014; 2015-2018,1980-2014; 2015-2018,1980-2014; 2015-2018
HER_best_condEffort.13_121,Surv(1) Mat(2) Sel(1),149.00645709918808,-327.716,-463.43182196196994,14969.5218,96,3.24083528416963e-5,1980-2018,1980-2014; 2015-2018,1980-2018
HER_best_condEffort.14_122,Surv(1) Mat(2) Sel(2),150.92404759794408,-328.757,-461.51423146321395,15830.6082,98,6.32011400581792e-5,1980-2018,1980-2014; 2015-2018,1980-2014; 2015-2018
