Year,mean,median,q025,q975,q250,q750,q475,q525
1980,27059.733603033575,26947.46356842082,22920.43199805992,31786.76227430058,25454.81602328094,28543.23287550431,26815.417006547763,27088.31764368703
1981,33505.666890804474,33418.285235565156,28371.819815251656,39308.02872638286,31601.363566216187,35299.471990123246,33219.14063361185,33577.501157432926
1982,28743.24976300183,28670.38514958443,24674.91291695143,33233.96679820983,27244.207323794617,30161.875261800305,28531.027469741395,28813.97297118543
1983,36662.67339447519,36565.06977667056,31924.910161158754,41904.9389316343,34885.99285698539,38342.61116867656,36412.3272117992,36727.15172292158
1984,37233.92252915629,37139.81789721995,32544.14228708746,42322.17972177517,35529.44288895258,38877.92389602945,36996.0399259243,37289.11847703873
1985,36215.33282259309,36121.717850922636,31321.29511232611,41695.327829096765,34408.22108071165,37941.1197336802,35957.88322052955,36272.440419762344
1986,33410.61286624485,33335.33587601138,28923.02795476091,38332.803302541935,31750.259044511564,34974.45380189158,33188.080094358345,33488.16662624838
1987,47377.70693798364,47267.63156154237,41461.22599704579,53999.553561586465,45152.53312462797,49438.92061112459,47070.584117815655,47487.64578143257
1988,48784.460801604975,48649.992283780506,42736.48559271588,55558.73972089332,46566.58546264248,50941.874820873476,48437.418704116055,48857.095614982696
1989,43134.26743314447,42992.90107806609,37035.899711192935,49793.935602636746,40862.64578143257,45312.78246874931,42784.07813223395,43185.35461540157
1990,36308.759055534734,36203.620009259466,30957.803302541943,42253.13333627284,34279.9389316343,38199.695760488554,36011.497167045134,36380.21947132873
1991,46047.37537203201,45937.024625763355,40265.71904142508,52338.342445821116,43898.86792036861,48085.82640710774,45760.877113692986,46120.00650367072
1992,53870.57094512666,53761.65700302035,47275.68949932758,60879.58012742785,51495.04508476818,56140.429683194074,53520.82276946141,53984.27544698957
1993,49428.808351154126,49346.546440618185,42349.05421195353,57094.23708635552,46830.4801693159,51866.22280032629,49097.92158116361,49578.85149584427
1994,44264.02557375604,44182.631892237485,38088.309376309,50997.91937652946,42028.12562005335,46414.961749597656,43993.35578385767,44394.25472342865
1995,40001.86691726008,39964.00934764876,35199.17767146542,45139.4072841112,38279.80665358584,41649.011221587774,39786.5390550938,40107.7322030909
1996,30036.877576666153,30005.676932912982,26297.066183116913,34055.15994620692,28639.71317709826,31363.62133203995,29877.60146828634,30126.297978350492
1997,35522.42616680262,35441.53310258163,30250.655878656937,41419.72651513482,33567.09804008025,37363.946515575735,35263.842346612575,35619.33409025772
1998,41735.77661544567,41534.31513040411,34500.936969509916,49907.162856323994,39027.756343834735,44255.46749266959,41310.299499548055,41785.45878436473
1999,53426.12714125091,53243.0168213585,45188.774554112744,62443.470424832994,50273.53998104015,56323.60722238145,52971.265349765206,53510.49130271831
2000,61715.97386406226,61537.181154787366,53127.51328292071,71204.72783791531,58472.2160982385,64736.62889393505,61246.34306311868,61849.69080006173
2001,69739.71645097996,69561.4982693622,61024.380497806385,79212.22359399458,66561.43213033797,72712.38894155515,69268.12484843141,69876.59009237417
2002,71602.28357106638,71411.90281972707,62799.59324500099,81221.21298970435,68390.47928746225,74693.36294891863,71089.80852752486,71709.50362662316
2003,86189.94528098062,86012.03730240968,76323.4060495161,97031.38021120394,82488.89415551489,89731.39288785026,85704.45501444035,86319.34676690403
2004,95968.22977799334,95767.54337617673,84808.62122180825,108133.43823717453,91813.44937057696,99956.15533852155,95422.84882823695,96131.77924998346
2005,102418.40347009414,102170.3520800723,90090.26323331644,115737.89104698076,97798.86571573447,106893.9460746489,101776.39498225269,102593.75482263719
2006,97299.69053550564,97096.38660464296,85668.97418373422,109492.0550497145,93065.65400471792,101288.55353954011,96699.44222756234,97482.94715491965
2007,96762.45370268304,96546.77131330056,85747.43711281112,108673.91807579531,92749.39923719659,100549.17436451421,96204.40816596485,96936.4872461915
2008,101822.75830595913,101661.74298375184,90595.17405586544,114324.61033091559,97680.55953614497,105723.2577878701,101306.70319010562,102039.2287087458
2009,109904.21084018608,109728.16861041909,97566.37051081374,123670.08201239005,105403.17246852884,114171.6638373862,109316.3043717895,110135.78617253466
2010,109809.53748980357,109577.31651932362,97915.47983862078,122935.16722149958,105411.4122886307,113964.42822813554,109145.88339690029,109991.18973081416
2011,104870.1091183668,104653.81732401508,93716.93599947088,116835.68861747393,100830.29277541392,108744.46085672083,104287.28036332372,105016.75246367865
2012,80749.81962785775,80651.24892524086,72025.21550298728,90171.66659317886,77553.73795718601,83852.87374060275,80346.05590952182,80921.47368769153
2013,80527.30037037854,80382.11821248264,71546.24771269207,90198.62651293018,77221.3342445821,83737.70916466413,80068.21413611411,80721.73934610552
2014,69804.06909323398,69701.54765316696,61622.15877775084,78597.4944332988,66838.38929429662,72657.32820388455,69429.27809255055,69965.40929032827
2015,69112.31449106021,68995.95449635133,59487.328865274816,79927.03763310479,65544.1588218435,72485.5596463767,68660.53319076699,69301.64906633744
2016,60371.920930796536,60224.43175555017,51568.7956083688,70355.89408937587,57075.35990652351,63388.16442161424,59910.20525143853,60507.26978107983
2017,65177.164267289845,64788.24489076038,52866.82907471506,79543.09784166317,60471.102757997316,69585.9697083269,64421.346921228425,65243.1325646509
2018,61476.483817985405,60875.46021737692,45534.35922308693,80982.84519059063,55091.98835953174,67179.85956480521,60284.014749002396,61432.364580347894
