Year,Age,mean,median,q025,q975
1980,3,0.15621607547,0.155179,0.11810665000000001,0.19937024999999994
1981,3,0.04413658009,0.0435808,0.0318814825,0.058831132499999994
1982,3,0.14693420647,0.1459455,0.112225225,0.18731667500000002
1983,3,0.5366704999,0.5370695000000001,0.4728465,0.598361425
1984,3,0.2240142019,0.2226795,0.177887375,0.276039725
1985,3,0.07577484016,0.0750605,0.05657959,0.099286615
1986,3,0.2168174306,0.21624149999999998,0.17021385,0.267982625
1987,3,0.6630322494,0.6634880000000001,0.6032396750000001,0.718573
1988,3,0.08781523024,0.08710155,0.06605816750000001,0.11376235
1989,3,0.02175195492,0.0214848,0.015491055,0.029447579999999998
1990,3,0.07637392862,0.07556235,0.0571834525,0.100827425
1991,3,0.6853188044,0.6858744999999999,0.62918685,0.738072625
1992,3,0.05298923586,0.0524366,0.0398344325,0.069546495
1993,3,0.02772749024,0.027377,0.0201791875,0.03722572749999999
1994,3,0.05484862184,0.05424745,0.0407409075,0.07228451499999997
1995,3,0.2845511372,0.2835455,0.2297121,0.3453137499999999
1996,3,0.2562880006,0.2553385,0.20604982500000002,0.31109705000000004
1997,3,0.4435847315,0.443534,0.374787425,0.5125930750000001
1998,3,0.2838880961,0.2833745,0.22696045,0.3449236499999999
1999,3,0.06168643282,0.061174000000000006,0.046073425,0.08054171249999999
2000,3,0.1387233424,0.1377045,0.10590497500000001,0.177507125
2001,3,0.1897692218,0.188894,0.15049815,0.2338207
2002,3,0.12416557898,0.123232,0.09583375749999999,0.15743644999999998
2003,3,0.3062614811,0.305617,0.249933875,0.366738075
2004,3,0.04551951485,0.04506085,0.034247085,0.059289672499999994
2005,3,0.08459810652,0.08387235,0.0636456825,0.1099885
2006,3,0.11032675195,0.109259,0.08446252750000001,0.14193325
2007,3,0.1629681444,0.1620825,0.126016625,0.20543084999999997
2008,3,0.1901015591,0.18898749999999997,0.14816485,0.23870484999999997
2009,3,0.13011219403,0.1293185,0.099164525,0.166226975
2010,3,0.12281670955,0.12202350000000001,0.093996945,0.15609045000000002
2011,3,0.05871550757,0.0581859,0.0444783225,0.0758443175
2012,3,0.04925225996,0.048870399999999994,0.0371323925,0.06385720999999998
2013,3,0.14616466693,0.145286,0.11381932500000001,0.18202564999999998
2014,3,0.03067319971,0.03042765,0.02303652,0.039852205
2015,3,0.4940252746,0.4942355,0.420693025,0.56745585
2016,3,0.04770867621,0.0471026,0.033523305,0.06524716
2017,3,0.2579711474,0.2565245,0.18814397500000002,0.33817004999999994
2018,3,0.20169643936,0.1988405,0.13170575,0.29008844999999994
1980,4,0.6448471464,0.6456630000000001,0.581441925,0.704937825
1981,4,0.1875622258,0.187015,0.146993525,0.23294692499999997
1982,4,0.06008379879,0.05960425,0.04609780250000001,0.07694630749999998
1983,4,0.11941327546,0.1187085,0.09379197,0.14929934999999997
1984,4,0.5370645225,0.5373715,0.47822644999999997,0.59456655
1985,4,0.2751930674,0.2741505,0.226517625,0.32768315
1986,4,0.09123889824,0.09067825,0.0718853725,0.11437927499999999
1987,4,0.11317510872,0.1123825,0.08759633750000001,0.14312907500000002
1988,4,0.7143820928,0.715052,0.6686093249999999,0.7563311500000001
1989,4,0.11811987919,0.1173015,0.0914286925,0.1488451
1990,4,0.03252584607,0.03228175,0.024186555,0.042530797499999995
1991,4,0.04353877258,0.04302365,0.0331721175,0.05612403249999999
1992,4,0.7772362987,0.7780555,0.738526,0.8127588
1993,4,0.07007643433,0.06945465,0.0537501875,0.09003094749999999
1994,4,0.04290932741,0.04254415,0.0324443475,0.055543939999999986
1995,4,0.074343384269999993,0.073883,0.057452342499999996,0.09423862250000001
1996,4,0.3668729628,0.366126,0.3079731,0.42918782499999997
1997,4,0.2109989443,0.21,0.170519,0.2566281
1998,4,0.4030077744,0.4027985,0.344589125,0.46143805
1999,4,0.3773101944,0.376992,0.31721702500000004,0.44016479999999997
2000,4,0.08671631025,0.08617935,0.067759915,0.10945454999999998
2001,4,0.208747967,0.20794849999999998,0.168031925,0.25283865
2002,4,0.2862595129,0.2855915,0.23816537499999998,0.338388
2003,4,0.1460377719,0.1451605,0.116427975,0.1792673
