Parameter,q025,q250,median,q750,q975
log_Mbar,-0.5508609489002795,-0.47494729733939445,-0.431347006122591,-0.38974458549447566,-0.3071800148597667
log_rinit,2.835528475195113,3.9862874406725206,4.436389975158312,4.784630081293565,5.308807236073844
log_rbar,6.017135290850343,6.211958062368339,6.325594398838613,6.448295995090848,6.711713493308896
log_ro,6.2031003477218345,6.417617203952031,6.540741443940836,6.673744016642632,6.948940183277792
log_reck,0.8214803824091897,1.0812798997542692,1.2359725384238394,1.3907973414446364,1.7031553754076156
log_rinit_devs_3,2.569726668511077,2.920423862516297,3.199098998401869,3.659661016066268,4.7740797187868855
log_rinit_devs_4,1.3638223924026478,1.7183724506892046,2.004732453104346,2.452208643270212,3.589931758248947
log_rinit_devs_5,-0.41602860064269725,0.021410379181161066,0.3285686851991967,0.769667233965841,1.9217991700500214
log_rinit_devs_6,-9.312409919256671,-4.118187755960411,-2.1481784476928754,-1.133284434271852,0.24023315357038985
log_rinit_devs_7,-9.593584647169003,-4.483421226231544,-2.243060985474438,-1.1236343428863784,0.3246455786758072
log_rinit_devs_8,-0.2992960891724689,-0.09293479553738404,0.012554762894612104,0.11442038567520596,0.31185107098730336
log_rbar_devs_1980,-1.6656496142556207,-1.459459459622345,-1.3510181124845522,-1.2454657766639348,-1.0317441452343765
log_rbar_devs_1981,-0.6557003943568931,-0.4689870568714527,-0.3678903107485425,-0.27076225606491766,-0.08088149951439202
log_rbar_devs_1982,0.9746856922906939,1.1369853193312895,1.2230929962136283,1.3042651426367806,1.46492634607721
log_rbar_devs_1983,0.1527274469523766,0.32914966501786624,0.4224237538149529,0.5175619446500135,0.6957263507604915
log_rbar_devs_1984,-1.0890101315860796,-0.8967694022758268,-0.7974673203978888,-0.6936780296595622,-0.49985352774838643
log_rbar_devs_1985,-0.12566549776385716,0.05681764603022055,0.14821538817679247,0.24249835564895283,0.4234688316688439
log_rbar_devs_1986,1.7825505609401135,1.934406802851627,2.0140264234177447,2.0927815403963432,2.2427996632389573
log_rbar_devs_1987,-0.30252087400845046,-0.10960545139675881,-0.01125180921137936,0.0860380879293059,0.2695473546783065
log_rbar_devs_1988,-1.958941432162537,-1.754776381058678,-1.6477976834378918,-1.5366547388101148,-1.3289213575185643
log_rbar_devs_1989,-0.9854292663149471,-0.8000242231851127,-0.7077299982917555,-0.6129516533363701,-0.4285352122614644
log_rbar_devs_1990,1.9367477282227863,2.0845282548655915,2.1578308604762917,2.2323086837466386,2.3761696197953084
log_rbar_devs_1991,-0.718717586553196,-0.5359915463679226,-0.4410315547032386,-0.3468037145335474,-0.16993681425134843
log_rbar_devs_1992,-1.5643229963562924,-1.382580015461702,-1.2907442661510444,-1.1960610408642487,-1.017274914357944
log_rbar_devs_1993,-1.2247297979107754,-1.045936313023398,-0.956175259025045,-0.8694697294493716,-0.701420265532236
log_rbar_devs_1994,0.23957534337014674,0.40260211408060087,0.48533021402600784,0.5656717766540753,0.7228379792230921
log_rbar_devs_1995,-0.04443697326634672,0.11061527931322601,0.19552713405011346,0.2787643227200185,0.43535590600173407
log_rbar_devs_1996,0.7912280693469567,0.928457490992121,0.9989546795204802,1.0688858737598839,1.196499129154068
log_rbar_devs_1997,0.5059961627406346,0.6473893106930348,0.7202156898650109,0.7889438926061101,0.9177558144311239
log_rbar_devs_1998,-1.252185616695871,-1.0822734087180832,-0.9932200740158885,-0.905287521144376,-0.7298463050234525
log_rbar_devs_1999,-0.32174586735393196,-0.1570197389090464,-0.07207386018457473,0.011375990879299636,0.1756156008542578
