Age,Blocks,mean,median,q025,q975,q250,q750
3,1980-1998,0.05651746903,0.0556971,0.0381792675,0.07900357999999999,0.049104474999999995,0.063073
3,1999-2018,0.09875338391,0.09813140000000001,0.06825183750000001,0.13423142499999996,0.08707067499999999,0.10951975
3,2019-2019,0,0,0,0,0,0
4,1980-1998,0.18336702653,0.18110300000000001,0.12720902499999998,0.25115275,0.16088724999999998,0.20350150000000003
4,1999-2018,0.2728233118,0.270633,0.186382975,0.372117375,0.23951424999999998,0.30275799999999997
4,2019-2019,0,0,0,0,0,0
5,1980-1998,0.4548895089,0.45196349999999996,0.335133775,0.5862071,0.40936275,0.49780825000000006
5,1999-2018,0.5578082102,0.5582455,0.404267975,0.7129954000000001,0.50326525,0.6119837499999999
5,2019-2019,0,0,0,0,0,0
6,1980-1998,0.7525133888,0.7554205,0.626842725,0.8629109,0.7118460000000001,0.7958419999999999
6,1999-2018,0.8045173,0.8110145,0.6601636,0.9153201249999999,0.763565,0.8516199999999999
6,2019-2019,0,0,0,0,0,0
7,1980-1998,0.9163798601,0.9203285,0.8460670499999999,0.965985275,0.8978572499999999,0.938998
7,1999-2018,0.9295660975,0.9359379999999999,0.8448546000000001,0.9793617,0.9107072500000001,0.954864
7,2019-2019,0,0,0,0,0,0
8,1980-1998,0.9752275624,0.977342,0.946144575,0.992211525,0.9688552500000001,0.98392325
8,1999-2018,0.9767324967,0.980252,0.9379022000000001,0.995242075,0.96989725,0.9873405
8,2019-2019,0,0,0,0,0,0
