Year,Age,gear_select,maturity,survival,catchage_comp_est,catchage_comp_obs,spawnage_comp_est,spawnage_comp_obs
1980,3,0.150029,0.270825,0.570445,0.0840521,0.160562,0.109569,0.167845
1981,3,0.150029,0.270825,0.570445,0.0325451,0,0.0512412,0.02
1982,3,0.150029,0.270825,0.570445,0.0463575,0.193548,0.0795541,0.119119
1983,3,0.150029,0.270825,0.570445,0.375961,0.39,0.518447,0.674681
1984,3,0.150029,0.270825,0.570445,0.126543,0.148515,0.169603,0.12
1985,3,0.150029,0.270825,0.570445,0.0432003,0.01,0.0687429,0.0625
1986,3,0.150029,0.270825,0.570445,0.173312,0.06,0.271181,0.31
1987,3,0.150029,0.270825,0.570445,0.531196,0.535354,0.634939,0.53
1988,3,0.150029,0.270825,0.570445,0.0434282,0.02,0.058578,0.02
1989,3,0.150029,0.270825,0.570445,0.00476636,0.0306122,0.00862871,0.01
1990,3,0.150029,0.270825,0.570445,0.00987194,0.00990099,0.0182299,0.02
1991,3,0.150029,0.270825,0.570445,0.58622,0.722772,0.721068,0.74
1992,3,0.150029,0.270825,0.570445,0.00931509,0.02,0.0123643,0.02
1993,3,0.150029,0.270825,0.570445,1.50E-05,0.0129199,2.84E-05,0.02
1994,3,0.150029,0.270825,0.570445,0.0922741,0.0313112,0.168675,0.105263
1995,3,0.150029,0.270825,0.570445,0.442912,0.216667,0.567309,0.347938
1996,3,0.150029,0.270825,0.570445,0.148393,0.391911,0.19955,0.263636
1997,3,0.150029,0.270825,0.570445,0.219735,0.254274,0.315496,0.416829
1998,3,0.150029,0.270825,0.570445,0.16747,0.132118,0.233063,0.27193
1999,3,0.150029,0.270825,0.755161,0.0356225,0.026253,0.0550791,0.0409639
2000,3,0.150029,0.270825,0.755161,0.081992,0.260802,0.13188,0.209246
2001,3,0.150029,0.270825,0.755161,0.10394,0.283447,0.168004,0.2373
2002,3,0.150029,0.270825,0.755161,0.0665958,0.144195,0.105136,0.0824
2003,3,0.150029,0.270825,0.755161,0.232372,0.155056,0.335396,0.2645
2004,3,0.150029,0.270825,0.755161,0.0254512,0.0283401,0.037603,0.0222
2005,3,0.150029,0.270825,0.755161,0.0442226,0.0666667,0.0745694,0.0756
2006,3,0.150029,0.270825,0.755161,0.0700401,0.159046,0.116613,0.1509
2007,3,0.150029,0.270825,0.755161,0.104388,0.108434,0.165849,0.1033
2008,3,0.150029,0.270825,0.755161,0.12528,0.0495238,0.191173,0.1855
2009,3,0.150029,0.270825,0.755161,0.0805903,0.116981,0.123377,0.0817
2010,3,0.150029,0.270825,0.755161,0.0691401,0.15146,0.111574,0.0856102
2011,3,0.150029,0.270825,0.755161,0.0242612,0.0951456,0.0413772,0.0658
2012,3,0.150029,0.270825,0.755161,0.017233,0.0858779,0.0310526,0.1173
2013,3,0.150029,0.270825,0.755161,0.0932611,0.118881,0.155273,0.20283
2014,3,0.150029,0.270825,0.755161,0.016761,0.0056391,0.0292878,0.0121212
2015,3,0.150029,0.34872,0.670543,0.344761,0.17105,0.55072,0.483333
2016,3,0.150029,0.34872,0.670543,0.00798516,0.0171429,0.0123912,0.0226415
2017,3,0.150029,0.34872,0.670543,0.133423,0.223485,0.271848,0.29685
1980,4,0.540367,0.790847,0.570445,0.713806,0.696965,0.740202,0.714579
1981,4,0.540367,0.790847,0.570445,0.181936,0.08,0.22951,0.25
1982,4,0.540367,0.790847,0.570445,0.0925831,0.0322581,0.126219,0.0157089
1983,4,0.540367,0.790847,0.570445,0.0948153,0.06,0.103335,0.1012
1984,4,0.540367,0.790847,0.570445,0.603814,0.663366,0.640687,0.69
1985,4,0.540367,0.790847,0.570445,0.269173,0.16,0.336319,0.427083
1986,4,0.540367,0.790847,0.570445,0.108987,0.04,0.134368,0.06
1987,4,0.540367,0.790847,0.570445,0.205642,0.171717,0.195936,0.17
1988,4,0.540367,0.790847,0.570445,0.738618,0.85,0.784252,0.85
1989,4,0.540367,0.790847,0.570445,0.106218,0.244898,0.148789,0.19
1990,4,0.540367,0.790847,0.570445,0.0185476,0.00990099,0.0271994,0.01
1991,4,0.540367,0.790847,0.570445,0.0155969,0.029703,0.0153892,0.05
1992,4,0.540367,0.790847,0.570445,0.833097,0.86,0.878788,0.89
1993,4,0.540367,0.790847,0.570445,0.0229224,0.0413437,0.0335128,0.02
1994,4,0.540367,0.790847,0.570445,5.79E-05,0.0176125,8.30E-05,0.0631579
1995,4,0.540367,0.790847,0.570445,0.172062,0.05625,0.175498,0.0773196
1996,4,0.540367,0.790847,0.570445,0.61562,0.396095,0.641985,0.390486
1997,4,0.540367,0.790847,0.570445,0.257926,0.207265,0.287812,0.182728
1998,4,0.540367,0.790847,0.570445,0.407898,0.489749,0.448721,0.482456
1999,4,0.540367,0.790847,0.755161,0.361078,0.396181,0.440144,0.443373
2000,4,0.540367,0.790847,0.755161,0.0963468,0.0709877,0.124132,0.080292
2001,4,0.540367,0.790847,0.755161,0.210565,0.247166,0.267405,0.1708
2002,4,0.540367,0.790847,0.755161,0.27577,0.312734,0.344355,0.3491
2003,4,0.540367,0.790847,0.755161,0.147404,0.125843,0.169971,0.1216
2004,4,0.540367,0.790847,0.755161,0.490491,0.580972,0.576857,0.5612
2005,4,0.540367,0.790847,0.755161,0.06728,0.0545455,0.090294,0.0378
2006,4,0.540367,0.790847,0.755161,0.13279,0.161034,0.176127,0.1468
2007,4,0.540367,0.790847,0.755161,0.190221,0.182731,0.24008,0.2226
2008,4,0.540367,0.790847,0.755161,0.251615,0.167619,0.304141,0.2457
2009,4,0.540367,0.790847,0.755161,0.297012,0.264151,0.361062,0.2509
2010,4,0.540367,0.790847,0.755161,0.204179,0.202555,0.260434,0.205829
2011,4,0.540367,0.790847,0.755161,0.19985,0.250485,0.268301,0.2567
2012,4,0.540367,0.790847,0.755161,0.0808658,0.0839695,0.115042,0.2119
2013,4,0.540367,0.790847,0.755161,0.0574774,0.0606061,0.0767132,0.0849057
2014,4,0.540367,0.790847,0.755161,0.267903,0.31391,0.364232,0.387879
2015,4,0.540367,0.987571,0.670543,0.0391599,0.01692,0.0480649,0.011111
2016,4,0.540367,0.987571,0.670543,0.665722,0.746667,0.791769,0.809434
2017,4,0.540367,0.987571,0.670543,0.0190182,0.0625,0.0293849,0.06122
1980,5,0.887001,0.97468,0.570445,0.173351,0.12752,0.130424,0.110875
1981,5,0.887001,0.97468,0.570445,0.666347,0.72,0.617957,0.62
1982,5,0.887001,0.97468,0.570445,0.227799,0.139785,0.224766,0.212325
1983,5,0.887001,0.97468,0.570445,0.0813627,0.02,0.06356,0.0171821
1984,5,0.887001,0.97468,0.570445,0.0645069,0.0693069,0.0492186,0.07
1985,5,0.887001,0.97468,0.570445,0.546618,0.63,0.483519,0.479167
1986,5,0.887001,0.97468,0.570445,0.282677,0.31,0.248374,0.22
1987,5,0.887001,0.97468,0.570445,0.0543329,0.040404,0.0377031,0.04
1988,5,0.887001,0.97468,0.570445,0.124032,0.06,0.0936861,0.06
1989,5,0.887001,0.97468,0.570445,0.757065,0.673469,0.729508,0.75
1990,5,0.887001,0.97468,0.570445,0.165672,0.148515,0.175716,0.15
1991,5,0.887001,0.97468,0.570445,0.012578,0.00990099,0.00914306,0.01
1992,5,0.887001,0.97468,0.570445,0.00978892,0.03,0.00747826,0.04
1993,5,0.887001,0.97468,0.570445,0.881735,0.891473,0.882784,0.87
1994,5,0.887001,0.97468,0.570445,0.0352634,0.0919765,0.0355954,0.0947368
1995,5,0.887001,0.97468,0.570445,4.47E-05,0.03125,3.31E-05,0.0257732
1996,5,0.887001,0.97468,0.570445,0.103443,0.0488145,0.0745339,0.0302725
1997,5,0.887001,0.97468,0.570445,0.431285,0.316239,0.33396,0.215116
1998,5,0.887001,0.97468,0.570445,0.194051,0.177677,0.153069,0.0859649
1999,5,0.887001,0.97468,0.755161,0.372741,0.405728,0.324158,0.373494
2000,5,0.887001,0.97468,0.755161,0.410932,0.359568,0.38903,0.381995
2001,5,0.887001,0.97468,0.755161,0.108821,0.0680272,0.0979532,0.0585
2002,5,0.887001,0.97468,0.755161,0.232934,0.187266,0.208804,0.1684
2003,5,0.887001,0.97468,0.755161,0.259137,0.242697,0.218513,0.2345
2004,5,0.887001,0.97468,0.755161,0.135814,0.139676,0.116034,0.1403
2005,5,0.887001,0.97468,0.755161,0.560244,0.529293,0.546046,0.496
2006,5,0.887001,0.97468,0.755161,0.0872547,0.107356,0.0841917,0.0865
2007,5,0.887001,0.97468,0.755161,0.156166,0.134538,0.142641,0.153
2008,5,0.887001,0.97468,0.755161,0.196987,0.15619,0.171402,0.1325
2009,5,0.887001,0.97468,0.755161,0.254267,0.230189,0.223525,0.2528
2010,5,0.887001,0.97468,0.755161,0.322924,0.282847,0.2953,0.327869
2011,5,0.887001,0.97468,0.755161,0.250079,0.240777,0.238831,0.2263
2012,5,0.887001,0.97468,0.755161,0.279147,0.217557,0.284095,0.2294
2013,5,0.887001,0.97468,0.755161,0.113931,0.0815851,0.111893,0.0786164
2014,5,0.887001,0.97468,0.755161,0.072781,0.0657895,0.0688193,0.0969697
2015,5,0.887001,0.999915,0.670543,0.254421,0.23684,0.179574,0.201852
2016,5,0.887001,0.999915,0.670543,0.0319781,0.0361905,0.0216938,0.0339623
2017,5,0.887001,0.999915,0.670543,0.665196,0.628788,0.566049,0.57514
1980,6,0.981579,0.997455,0.570445,0.0287914,0.0124888,0.0198042,0.0134343
1981,6,0.981579,0.997455,0.570445,0.103599,0.18,0.088229,0.11
1982,6,0.981579,0.997455,0.570445,0.544757,0.473118,0.490995,0.59616
1983,6,0.981579,0.997455,0.570445,0.127689,0.08,0.0908147,0.0405835
1984,6,0.981579,0.997455,0.570445,0.0348043,0.0693069,0.0242038,0.05
1985,6,0.981579,0.997455,0.570445,0.0368915,0.1,0.0295812,0.03125
1986,6,0.981579,0.997455,0.570445,0.354405,0.53,0.282938,0.34
1987,6,0.981579,0.997455,0.570445,0.087857,0.10101,0.0558103,0.1
1988,6,0.981579,0.997455,0.570445,0.0210989,0.03,0.014471,0.03
1989,6,0.981579,0.997455,0.570445,0.0790463,0.0306122,0.0683345,0.02
1990,6,0.981579,0.997455,0.570445,0.699205,0.752475,0.677264,0.7
1991,6,0.981579,0.997455,0.570445,0.0715881,0.029703,0.047822,0.04
1992,6,0.981579,0.997455,0.570445,0.00517101,0.01,0.0036094,0
1993,6,0.981579,0.997455,0.570445,0.00661482,0.0180879,0.00593164,0.03
1994,6,0.981579,0.997455,0.570445,0.798015,0.78865,0.729067,0.652632
1995,6,0.981579,0.997455,0.570445,0.0166902,0.0458333,0.0113214,0.056701
1996,6,0.981579,0.997455,0.570445,1.73E-05,0.0125523,1.12E-05,0.031568
1997,6,0.981579,0.997455,0.570445,0.0431853,0.0363248,0.0300963,0.0289277
1998,6,0.981579,0.997455,0.570445,0.194571,0.0979499,0.139748,0.0824561
1999,6,0.981579,0.997455,0.755161,0.111553,0.0763723,0.0881795,0.086747
2000,6,0.981579,0.997455,0.755161,0.264883,0.233025,0.230247,0.253041
2001,6,0.981579,0.997455,0.755161,0.302835,0.204082,0.247202,0.2594
2002,6,0.981579,0.997455,0.755161,0.0744504,0.0805243,0.0607921,0.0631
2003,6,0.981579,0.997455,0.755161,0.137933,0.177528,0.10662,0.104
2004,6,0.981579,0.997455,0.755161,0.154665,0.137652,0.120859,0.1291
2005,6,0.981579,0.997455,0.755161,0.0994965,0.139394,0.0886879,0.1414
2006,6,0.981579,0.997455,0.755161,0.465813,0.429423,0.411292,0.4205
2007,6,0.981579,0.997455,0.755161,0.0659556,0.0582329,0.055029,0.0755
2008,6,0.981579,0.997455,0.755161,0.103141,0.106667,0.081827,0.1228
2009,6,0.981579,0.997455,0.755161,0.125953,0.122642,0.101115,0.1178
2010,6,0.981579,0.997455,0.755161,0.176112,0.162409,0.146632,0.196721
2011,6,0.981579,0.997455,0.755161,0.248757,0.223301,0.215717,0.2398
2012,6,0.981579,0.997455,0.755161,0.217183,0.198473,0.201097,0.1786
2013,6,0.981579,0.997455,0.755161,0.246565,0.258741,0.222447,0.198113
2014,6,0.981579,0.997455,0.755161,0.0943312,0.0827068,0.0803432,0.0808081
2015,6,0.981579,0.999999,0.670543,0.0415814,0.07707,0.0259874,0.046296
2016,6,0.981579,0.999999,0.670543,0.130405,0.129524,0.0781395,0.0735849
2017,6,0.981579,0.999999,0.670543,0.0198905,0.0265152,0.0147861,0.01484
1980,7,0.997555,0.999749,0.570445,7.04E-09,0.00246416,4.77E-09,0.0000001
1981,7,0.997555,0.999749,0.570445,0.015573,0.02,0.0130631,0.01
1982,7,0.997555,0.999749,0.570445,0.0770904,0.16129,0.0683698,0.0464017
1983,7,0.997555,0.999749,0.570445,0.276066,0.41,0.193078,0.152917
1984,7,0.997555,0.999749,0.570445,0.049173,0.039604,0.0336345,0.05
1985,7,0.997555,0.999749,0.570445,0.0179445,0.05,0.0141378,0.0104167
1986,7,0.997555,0.999749,0.570445,0.0214149,0.05,0.0168058,0.04
1987,7,0.997555,0.999749,0.570445,0.0989118,0.141414,0.0618517,0.14
1988,7,0.997555,0.999749,0.570445,0.030929,0.03,0.0208499,0.03
1989,7,0.997555,0.999749,0.570445,0.0120647,0.0204082,0.0102276,0.01
1990,7,0.997555,0.999749,0.570445,0.0645104,0.0594059,0.0614828,0.09
1991,7,0.997555,0.999749,0.570445,0.27307,0.19802,0.179697,0.15
1992,7,0.997555,0.999749,0.570445,0.0268127,0.01,0.0184166,0.02
1993,7,0.997555,0.999749,0.570445,0.00316005,0.00775194,0.00277788,0
1994,7,0.997555,0.999749,0.570445,0.00527905,0.0293542,0.00473745,0.0421053
1995,7,0.997555,0.999749,0.570445,0.337495,0.620833,0.225329,0.46134
1996,7,0.997555,0.999749,0.570445,0.00583556,0.0753138,0.00370626,0.123019
1997,7,0.997555,0.999749,0.570445,6.38E-06,0.0384615,4.36E-06,0.0173527
1998,7,0.997555,0.999749,0.570445,0.0172854,0.0250569,0.0122088,0.0157895
1999,7,0.997555,0.999749,0.755161,0.100711,0.052506,0.0782614,0.0481928
2000,7,0.997555,0.999749,0.755161,0.0712187,0.0509259,0.0609739,0.053528
2001,7,0.997555,0.999749,0.755161,0.177641,0.160998,0.14249,0.2167
2002,7,0.997555,0.999749,0.755161,0.185594,0.174157,0.14904,0.1964
2003,7,0.997555,0.999749,0.755161,0.0397154,0.0516854,0.030228,0.0758
2004,7,0.997555,0.999749,0.755161,0.074763,0.0526316,0.0575,0.0579
2005,7,0.997555,0.999749,0.755161,0.102605,0.10303,0.0900138,0.1374
2006,7,0.997555,0.999749,0.755161,0.0749033,0.0775348,0.0650987,0.0925
2007,7,0.997555,0.999749,0.755161,0.319047,0.36747,0.261929,0.2962
2008,7,0.997555,0.999749,0.755161,0.0393816,0.0704762,0.0307323,0.0626
2009,7,0.997555,0.999749,0.755161,0.0594822,0.0641509,0.046985,0.0912
2010,7,0.997555,0.999749,0.755161,0.0788426,0.0711679,0.0645538,0.0728597
2011,7,0.997555,0.999749,0.755161,0.122143,0.145631,0.104106,0.13
2012,7,0.997555,0.999749,0.755161,0.193834,0.240458,0.176469,0.1348
2013,7,0.997555,0.999749,0.755161,0.17255,0.16317,0.153341,0.163522
2014,7,0.997555,0.999749,0.755161,0.185892,0.197368,0.155378,0.153535
2015,7,0.997555,1,0.670543,0.0478645,0.09398,0.0293326,0.053704
2016,7,0.997555,1,0.670543,0.019177,0.0190476,0.0112628,0.0113208
2017,7,0.997555,1,0.670543,0.0728031,0.0378788,0.0529424,0.03525
1980,8+,1,0.999975,0.570445,1.05E-08,0,7.07E-09,0.0000001
1981,8+,1,0.999975,0.570445,9.31E-09,0,7.79E-09,0
1982,8+,1,0.999975,0.570445,0.0114132,0,0.0100959,0.0103652
1983,8+,1,0.999975,0.570445,0.0441065,0.04,0.0307647,0.0134364
1984,8+,1,0.999975,0.570445,0.121159,0.00990099,0.0826528,0.02
1985,8+,1,0.999975,0.570445,0.0861726,0.05,0.0677004,0.0104167
1986,8+,1,0.999975,0.570445,0.059204,0.01,0.0463338,0.04
1987,8+,1,0.999975,0.570445,0.0220597,0.010101,0.0137596,0.01
1988,8+,1,0.999975,0.570445,0.0418936,0.01,0.0281631,0.01
1989,8+,1,0.999975,0.570445,0.0408395,0,0.0345122,0.01
1990,8+,1,0.999975,0.570445,0.0421925,0.019802,0.0401079,0.03
1991,8+,1,0.999975,0.570445,0.0409471,0.00990099,0.0268808,0.01
1992,8+,1,0.999975,0.570445,0.115815,0.07,0.0793432,0.04
1993,8+,1,0.999975,0.570445,0.0855522,0.0284238,0.0749653,0.06
1994,8+,1,0.999975,0.570445,0.0691103,0.0410959,0.0618418,0.0421053
1995,8+,1,0.999975,0.570445,0.0307963,0.0291667,0.0205089,0.0309278
1996,8+,1,0.999975,0.570445,0.126691,0.0753138,0.0802145,0.161018
1997,8+,1,0.999975,0.570445,0.0478632,0.147436,0.0326303,0.139047
1998,8+,1,0.999975,0.570445,0.0187245,0.0774487,0.0131898,0.0614035
1999,8+,1,0.999975,0.755161,0.0182952,0.0429594,0.014178,0.00722892
2000,8+,1,0.999975,0.755161,0.0746277,0.0246914,0.063737,0.0218978
