Year,Age,gear_select,maturity,survival,catchage_comp_est,catchage_comp_obs,spawnage_comp_est,spawnage_comp_obs
2001,8+,1,0.999975,0.755161,0.0961983,0.0362812,0.0769459,0.0569
2002,8+,1,0.999975,0.755161,0.164656,0.101124,0.131873,0.1403
2003,8+,1,0.999975,0.755161,0.183439,0.247191,0.139272,0.1992
2004,8+,1,0.999975,0.755161,0.118816,0.0607287,0.0911475,0.089
2005,8+,1,0.999975,0.755161,0.126152,0.107071,0.110389,0.1115
2006,8+,1,0.999975,0.755161,0.169198,0.0656064,0.146678,0.1026
2007,8+,1,0.999975,0.755161,0.164222,0.148594,0.134472,0.1491
2008,8+,1,0.999975,0.755161,0.283595,0.449524,0.220724,0.2506
2009,8+,1,0.999975,0.755161,0.182695,0.201887,0.143936,0.2053
2010,8+,1,0.999975,0.755161,0.148802,0.129562,0.121507,0.111111
2011,8+,1,0.999975,0.755161,0.154909,0.0446602,0.131668,0.081
2012,8+,1,0.999975,0.755161,0.211736,0.173664,0.192245,0.1278
2013,8+,1,0.999975,0.755161,0.316216,0.317016,0.280334,0.272013
2014,8+,1,0.999975,0.755161,0.362331,0.334586,0.30194,0.268687
2015,8+,1,1,0.670543,0.272212,0.40414,0.166321,0.203704
2016,8+,1,1,0.670543,0.144734,0.0514286,0.0847439,0.0490566
2017,8+,1,1,0.670543,0.0896691,0.0208333,0.0649896,0.0167
