Age,for_mat_baa_tons,for_mat_prop,for_waa
3,4501.75,0.11054,77.2161
4,22109.7,0.475096,88.2364
5,1047.22,0.0169557,117.103
6,21193.9,0.321935,124.821
7,607.966,0.00840852,137.09
8+,6176.81,0.0670653,174.627
