Age,Blocks,mean,median,q025,q975,q250,q750
3,1980-1998,0.5602209494,0.5602305,0.540901975,0.577827625,0.554126,0.5666995
3,1999-2014,0.708006444,0.7081504999999999,0.689894925,0.727074475,0.7016834999999999,0.7140915000000001
3,2015-2018,0.6156635296,0.6152265,0.5585819499999999,0.674784175,0.5970059999999999,0.6343080000000001
4,1980-1998,0.5602209494,0.5602305,0.540901975,0.577827625,0.554126,0.5666995
4,1999-2014,0.708006444,0.7081504999999999,0.689894925,0.727074475,0.7016834999999999,0.7140915000000001
4,2015-2018,0.6156635296,0.6152265,0.5585819499999999,0.674784175,0.5970059999999999,0.6343080000000001
5,1980-1998,0.5602209494,0.5602305,0.540901975,0.577827625,0.554126,0.5666995
5,1999-2014,0.708006444,0.7081504999999999,0.689894925,0.727074475,0.7016834999999999,0.7140915000000001
5,2015-2018,0.6156635296,0.6152265,0.5585819499999999,0.674784175,0.5970059999999999,0.6343080000000001
6,1980-1998,0.5602209494,0.5602305,0.540901975,0.577827625,0.554126,0.5666995
6,1999-2014,0.708006444,0.7081504999999999,0.689894925,0.727074475,0.7016834999999999,0.7140915000000001
6,2015-2018,0.6156635296,0.6152265,0.5585819499999999,0.674784175,0.5970059999999999,0.6343080000000001
7,1980-1998,0.5602209494,0.5602305,0.540901975,0.577827625,0.554126,0.5666995
7,1999-2014,0.708006444,0.7081504999999999,0.689894925,0.727074475,0.7016834999999999,0.7140915000000001
7,2015-2018,0.6156635296,0.6152265,0.5585819499999999,0.674784175,0.5970059999999999,0.6343080000000001
8,1980-1998,0.5602209494,0.5602305,0.540901975,0.577827625,0.554126,0.5666995
8,1999-2014,0.708006444,0.7081504999999999,0.689894925,0.727074475,0.7016834999999999,0.7140915000000001
8,2015-2018,0.6156635296,0.6152265,0.5585819499999999,0.674784175,0.5970059999999999,0.6343080000000001
