Age,Blocks,mean,median,q025,q975,q250,q750
3,1980-2018,0.407333,0.407333,0.407333,0.407333,0.407333,0.407333
3,2019-2019,0,0,0,0,0,0
4,1980-2018,0.705785,0.705785,0.705785,0.705785,0.705785,0.705785
4,2019-2019,0,0,0,0,0,0
5,1980-2018,0.893309,0.893309,0.893309,0.893309,0.893309,0.893309
5,2019-2019,0,0,0,0,0,0
6,1980-2018,0.966914,0.966914,0.966914,0.966914,0.966914,0.966914
6,2019-2019,0,0,0,0,0,0
7,1980-2018,0.990292,0.990292,0.990292,0.990292,0.990292,0.990292
7,2019-2019,0,0,0,0,0,0
8,1980-2018,0.997199,0.997199,0.997199,0.997199,0.997199,0.997199
8,2019-2019,0,0,0,0,0,0
