Year,mean,median,q025,q975,q250,q750,q475,q525
1980,31679.592054498557,31499.371679269825,26718.53987080844,37715.483696730524,29674.07240018519,33467.365903128375,31320.19279525563,31669.842258427216
1981,35640.30579377852,35522.718754822636,30567.982649529313,41353.53788663771,33692.98264952931,37434.4948080866,35362.72569942018,35702.333054079674
1982,23059.489539011003,23023.986419453693,19666.753014837188,26651.45560969157,21819.649904098413,24259.270486562757,22908.091558455875,23144.574395379088
1983,24663.80825194559,24571.69470226416,21324.863863841794,28356.483829008575,23474.55852201327,25781.680592605655,24480.98227474151,24676.580171520534
1984,39825.05062942305,39623.33825701625,34453.247977248175,46225.25573756036,37832.26592297008,41595.27326440177,39448.2765272603,39800.243612072576
1985,36552.42295905994,36388.47858197932,31280.208999316565,42796.308340130956,34611.956833263524,38385.29839723098,36221.32046561873,36575.26345377985
1986,26172.72468528848,26035.241076743314,21949.77567847616,30961.22324125311,24594.705571110477,27663.886990453935,25907.05538040962,26172.95354835865
1987,29695.145726316718,29544.302123062676,25956.750589739633,34091.922220507506,28304.82925108578,30958.161555589853,29422.066183116913,29667.147093189884
1988,54842.31553826143,54613.91344606363,47657.89038559051,63129.042747855994,52200.77603121761,57237.731211005535,54397.23924689698,54846.262593972526
1989,35098.1684230252,35000.44092682819,29585.826407107743,41032.65338742037,33254.06754999008,36820.58687360833,34834.21151259949,35169.588725501
1990,24845.056229193764,24777.001256641463,20728.06940188276,29408.391939857578,23435.371150157633,26147.291606957824,24651.62095725214,24898.360854516195
1991,23581.012610507285,23520.13933287771,20850.842721400386,26654.37674992835,22560.820344363852,24520.96055909522,23416.20185630195,23603.956767124495
1992,61573.335743733325,61329.55973456205,54024.2868008554,70307.88818095638,58598.37628695519,64387.96600454155,61088.78061685663,61614.99922837805
1993,42108.93765294649,41924.976300182985,36383.73310699089,48549.254282501824,39854.68705218369,44229.618157366785,41731.624374435065,42130.79818779073
1994,30502.96543133667,30402.67642584713,26280.917238034348,35181.35044864304,28836.256310765228,32062.68326021297,30253.874644502743,30551.982517251265
1995,26993.22469631165,26942.22756233603,23662.97482307811,30696.625807447253,25739.59963844,28154.914129500212,26831.116757424104,27054.151326087434
1996,26252.919652108732,26193.6440397716,22430.394188584407,30336.970061068365,24805.193015719044,27595.598447937562,26063.30606935779,26323.70918671047
1997,28043.855541347915,27904.495249013424,23962.60664917657,32747.696157322694,26471.014572631673,29475.407306157544,27781.482175532972,28032.14356577526
1998,43589.78423245662,43533.47736943055,37329.29517846513,50320.61718732775,41293.017923675565,45806.28982120417,43323.439119028204,43731.83657047113
1999,45954.73946736039,45902.57721731078,39285.64893405938,52798.3531382967,43639.71317709826,48268.97638836835,45691.56341630107,46088.57944399127
2000,46831.02563989506,46768.94331885624,40402.351242311335,53409.2462355872,44570.97819616835,49068.70742300316,46567.72084922507,46968.34972111378
2001,47691.16990013007,47783.24037126039,41235.47421680372,54199.23003152627,45510.42791948677,49855.127979011886,47588.8081747834,47969.07449458763
2002,54373.212482638504,54290.10780660949,46798.74170506404,61980.238210718926,51692.166934897155,57054.774135232256,54047.17365903128,54542.20772062876
2003,60559.982528274435,60464.68176106176,52928.37143676007,68566.72325227626,57710.37721290152,63346.49683635001,60194.02985074627,60713.25701624816
2004,83427.67073789105,83286.99927247074,73676.61048523997,94226.14861438745,79895.25232037743,86708.20564827268,83004.66004541547,83592.80682995658
2005,76141.5089949073,75966.62183910579,66590.6490442911,87094.6449436716,72556.10793888755,79444.92823915872,75634.35591613571,76263.5612557596
2006,67643.97075552812,67578.31962785775,59066.505544654865,76963.54913027183,64367.98650763906,70727.97019334641,67286.31583588704,67854.71736590314
2007,69677.12142022532,69649.18759231905,60731.16140126546,78911.93313344651,66495.29310610905,72761.11135607047,69350.24747018232,69910.94380387575
2008,77470.60443351926,77323.7395004299,67440.28197270662,88964.50263453778,73812.11556692167,80799.89638219537,76988.39260124782,77664.85151789061
2009,92283.32990145286,92100.02425097555,81370.13878171917,104639.0490310633,88161.85872704425,96184.08143918519,91758.42445821117,92468.75482263719
2010,87315.5893648449,87095.06382415838,77515.45724112084,97939.01155228289,83701.96653365373,90851.12656804603,86740.86454727838,87432.48032364031
2011,83989.86086553936,83670.3300337309,75227.6477656033,94233.70499790559,80805.29773584072,86932.33426662844,83390.29464935295,83948.64029189356
2012,61743.40112215878,61444.69675257392,54893.0449304438,70305.98117242445,59046.247712692086,64181.00597455853,61207.70684979827,61678.28049560176
2013,64241.50717608413,63945.74395379087,57241.19248660685,72893.81104080776,61505.59977071806,66753.37309023568,63709.139861989905,64162.115015763135
2014,53574.216065168985,53432.61535748142,46433.45036266232,61537.51736149386,50949.97685134152,56016.72214995921,53196.31164708216,53662.966555700084
2015,45324.22658127384,45106.70429242267,38798.226371833596,53162.72680173725,42787.12603893384,47589.14989307525,44879.63248748871,45330.63173791309
2016,64049.437697039175,63506.96664388545,53575.415022377034,76903.26340968716,59872.3241253114,67811.81794131263,63135.877113692986,63925.16093829229
2017,50435.66105954717,49952.32478670165,39266.65876672767,62793.85568464914,46149.6340307326,54418.77576666152,49585.15123790207,50365.54763112062
2018,60789.80412927975,60182.543706871846,44473.79792323465,79937.69428338365,54616.779470446876,66555.86542913204,59596.13307171675,60744.67856434225
