Year,mean,median,q025,q975,q250,q750,q475,q525
1980,24488.248418175004,24433.51925747922,21201.89488304416,28093.87883330761,23269.417315196544,25627.356202738156,24322.573800127866,24536.417800216055
1981,31700.442833836725,31601.66670341057,27511.623933508232,36437.44075045747,30167.524636786526,33164.3664983796,31464.508146123153,31734.873454000306
1982,26919.192949580018,26852.71941621288,23313.341894662582,30955.281752243216,25563.559602284004,28197.270662933486,26717.142683921604,26987.69814149342
1983,30316.94930443793,30234.683304305654,26430.906766022177,34675.001102317074,28863.20796313852,31675.549505059633,30104.116603099716,30361.369849423492
1984,40310.103099715605,40188.05529222426,35429.99459864636,45824.48632024515,38457.224586079945,42018.8661566613,40019.95745056108,40376.60387133756
1985,42839.01827641703,42721.56573116692,37496.549747569385,48859.28371436759,40835.005180890235,44719.29495800172,42550.993187680506,42913.129147467975
1986,36755.65214180207,36656.67232522763,31723.048347626707,42494.135673185025,34841.045878436475,38553.34663462598,36466.58050221566,36801.00696664389
1987,37476.841156110146,37369.37542714787,32806.970501995194,42736.98439119028,35717.746202517694,39149.369474635685,37212.18776868978,37533.549020040125
1988,53210.077911770546,53108.25855949205,47831.51910315484,59108.531382967,51243.38609757711,55099.3463259772,52932.290173945636,53289.75506514694
1989,44861.25974999449,44773.03291518772,39778.19451487026,50481.31296986265,42973.85855067352,46641.84616062964,44586.63109856919,44928.647016027695
1990,32324.83783813576,32216.64939703256,27432.860623029614,37851.17341652154,30496.097797570492,34030.208999316565,32060.56956723032,32387.538856676736
1991,28395.449690248905,28298.79406512489,24493.37231861373,32796.77406909323,26914.669635573977,29779.564143830332,28187.4710641769,28448.439119028197
1992,50174.32087347605,50103.50757291828,44862.33713265284,55878.549460966955,48249.79607134197,51963.03379704138,49938.82140258824,50285.76192155912
1993,45842.14791992769,45754.03999206331,40783.46359046717,51431.14100839966,43975.53407262065,47565.58786569369,45598.34872902842,45919.9359553782
1994,37138.99023347076,37022.20066579951,32248.10401463877,42581.13880376551,35278.66575541788,38868.85733812473,36866.17595185079,37202.895235785625
1995,37146.242024736,37034.05057430719,32308.15273705329,42568.8755263564,35342.90328270024,38867.83769483454,36873.89217134417,37193.88379373443
1996,40815.708514297054,40729.403205538045,35894.472431050075,46305.372142242995,38997.24971890915,42543.513966357285,40552.59705901806,40895.4645164135
1997,46096.0320223109,46001.45505853304,40096.0917348266,52796.23668952137,43834.13435040455,48202.01062633655,45811.96675411715,46193.80938733217
1998,58725.77603121762,58561.42110716726,50840.50849886461,67425.51643554751,55876.782997861505,61466.79820983708,58296.991776714654,58835.12092418263
1999,71655.36315835887,71459.52291717188,62816.79214709319,81480.11695584116,68361.95683326352,74783.2844639432,71151.52726030114,71743.28964483344
2000,68130.31241870411,68011.64046826429,59379.1226658436,77944.35503428207,64858.57271985713,71175.97940871713,67686.77384862982,68321.44943671598
2001,75640.53904407064,75488.49180978417,66896.02394232678,85343.88710068564,72392.24850636037,78689.37256112348,75225.88130249786,75767.99257038295
2002,80188.80260808219,80024.58167067176,70315.11938093873,90887.11722039728,76628.31521858947,83584.48709186711,79702.65272603012,80378.36206706497
2003,83728.22754028969,83483.21171101657,73720.14925373133,94927.14786481184,79986.96510064154,87263.0293877731,83159.42536211116,83809.23025198968
2004,106094.67950131177,105925.83610749796,93626.3558499967,119454.9593245001,101591.19469124099,110388.51165149144,105514.6167243546,106355.67638175446
2005,99929.45146497939,99704.24832998964,87727.30880310413,113261.23261094821,95395.73182830309,104252.38100487224,99318.0653233096,100113.23827685796
2006,91584.78788112613,91399.94267951234,80534.82219625653,103618.54042196696,87562.7493992372,95504.33761767235,91052.10928371437,91759.62873961066
2007,98443.1564187923,98300.83335170528,86379.53052315969,111635.09446857293,93874.34136555038,102784.7560572323,97882.50677924999,98709.83707753697
2008,110671.67617231421,110460.98899887563,96579.29242267244,125687.87340990762,105700.90830926609,115559.48102912321,110004.17778169713,110946.53211049626
2009,125151.26661742984,124950.94689036356,110126.33931524064,140980.09766529244,119798.16574439472,130308.48343217444,124490.757071364,125461.31969399679
2010,120762.58911131197,120643.09177891929,107397.91717189533,134788.21733283362,115956.03959522917,125353.29262108954,120169.09543861197,121037.7212901519
2011,116943.4314799709,116831.279349192,104992.94241495624,129333.92491016116,112759.32009083092,121007.13199144602,116444.4211733063,117222.60190921316
2012,87062.26430256398,86956.7781476664,77681.37800656982,97007.44890760379,83765.04662801207,90268.38664873564,86663.79053771027,87216.45924733792
2013,83905.47622302079,83750.96452743668,74378.3593112723,94006.46233382571,80487.99576710246,87264.13170484359,83462.19603606782,84054.54264864746
2014,84898.20613329219,84742.66407989594,76220.68112171785,94250.33620670649,81796.9972883,87913.53424899137,84486.76943936155,85036.6437752155
2015,64585.24873784695,64468.407592759984,57245.056107938886,72540.78848740051,61933.76727882008,67073.01748274875,64231.2606098018,64703.490487003684
2016,87178.65471020085,86750.69997133975,74045.41821909655,102345.02799885359,82201.8783482881,91736.53519698407,86311.78487180054,87167.51085782316
2017,93220.83572168699,92693.51176172314,77728.75283846646,111303.76551511277,87393.43349721114,98697.72261293238,92147.85654445644,93187.78522454199
2018,133982.25256288718,132995.6568707423,104928.29427456515,168965.7510086201,122751.54875548404,144186.65534954474,131911.61070570338,133934.77589893958
